Model,Score_Doc_mean,Score_Doc_std,Score_Doc_median,Score_Ref_mean,Score_Ref_std,Score_Ref_median,Score_RefDoc_mean,Score_RefDoc_std,Score_RefDoc_median,Score_Avg_mean,Score_Avg_std,Score_Avg_median,Score_Avg_min,Score_Avg_max,Rank
gpt-4o-mini-f3,38.03,24.76,32.0,66.94,25.01,75.0,68.03,21.45,75.0,57.67,16.61,59.67,13.67,87.0,1
o3,66.9,22.01,70.0,37.21,25.6,34.0,46.47,22.33,49.0,50.19,16.49,49.67,15.33,82.0,2
claude-4-sonnet-20250514,55.21,25.05,56.5,38.68,25.06,34.5,49.18,20.33,48.0,47.69,15.7,48.0,14.0,89.33,3
gpt-4o-mini-f1,37.34,24.23,30.0,49.54,30.51,54.0,52.79,26.38,58.0,46.56,21.41,51.67,8.0,86.33,4
Gemini-2.5-pro,61.99,25.38,64.5,30.84,24.59,27.0,41.46,20.58,37.0,44.76,17.87,42.83,8.33,85.67,5
claude-3-7-sonnet-20250219,53.68,26.56,59.0,36.61,24.45,34.0,43.2,21.33,39.0,44.49,16.5,43.33,8.0,79.33,6
o4-mini,54.03,28.07,59.0,34.66,23.75,30.0,42.08,20.97,37.0,43.59,16.69,43.33,9.67,75.0,7
gpt-4.1,55.49,26.85,61.0,34.37,23.98,31.0,40.12,21.76,34.0,43.33,17.24,42.17,8.0,78.0,8
pe_gpt-4o-mini,52.3,25.17,54.5,34.92,25.64,27.0,41.22,20.82,34.0,42.81,16.25,40.83,11.33,84.0,9
qwen3-235b-a22b,54.63,26.51,62.0,31.5,24.24,27.0,42.12,21.19,37.0,42.75,14.57,41.67,16.33,81.0,10
gpt-4.1-mini,54.3,24.89,60.0,31.92,21.64,27.0,41.53,18.17,37.0,42.58,15.54,40.67,8.67,76.67,11
deepseek-r1,53.8,28.05,59.0,32.59,23.66,29.0,37.93,20.94,32.0,41.44,15.71,41.33,7.33,82.33,12
pe_llama-3.3-70b-instruct,48.55,24.12,52.0,35.38,26.72,29.0,40.13,24.49,32.0,41.35,18.47,38.67,10.67,84.0,13
pe_deepseek-r1-32b,46.31,24.62,48.0,35.19,26.1,29.5,40.24,23.36,34.0,40.58,18.3,39.33,4.67,80.0,14
pe_llama4_scout,48.25,26.25,47.0,34.07,26.43,29.5,39.01,21.28,34.0,40.44,17.88,39.5,9.0,89.0,15
gpt-4o-mini,43.22,25.0,44.0,34.46,27.37,27.0,41.8,22.73,37.0,39.83,18.85,38.33,7.33,84.33,16
llama3.3-70b-sft1,38.68,25.81,37.0,37.29,27.2,29.0,43.1,22.73,37.0,39.69,20.52,35.67,5.67,78.0,17
pe_llama-3.1-70b-instruct,43.69,25.9,44.0,34.87,27.26,27.0,39.9,24.78,34.0,39.49,18.58,38.67,0.0,81.0,18
llama4_maverick,43.57,25.08,44.0,33.07,25.0,27.0,41.2,21.62,37.0,39.28,18.45,35.33,4.67,80.33,19
pe_llama-3.1-405b-instruct,41.83,25.42,38.0,34.97,28.29,27.0,40.87,22.68,33.0,39.23,19.11,34.83,10.0,77.33,20
llama-3.3-70b-instruct,41.86,25.43,42.0,33.73,26.04,27.0,41.08,23.09,35.0,38.89,19.64,35.67,6.67,82.33,21
mistral-large-latest,44.25,23.7,44.0,33.35,24.42,27.0,37.65,22.24,32.0,38.42,16.57,36.0,9.0,83.67,22
Gemini-1.5-pro,42.71,26.71,39.0,32.94,26.38,27.0,39.21,21.4,34.0,38.28,18.17,36.33,2.33,76.67,23
pe_llama4_maverick,43.54,26.9,42.0,31.74,25.66,27.0,38.64,20.49,37.0,37.97,18.0,36.83,4.0,79.67,24
llama-3.1-70b-instruct,39.71,25.11,37.0,33.42,26.8,27.0,39.59,24.19,35.0,37.57,19.09,34.0,9.0,85.0,25
llama4_scout,37.85,24.89,32.0,33.77,24.8,27.0,40.82,21.18,34.0,37.48,18.54,37.17,6.33,83.0,26
claude-3-5-sonnet,52.78,22.92,54.5,25.85,24.12,21.0,33.75,17.73,32.0,37.46,14.86,35.0,11.33,87.67,27
gpt-4o,49.36,28.8,54.0,28.28,22.75,25.0,33.9,18.92,30.0,37.18,15.71,37.33,4.0,74.0,28
llama-3.1-405b-instruct,38.03,25.81,32.0,33.09,27.0,27.0,39.04,23.69,32.5,36.72,19.89,32.83,8.33,89.33,29
codestral-22b-instruct-v0.1,39.22,24.81,32.0,32.47,25.51,25.0,37.99,23.7,34.0,36.56,19.09,32.67,0.67,84.67,30
mixtral-8x22b-instruct-v0.1,36.86,24.85,30.0,33.78,27.52,26.0,38.88,23.22,34.0,36.51,20.07,31.5,3.0,86.0,31
pe_llama-3.1-8b-instruct,37.23,22.3,33.0,33.19,25.37,25.0,39.06,22.73,32.0,36.49,19.07,34.83,4.67,79.0,32
gpt-4.1-nano,38.31,23.94,37.0,31.0,26.09,25.0,39.51,21.97,35.0,36.27,19.22,31.33,2.33,78.67,33
llama4-109b-lora1,34.65,26.41,27.0,33.01,26.92,25.0,39.31,22.96,35.0,35.66,20.5,34.33,1.33,82.0,34
llama3.1-8b-lora1,34.92,24.78,30.0,32.77,26.02,27.0,39.07,22.38,35.0,35.59,19.69,30.67,3.33,78.67,35
llama3.1-8b-f1,34.56,25.3,29.0,33.09,25.74,27.0,38.78,20.39,34.0,35.48,18.72,32.0,8.0,81.33,36
deepseek-r1-32b,34.0,26.22,23.5,33.3,26.87,25.0,39.09,23.17,30.0,35.46,20.64,28.83,4.0,80.0,37
nemotron-4-340b-instruct,40.15,28.76,32.0,30.5,26.32,27.0,35.34,23.26,27.0,35.33,19.68,32.0,4.67,86.0,38
llama-3.1-8b-instruct,34.85,28.16,22.0,31.43,26.1,25.0,37.75,24.7,37.0,34.68,22.94,29.33,0.0,82.33,39
llama3.3-70b-lora1,31.62,23.57,25.0,31.64,25.07,25.0,40.38,21.67,37.0,34.55,19.14,28.0,2.33,79.67,40
gemma-2-27b-it,36.55,25.37,33.0,29.26,24.04,24.5,37.38,22.16,31.0,34.4,17.88,30.0,1.33,84.0,41
mixtral-8x7b-instruct-v0.1,30.35,25.11,22.0,34.25,26.65,29.0,37.88,24.09,32.0,34.16,20.07,30.33,0.67,79.67,42
pe_deepseek-r1-8b,34.66,24.51,29.5,30.62,23.93,27.0,36.91,20.17,32.0,34.06,17.95,30.33,4.0,80.67,43
mistral-nemo-12b-instruct,31.81,24.5,25.0,29.75,25.21,25.0,36.42,22.47,33.0,32.66,19.48,30.33,1.33,78.0,44
gemma-2-9b-it,29.97,20.54,24.0,29.68,24.03,25.0,33.67,21.73,30.0,31.11,17.2,28.67,0.67,73.67,45
mamba-codestral-7b-v0.1,27.94,20.18,25.0,29.42,24.67,23.5,31.83,24.78,25.0,29.73,18.78,25.17,2.33,72.33,46
deepseek-r1-8b,26.68,22.5,20.0,26.27,23.54,20.0,34.03,23.62,29.5,28.99,20.1,21.33,1.67,89.33,47
gemma-2-2b-it,24.61,20.45,20.0,27.6,22.03,25.0,31.08,19.05,29.0,27.77,16.81,24.67,1.67,63.33,48
gemma-3-1b-it,28.34,24.75,20.0,25.67,19.44,22.0,27.67,18.96,29.0,27.23,17.03,26.33,2.0,69.0,49
phi-3-mini-128k-instruct,23.81,19.88,20.0,24.64,22.97,20.0,27.76,19.78,25.0,25.41,17.02,20.5,2.33,70.0,50
phi-3-medium-128k-instruct,19.65,19.71,15.0,19.84,22.03,12.0,21.96,22.0,15.0,20.49,17.38,15.67,0.0,83.33,51
