Family,Score_Avg_mean,Score_Avg_std,Score_Avg_count,Score_Doc_mean,Score_Ref_mean,Score_RefDoc_mean
OpenAI,44.0,18.42,1010,48.91,38.34,44.75
Claude,43.2,16.22,303,53.89,33.68,42.03
Qwen,42.75,14.57,102,54.63,31.5,42.12
Llama,37.68,19.36,1725,39.62,33.56,39.87
Other,36.68,19.48,609,39.88,32.28,37.88
DeepSeek,36.08,19.1,505,39.05,31.57,37.62
Mistral,35.52,18.27,203,38.0,31.54,37.03
Nemotron,35.33,19.68,101,40.15,30.5,35.34
Gemma,30.14,17.42,405,29.88,28.06,32.46
Phi,22.96,17.33,203,21.74,22.25,24.88
