Model,Rank,Avg Score,Std,Doc Score,Ref Score,RefDoc Score
gpt-4o-mini-f3,1,57.67,16.61,38.03,66.94,68.03
o3,2,50.19,16.49,66.9,37.21,46.47
claude-4-sonnet-20250514,3,47.69,15.7,55.21,38.68,49.18
gpt-4o-mini-f1,4,46.56,21.41,37.34,49.54,52.79
Gemini-2.5-pro,5,44.76,17.87,61.99,30.84,41.46
claude-3-7-sonnet-20250219,6,44.49,16.5,53.68,36.61,43.2
o4-mini,7,43.59,16.69,54.03,34.66,42.08
gpt-4.1,8,43.33,17.24,55.49,34.37,40.12
pe_gpt-4o-mini,9,42.81,16.25,52.3,34.92,41.22
qwen3-235b-a22b,10,42.75,14.57,54.63,31.5,42.12
gpt-4.1-mini,11,42.58,15.54,54.3,31.92,41.53
deepseek-r1,12,41.44,15.71,53.8,32.59,37.93
pe_llama-3.3-70b-instruct,13,41.35,18.47,48.55,35.38,40.13
pe_deepseek-r1-32b,14,40.58,18.3,46.31,35.19,40.24
pe_llama4_scout,15,40.44,17.88,48.25,34.07,39.01
gpt-4o-mini,16,39.83,18.85,43.22,34.46,41.8
llama3.3-70b-sft1,17,39.69,20.52,38.68,37.29,43.1
pe_llama-3.1-70b-instruct,18,39.49,18.58,43.69,34.87,39.9
llama4_maverick,19,39.28,18.45,43.57,33.07,41.2
pe_llama-3.1-405b-instruct,20,39.23,19.11,41.83,34.97,40.87
llama-3.3-70b-instruct,21,38.89,19.64,41.86,33.73,41.08
mistral-large-latest,22,38.42,16.57,44.25,33.35,37.65
Gemini-1.5-pro,23,38.28,18.17,42.71,32.94,39.21
pe_llama4_maverick,24,37.97,18.0,43.54,31.74,38.64
llama-3.1-70b-instruct,25,37.57,19.09,39.71,33.42,39.59
llama4_scout,26,37.48,18.54,37.85,33.77,40.82
claude-3-5-sonnet,27,37.46,14.86,52.78,25.85,33.75
gpt-4o,28,37.18,15.71,49.36,28.28,33.9
llama-3.1-405b-instruct,29,36.72,19.89,38.03,33.09,39.04
codestral-22b-instruct-v0.1,30,36.56,19.09,39.22,32.47,37.99
mixtral-8x22b-instruct-v0.1,31,36.51,20.07,36.86,33.78,38.88
pe_llama-3.1-8b-instruct,32,36.49,19.07,37.23,33.19,39.06
gpt-4.1-nano,33,36.27,19.22,38.31,31.0,39.51
llama4-109b-lora1,34,35.66,20.5,34.65,33.01,39.31
llama3.1-8b-lora1,35,35.59,19.69,34.92,32.77,39.07
llama3.1-8b-f1,36,35.48,18.72,34.56,33.09,38.78
deepseek-r1-32b,37,35.46,20.64,34.0,33.3,39.09
nemotron-4-340b-instruct,38,35.33,19.68,40.15,30.5,35.34
llama-3.1-8b-instruct,39,34.68,22.94,34.85,31.43,37.75
llama3.3-70b-lora1,40,34.55,19.14,31.62,31.64,40.38
gemma-2-27b-it,41,34.4,17.88,36.55,29.26,37.38
mixtral-8x7b-instruct-v0.1,42,34.16,20.07,30.35,34.25,37.88
pe_deepseek-r1-8b,43,34.06,17.95,34.66,30.62,36.91
mistral-nemo-12b-instruct,44,32.66,19.48,31.81,29.75,36.42
gemma-2-9b-it,45,31.11,17.2,29.97,29.68,33.67
mamba-codestral-7b-v0.1,46,29.73,18.78,27.94,29.42,31.83
deepseek-r1-8b,47,28.99,20.1,26.68,26.27,34.03
gemma-2-2b-it,48,27.77,16.81,24.61,27.6,31.08
gemma-3-1b-it,49,27.23,17.03,28.34,25.67,27.67
phi-3-mini-128k-instruct,50,25.41,17.02,23.81,24.64,27.76
phi-3-medium-128k-instruct,51,20.49,17.38,19.65,19.84,21.96
