Rank,model,ConsensusScore,z_combined_evaluation_scores,z_evaluation_results
1,gpt-4o-mini-f3,100.0,4.194523283997164,3.8522975270232847
2,gpt-4o-mini-f2,76.6917,2.386067405738641,
3,gpt-4o-mini-f1,71.1137,1.9557129320354096,2.0327444864425246
4,claude-4-sonnet-20250514,58.4972,1.4241136850616356,0.791789851945649
5,llama3.3-70b-sft1,55.4667,0.5310543367284897,1.2590877661286588
6,claude-3-7-sonnet-20250219,49.8451,0.5461913021559442,0.4541514453399184
7,qwen3-235b-a22b,47.9128,0.3868468616981736,0.34201614170489947
8,pe_gpt-4o-mini,47.068,0.25494109732712,0.35523652479553663
9,llama4_maverick,46.816,0.2517111922187255,0.3230511993812109
10,gpt-4o-mini,46.5907,0.3404608370890161,0.2026509555982934
11,llama3.1-8b-lora1,46.4421,-0.06119478006021018,0.5834257928995328
12,pe_llama-3.1-405b-instruct,46.3572,0.20388451924378564,0.30641796800893134
13,llama-3.3-70b-instruct,45.7474,0.23413813492521957,0.19050050293405232
14,gpt-4.1,45.7406,0.09330035068631369,0.330382466581446
15,Gemini-1.5-pro,45.5178,,0.1961881161822003
16,pe_deepseek-r1-32b,45.2522,0.1109338866834932,0.24413165812590285
17,llama4_scout,45.1307,0.19668127741487196,0.14130510055842577
18,gpt-4.1-mini,45.0451,0.30117820739233037,0.024784899873502544
19,llama3.1-8b-f1,44.923,-0.10328738726243257,0.41209885252979617
20,pe_llama-3.3-70b-instruct,44.9062,0.0945806734319837,0.21187559364734923
21,llama-3.1-405b-instruct,44.0383,-0.06551672515755819,0.25002887945304514
22,deepseek-r1,43.7289,-0.22840983740743032,0.36945385918270707
23,o3,43.606,1.0257244884645298,-0.9019484514719681
24,pe_llama-3.1-70b-instruct,43.595,0.061117692579251925,
25,llama3.1-8b-f2,42.9613,0.01660023169204968,
26,mistral-large-latest,42.3736,-0.2691473793151048,0.2197814003236105
27,Gemini,42.141,-0.041025702939254574,
28,gpt-4.1-nano,42.0225,0.004376116350705431,-0.10307167129684443
29,pe_llama-3.1-8b-instruct,41.8333,-0.0626354284259925,
30,codestral-22b-instruct-v0.1,41.7765,-0.21968036414150097,0.08642351794512733
31,pe_llama4_scout,41.7308,-0.06983867025490618,
32,deepseek-r1-32b,41.3279,-0.05805416662280387,-0.1382282502320299
33,pe_llama4_maverick,40.9515,-0.12458330815464372,
34,mixtral-8x22b-instruct-v0.1,40.8646,-0.08856709901007946,-0.17280785809902344
35,gemma-2-27b-it,40.4,-0.30898629897481505,-0.01765508022077936
36,Gemini-2.5-pro,39.7573,0.33027645161209696,-0.7472190119253499
37,o4-mini,39.3949,0.3811983789966895,-0.849049778496318
38,llama-3.1-70b-instruct,39.3817,0.016015414038612272,-0.4857266753385476
39,gpt-4o,39.2967,-0.8204164688276334,0.3387666916107406
40,nemotron-4-340b-instruct,38.9238,-0.6095968366863795,0.07555347113803837
41,claude-3-5-sonnet,38.1879,-0.8434668426801547,0.20602919798728997
42,llama-3.1-8b-instruct,37.7002,-0.2545982572052215,-0.4513596129212023
43,pe_deepseek-r1-8b,37.342,-0.3781374205323789,
44,gemma-2-9b-it,35.1118,-0.8540220881324232,-0.21558397454426062
45,mistral-nemo-12b-instruct,34.8723,-0.45016983882150846,-0.65308331466136
46,mixtral-8x7b-instruct-v0.1,33.898,-0.2358589879276907,-1.0042796662949622
47,deepseek-r1-8b,33.4866,-0.8016880400724591,-0.49624901944044153
48,gemma-2-2b-it,29.2138,-1.2352090874113715,-0.663035187316256
49,gemma-3-1b-it,25.4487,-1.735698887991365,-0.6915225332572463
50,mamba-codestral-7b-v0.1,23.879,-1.1243932740077587,-1.5233556381116664
51,phi-3-mini-128k-instruct,21.5083,-1.7222623458075312,-1.25856182291109
52,phi-3-medium-128k-instruct,0.0,-2.575183233731645,-3.4274363208023635
