Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
llama4_scout,gator,first,31.67,16.33,26.0,3
llama4_scout,gator,second,62.67,73.33,70.0,3
llama4_scout,gator,third,28.33,80.33,63.33,3
llama4_scout,gear,first,17.0,21.33,31.0,2
llama4_scout,gear,second,59.67,87.67,82.33,3
llama4_scout,gear,third,58.0,44.33,51.33,3
llama4_scout,feda,first,16.33,19.67,9.0,3
llama4_scout,feda,second,50.0,65.67,61.33,3
llama4_scout,feda,third,77.67,19.0,51.67,3
llama4_scout,man,first,27.0,25.67,26.33,3
llama4_scout,man,second,41.67,72.67,66.67,3
llama4_scout,man,third,31.33,16.33,32.67,3
llama4_scout,art,first,16.33,16.67,11.67,3
llama4_scout,art,second,48.0,70.67,81.67,3
llama4_scout,art,third,31.67,92.67,70.67,3
llama4_scout,vehros,first,17.67,30.67,31.0,3
llama4_scout,vehros,second,55.67,38.0,32.0,3
llama4_scout,vehros,third,49.33,30.33,30.67,3
llama4_scout,pendulum,first,15.0,24.33,17.33,3
llama4_scout,pendulum,second,39.0,48.67,56.67,3
llama4_scout,pendulum,third,71.67,40.67,37.0,3
llama4_scout,rigid_highway,first,18.33,13.0,13.67,3
llama4_scout,rigid_highway,second,52.67,81.67,67.33,3
llama4_scout,rigid_highway,third,41.0,83.67,83.0,3
llama4_scout,curiosity,first,20.0,6.33,13.67,3
llama4_scout,curiosity,second,57.33,44.0,62.67,3
llama4_scout,curiosity,third,45.33,57.33,39.33,3
llama4_scout,gps_imu,first,10.0,13.33,22.67,3
llama4_scout,gps_imu,second,26.33,58.0,41.33,3
llama4_scout,gps_imu,third,45.67,78.0,80.67,3
llama4_scout,mass_spring_damper,first,27.33,26.33,27.67,3
llama4_scout,mass_spring_damper,second,56.67,51.33,60.67,3
llama4_scout,mass_spring_damper,third,62.67,21.67,34.0,3
llama4_scout,uazbus,first,35.67,17.0,6.33,3
llama4_scout,uazbus,second,55.0,66.67,52.33,3
llama4_scout,uazbus,third,31.0,52.67,47.33,3
llama4_scout,scm,first,38.0,25.33,29.33,3
llama4_scout,scm,second,51.0,78.33,59.33,3
llama4_scout,scm,third,49.33,28.67,29.33,3
llama4_scout,veh_app,first,29.67,34.0,22.33,3
llama4_scout,veh_app,second,30.0,40.0,44.67,3
llama4_scout,veh_app,third,33.67,67.0,53.0,3
llama4_scout,sedan,first,34.0,24.0,22.67,3
llama4_scout,sedan,second,49.0,53.0,41.0,3
llama4_scout,sedan,third,42.0,28.33,29.0,3
llama4_scout,citybus,first,21.33,9.67,11.67,3
llama4_scout,citybus,second,50.33,58.33,55.33,3
llama4_scout,citybus,third,43.33,67.33,65.0,3
llama4_scout,beam,first,29.0,13.0,6.33,3
llama4_scout,beam,second,41.67,36.67,40.33,3
llama4_scout,beam,third,51.67,65.33,72.67,3
llama4_scout,sensros,first,27.67,7.33,26.67,3
llama4_scout,sensros,second,30.0,55.67,57.0,3
llama4_scout,sensros,third,32.33,77.33,69.0,3
llama4_scout,camera,first,29.0,27.67,28.0,3
llama4_scout,camera,second,55.33,64.0,45.0,3
llama4_scout,camera,third,49.33,50.0,49.33,3
llama4_scout,particles,first,47.33,10.0,10.67,3
llama4_scout,particles,second,75.33,71.0,75.33,3
llama4_scout,particles,third,58.33,41.0,28.33,3
llama4_scout,kraz,first,35.67,8.33,19.33,3
llama4_scout,kraz,second,32.0,63.67,46.67,3
llama4_scout,kraz,third,19.67,23.33,25.67,3
llama4_scout,m113,first,19.33,19.33,25.33,3
llama4_scout,m113,second,58.67,39.67,36.0,3
llama4_scout,m113,third,35.0,31.33,33.67,3
llama4_scout,tablecloth,first,22.33,33.33,28.33,3
llama4_scout,tablecloth,second,39.0,50.33,58.33,2
llama4_scout,tablecloth,third,42.0,72.33,57.33,3
llama4_scout,rotor,first,8.33,22.67,27.67,3
llama4_scout,rotor,second,53.0,81.0,70.67,3
llama4_scout,rotor,third,61.33,37.67,54.0,3
llama4_scout,scm_hill,first,13.33,18.33,8.0,3
llama4_scout,scm_hill,second,29.0,46.0,50.67,3
llama4_scout,scm_hill,third,49.33,51.33,56.67,3
llama4_scout,viper,first,30.0,27.0,31.33,3
llama4_scout,viper,second,58.67,89.0,85.67,3
llama4_scout,viper,third,47.33,43.67,33.67,3
llama4_scout,buckling,first,33.67,29.0,13.0,3
llama4_scout,buckling,second,49.0,64.33,79.67,3
llama4_scout,buckling,third,63.67,49.67,26.33,3
llama4_scout,slider_crank,first,18.67,26.33,8.33,3
llama4_scout,slider_crank,second,43.33,38.0,44.0,3
llama4_scout,slider_crank,third,60.33,70.0,64.67,3
llama4_scout,turtlebot,first,30.67,16.67,24.67,3
llama4_scout,turtlebot,second,52.33,64.33,71.0,3
llama4_scout,turtlebot,third,53.33,39.67,34.33,3
llama4_scout,rigid_multipatches,first,29.67,12.33,19.33,3
llama4_scout,rigid_multipatches,second,62.67,36.33,46.33,3
llama4_scout,rigid_multipatches,third,76.67,86.67,83.33,3
llama4_scout,cable,first,51.67,15.67,23.67,3
llama4_scout,cable,second,49.67,65.0,76.67,3
llama4_scout,cable,third,50.33,39.33,35.33,3
llama4_scout,hmmwv,first,24.33,20.33,13.0,3
llama4_scout,hmmwv,second,40.67,16.0,34.0,3
llama4_scout,hmmwv,third,48.33,55.67,52.0,3
llama4_scout,handler,first,14.0,26.33,23.0,3
llama4_scout,handler,second,60.0,84.0,79.67,3
llama4_scout,handler,third,54.67,32.67,13.33,3
llama4_scout,lidar,first,26.33,29.67,9.0,3
llama4_scout,lidar,second,27.0,28.33,53.67,3
llama4_scout,lidar,third,46.33,29.67,27.33,3
mistral-nemo-12b-instruct,gator,first,15.67,20.33,22.67,3
mistral-nemo-12b-instruct,gator,second,26.0,28.0,14.0,3
mistral-nemo-12b-instruct,gator,third,45.67,87.0,77.0,3
mistral-nemo-12b-instruct,gear,first,23.0,15.0,21.0,3
mistral-nemo-12b-instruct,gear,second,51.33,90.67,77.0,3
mistral-nemo-12b-instruct,gear,third,53.67,40.33,49.0,3
mistral-nemo-12b-instruct,feda,first,16.67,22.0,28.33,3
mistral-nemo-12b-instruct,feda,second,51.0,51.33,60.0,3
mistral-nemo-12b-instruct,feda,third,44.0,37.67,32.0,3
mistral-nemo-12b-instruct,man,first,20.67,24.0,36.67,3
mistral-nemo-12b-instruct,man,second,39.33,27.0,42.0,3
mistral-nemo-12b-instruct,man,third,53.33,39.33,37.0,3
mistral-nemo-12b-instruct,art,first,19.33,31.67,13.67,3
mistral-nemo-12b-instruct,art,second,24.67,15.0,14.0,3
mistral-nemo-12b-instruct,art,third,55.33,91.67,83.33,3
mistral-nemo-12b-instruct,vehros,first,19.0,18.67,12.33,3
mistral-nemo-12b-instruct,vehros,second,71.67,39.0,33.0,3
mistral-nemo-12b-instruct,vehros,third,39.0,41.67,43.0,3
mistral-nemo-12b-instruct,pendulum,first,28.0,13.67,26.67,3
mistral-nemo-12b-instruct,pendulum,second,39.67,26.67,32.33,3
mistral-nemo-12b-instruct,pendulum,third,28.0,54.33,36.67,3
mistral-nemo-12b-instruct,rigid_highway,first,37.33,21.67,18.33,3
mistral-nemo-12b-instruct,rigid_highway,second,50.0,76.67,75.33,3
mistral-nemo-12b-instruct,rigid_highway,third,38.0,42.67,30.67,3
mistral-nemo-12b-instruct,curiosity,first,21.67,22.33,28.0,3
mistral-nemo-12b-instruct,curiosity,second,39.33,63.67,61.0,3
mistral-nemo-12b-instruct,curiosity,third,31.67,38.33,33.33,3
mistral-nemo-12b-instruct,gps_imu,first,6.33,15.67,8.67,3
mistral-nemo-12b-instruct,gps_imu,second,43.67,24.67,53.0,3
mistral-nemo-12b-instruct,gps_imu,third,50.0,78.67,73.33,3
mistral-nemo-12b-instruct,mass_spring_damper,first,12.33,18.67,23.67,3
mistral-nemo-12b-instruct,mass_spring_damper,second,49.0,54.0,65.67,3
mistral-nemo-12b-instruct,mass_spring_damper,third,38.33,59.33,53.0,3
