Test Model,System,Round,Score Document,Score Reference,Score Reference Document
sft-task-32b-lr2x-3156662,art,first,81.0,39.0,49.0
sft-task-32b-lr2x-3156662,art,second,54.0,88.0,80.0
sft-task-32b-lr2x-3156662,art,third,34.0,83.0,83.0
sft-task-32b-lr2x-3156662,beam,first,54.0,44.0,34.0
sft-task-32b-lr2x-3156662,beam,second,72.0,59.0,52.0
sft-task-32b-lr2x-3156662,beam,third,69.0,68.0,77.0
sft-task-32b-lr2x-3156662,buckling,first,67.0,44.0,49.0
sft-task-32b-lr2x-3156662,buckling,second,64.0,69.0,88.0
sft-task-32b-lr2x-3156662,buckling,third,65.0,57.0,47.0
sft-task-32b-lr2x-3156662,cable,first,72.0,59.0,29.0
sft-task-32b-lr2x-3156662,cable,second,64.0,78.0,54.0
sft-task-32b-lr2x-3156662,cable,third,68.0,39.0,42.0
sft-task-32b-lr2x-3156662,camera,first,55.0,27.0,27.0
sft-task-32b-lr2x-3156662,camera,second,55.0,60.0,47.0
sft-task-32b-lr2x-3156662,camera,third,42.0,22.0,54.0
sft-task-32b-lr2x-3156662,citybus,first,34.0,62.0,52.0
sft-task-32b-lr2x-3156662,citybus,second,59.0,57.0,44.0
sft-task-32b-lr2x-3156662,citybus,third,54.0,85.0,76.0
sft-task-32b-lr2x-3156662,curiosity,first,67.0,39.0,54.0
sft-task-32b-lr2x-3156662,curiosity,second,59.0,59.0,69.0
sft-task-32b-lr2x-3156662,curiosity,third,60.0,35.0,37.0
sft-task-32b-lr2x-3156662,feda,first,59.0,54.0,29.0
sft-task-32b-lr2x-3156662,feda,second,54.0,73.0,69.0
sft-task-32b-lr2x-3156662,feda,third,55.0,69.0,29.0
sft-task-32b-lr2x-3156662,gator,first,62.0,44.0,42.0
sft-task-32b-lr2x-3156662,gator,second,69.0,69.0,64.0
sft-task-32b-lr2x-3156662,gator,third,67.0,65.0,68.0
sft-task-32b-lr2x-3156662,gear,first,62.0,37.0,59.0
sft-task-32b-lr2x-3156662,gear,second,64.0,95.0,78.0
sft-task-32b-lr2x-3156662,gear,third,64.0,42.0,54.0
sft-task-32b-lr2x-3156662,gps_imu,first,72.0,52.0,42.0
sft-task-32b-lr2x-3156662,gps_imu,second,64.0,39.0,60.0
sft-task-32b-lr2x-3156662,gps_imu,third,93.0,74.0,63.0
sft-task-32b-lr2x-3156662,handler,first,37.0,57.0,57.0
sft-task-32b-lr2x-3156662,handler,second,17.0,30.0,30.0
sft-task-32b-lr2x-3156662,handler,third,69.0,62.0,52.0
sft-task-32b-lr2x-3156662,hmmwv,first,62.0,54.0,34.0
sft-task-32b-lr2x-3156662,hmmwv,second,59.0,54.0,64.0
sft-task-32b-lr2x-3156662,hmmwv,third,83.0,73.0,75.0
sft-task-32b-lr2x-3156662,kraz,first,54.0,34.0,34.0
sft-task-32b-lr2x-3156662,kraz,second,39.0,34.0,34.0
sft-task-32b-lr2x-3156662,kraz,third,79.0,32.0,54.0
sft-task-32b-lr2x-3156662,lidar,first,57.0,22.0,57.0
sft-task-32b-lr2x-3156662,lidar,second,57.0,62.0,55.0
sft-task-32b-lr2x-3156662,lidar,third,57.0,37.0,35.0
sft-task-32b-lr2x-3156662,m113,first,58.0,62.0,27.0
sft-task-32b-lr2x-3156662,m113,second,34.0,62.0,47.0
sft-task-32b-lr2x-3156662,m113,third,64.0,67.0,47.0
sft-task-32b-lr2x-3156662,man,first,59.0,37.0,57.0
sft-task-32b-lr2x-3156662,man,second,72.0,62.0,59.0
sft-task-32b-lr2x-3156662,man,third,64.0,49.0,37.0
sft-task-32b-lr2x-3156662,mass_spring_damper,first,59.0,44.0,32.0
sft-task-32b-lr2x-3156662,mass_spring_damper,second,59.0,75.0,68.0
sft-task-32b-lr2x-3156662,mass_spring_damper,third,49.0,81.0,81.0
sft-task-32b-lr2x-3156662,particles,first,57.0,52.0,42.0
sft-task-32b-lr2x-3156662,particles,second,62.0,68.0,73.0
sft-task-32b-lr2x-3156662,particles,third,68.0,63.0,63.0
sft-task-32b-lr2x-3156662,pendulum,first,78.0,49.0,69.0
sft-task-32b-lr2x-3156662,pendulum,second,62.0,47.0,52.0
sft-task-32b-lr2x-3156662,pendulum,third,54.0,62.0,64.0
sft-task-32b-lr2x-3156662,rigid_highway,first,64.0,64.0,40.0
sft-task-32b-lr2x-3156662,rigid_highway,second,59.0,72.0,69.0
sft-task-32b-lr2x-3156662,rigid_highway,third,64.0,77.0,86.0
sft-task-32b-lr2x-3156662,rigid_multipatches,first,54.0,32.0,19.0
sft-task-32b-lr2x-3156662,rigid_multipatches,second,67.0,72.0,54.0
sft-task-32b-lr2x-3156662,rigid_multipatches,third,77.0,70.0,73.0
sft-task-32b-lr2x-3156662,rotor,first,67.0,32.0,44.0
sft-task-32b-lr2x-3156662,rotor,second,69.0,54.0,69.0
sft-task-32b-lr2x-3156662,rotor,third,64.0,54.0,49.0
sft-task-32b-lr2x-3156662,scm,first,63.0,27.0,34.0
sft-task-32b-lr2x-3156662,scm,second,62.0,62.0,52.0
sft-task-32b-lr2x-3156662,scm,third,59.0,59.0,44.0
sft-task-32b-lr2x-3156662,scm_hill,first,83.0,62.0,37.0
sft-task-32b-lr2x-3156662,scm_hill,second,59.0,67.0,54.0
sft-task-32b-lr2x-3156662,scm_hill,third,64.0,67.0,62.0
sft-task-32b-lr2x-3156662,sedan,first,59.0,59.0,59.0
sft-task-32b-lr2x-3156662,sedan,second,47.0,64.0,62.0
sft-task-32b-lr2x-3156662,sedan,third,64.0,37.0,55.0
sft-task-32b-lr2x-3156662,sensros,first,57.0,25.0,55.0
sft-task-32b-lr2x-3156662,sensros,second,40.0,27.0,30.0
sft-task-32b-lr2x-3156662,sensros,third,57.0,19.0,25.0
sft-task-32b-lr2x-3156662,slider_crank,first,64.0,39.0,54.0
sft-task-32b-lr2x-3156662,slider_crank,second,59.0,72.0,69.0
sft-task-32b-lr2x-3156662,slider_crank,third,59.0,67.0,79.0
sft-task-32b-lr2x-3156662,tablecloth,first,59.0,57.0,24.0
sft-task-32b-lr2x-3156662,tablecloth,second,64.0,72.0,70.0
sft-task-32b-lr2x-3156662,tablecloth,third,32.0,34.0,12.0
sft-task-32b-lr2x-3156662,turtlebot,first,64.0,34.0,59.0
sft-task-32b-lr2x-3156662,turtlebot,second,66.0,76.0,75.0
sft-task-32b-lr2x-3156662,turtlebot,third,69.0,59.0,34.0
sft-task-32b-lr2x-3156662,uazbus,first,57.0,57.0,42.0
sft-task-32b-lr2x-3156662,uazbus,second,67.0,54.0,60.0
sft-task-32b-lr2x-3156662,uazbus,third,68.0,44.0,49.0
sft-task-32b-lr2x-3156662,veh_app,first,67.0,49.0,67.0
sft-task-32b-lr2x-3156662,veh_app,second,57.0,29.0,15.0
sft-task-32b-lr2x-3156662,veh_app,third,25.0,35.0,32.0
sft-task-32b-lr2x-3156662,vehros,first,52.0,0.0,42.0
sft-task-32b-lr2x-3156662,vehros,second,25.0,50.0,25.0
sft-task-32b-lr2x-3156662,vehros,third,75.0,49.0,64.0
sft-task-32b-lr2x-3156662,viper,first,64.0,62.0,57.0
sft-task-32b-lr2x-3156662,viper,second,69.0,83.0,81.0
sft-task-32b-lr2x-3156662,viper,third,78.0,62.0,63.0
