Test Model,System,Round,Score Document,Score Reference,Score Reference Document,Document Judge Count,Reference Judge Count,Reference Document Judge Count
qwen3-32b-baseline,art,first,82.0,27.0,17.0,1,1,1
qwen3-32b-baseline,art,second,27.0,90.0,90.0,1,1,1
qwen3-32b-baseline,art,third,39.0,85.0,90.0,1,1,1
qwen3-32b-baseline,beam,first,74.0,17.0,27.0,1,1,1
qwen3-32b-baseline,beam,second,67.0,59.0,64.0,1,1,1
qwen3-32b-baseline,beam,third,84.0,62.0,67.0,1,1,1
qwen3-32b-baseline,buckling,first,74.0,25.0,32.0,1,1,1
qwen3-32b-baseline,buckling,second,86.0,78.0,54.0,1,1,1
qwen3-32b-baseline,buckling,third,35.0,0.0,39.0,1,1,1
qwen3-32b-baseline,cable,first,34.0,12.0,19.0,1,1,1
qwen3-32b-baseline,cable,second,29.0,77.0,72.0,1,1,1
qwen3-32b-baseline,cable,third,29.0,7.0,34.0,1,1,1
qwen3-32b-baseline,camera,first,68.0,30.0,32.0,1,1,1
qwen3-32b-baseline,camera,second,57.0,49.0,49.0,1,1,1
qwen3-32b-baseline,camera,third,12.0,30.0,32.0,1,1,1
qwen3-32b-baseline,citybus,first,20.0,10.0,20.0,1,1,1
qwen3-32b-baseline,citybus,second,44.0,69.0,87.0,1,1,1
qwen3-32b-baseline,citybus,third,12.0,75.0,82.0,1,1,1
qwen3-32b-baseline,curiosity,first,24.0,12.0,27.0,1,1,1
qwen3-32b-baseline,curiosity,second,37.0,12.0,43.0,1,1,1
qwen3-32b-baseline,curiosity,third,32.0,37.0,32.0,1,1,1
qwen3-32b-baseline,feda,first,87.0,0.0,34.0,1,1,1
qwen3-32b-baseline,feda,second,75.0,14.0,44.0,1,1,1
qwen3-32b-baseline,feda,third,15.0,27.0,25.0,1,1,1
qwen3-32b-baseline,gator,first,77.0,0.0,7.0,1,1,1
qwen3-32b-baseline,gator,second,70.0,0.0,52.0,1,1,1
qwen3-32b-baseline,gator,third,32.0,77.0,67.0,1,1,1
