Test Model,System,Round,Score Document,Score Reference,Score Reference Document
qwen3-8b-baseline,art,first,12.0,10.0,30.0
qwen3-8b-baseline,art,second,59.0,95.0,83.0
qwen3-8b-baseline,art,third,44.0,85.0,78.0
qwen3-8b-baseline,beam,first,34.0,34.0,32.0
qwen3-8b-baseline,beam,second,59.0,62.0,59.0
qwen3-8b-baseline,beam,third,64.0,70.0,72.0
qwen3-8b-baseline,buckling,first,62.0,57.0,52.0
qwen3-8b-baseline,buckling,second,72.0,69.0,72.0
qwen3-8b-baseline,buckling,third,59.0,54.0,39.0
qwen3-8b-baseline,cable,first,32.0,37.0,24.0
qwen3-8b-baseline,cable,second,67.0,85.0,64.0
qwen3-8b-baseline,cable,third,62.0,57.0,62.0
qwen3-8b-baseline,camera,first,50.0,20.0,55.0
qwen3-8b-baseline,camera,second,70.0,63.0,57.0
qwen3-8b-baseline,camera,third,57.0,42.0,62.0
qwen3-8b-baseline,citybus,first,54.0,14.0,27.0
qwen3-8b-baseline,citybus,second,65.0,74.0,73.0
qwen3-8b-baseline,citybus,third,63.0,87.0,76.0
qwen3-8b-baseline,curiosity,first,64.0,22.0,49.0
qwen3-8b-baseline,curiosity,second,75.0,72.0,72.0
qwen3-8b-baseline,curiosity,third,64.0,62.0,62.0
qwen3-8b-baseline,feda,first,54.0,32.0,54.0
qwen3-8b-baseline,feda,second,57.0,62.0,62.0
qwen3-8b-baseline,feda,third,39.0,49.0,54.0
qwen3-8b-baseline,gator,first,34.0,42.0,47.0
qwen3-8b-baseline,gator,second,64.0,67.0,59.0
qwen3-8b-baseline,gator,third,55.0,95.0,79.0
qwen3-8b-baseline,gear,first,54.0,62.0,24.0
qwen3-8b-baseline,gear,second,59.0,85.0,86.0
qwen3-8b-baseline,gear,third,39.0,52.0,54.0
qwen3-8b-baseline,gps_imu,first,64.0,52.0,25.0
qwen3-8b-baseline,gps_imu,second,59.0,64.0,64.0
qwen3-8b-baseline,gps_imu,third,54.0,83.0,78.0
qwen3-8b-baseline,handler,first,40.0,52.0,25.0
qwen3-8b-baseline,handler,second,57.0,73.0,55.0
qwen3-8b-baseline,handler,third,69.0,27.0,59.0
qwen3-8b-baseline,hmmwv,first,54.0,25.0,17.0
qwen3-8b-baseline,hmmwv,second,10.0,12.0,5.0
qwen3-8b-baseline,hmmwv,third,39.0,55.0,68.0
qwen3-8b-baseline,kraz,first,64.0,27.0,42.0
qwen3-8b-baseline,kraz,second,63.0,64.0,69.0
qwen3-8b-baseline,kraz,third,69.0,12.0,17.0
qwen3-8b-baseline,lidar,first,40.0,52.0,42.0
qwen3-8b-baseline,lidar,second,62.0,42.0,47.0
qwen3-8b-baseline,lidar,third,52.0,12.0,27.0
qwen3-8b-baseline,m113,first,37.0,44.0,52.0
qwen3-8b-baseline,m113,second,57.0,39.0,37.0
qwen3-8b-baseline,m113,third,60.0,67.0,49.0
qwen3-8b-baseline,man,first,39.0,19.0,20.0
qwen3-8b-baseline,man,second,59.0,69.0,72.0
qwen3-8b-baseline,man,third,39.0,49.0,54.0
qwen3-8b-baseline,mass_spring_damper,first,64.0,35.0,59.0
qwen3-8b-baseline,mass_spring_damper,second,39.0,52.0,54.0
qwen3-8b-baseline,mass_spring_damper,third,59.0,68.0,63.0
qwen3-8b-baseline,particles,first,52.0,57.0,47.0
qwen3-8b-baseline,particles,second,62.0,81.0,73.0
qwen3-8b-baseline,particles,third,68.0,59.0,55.0
qwen3-8b-baseline,pendulum,first,62.0,59.0,42.0
qwen3-8b-baseline,pendulum,second,59.0,49.0,57.0
qwen3-8b-baseline,pendulum,third,20.0,7.0,10.0
qwen3-8b-baseline,rigid_highway,first,54.0,59.0,25.0
qwen3-8b-baseline,rigid_highway,second,55.0,69.0,69.0
qwen3-8b-baseline,rigid_highway,third,82.0,80.0,86.0
qwen3-8b-baseline,rigid_multipatches,first,57.0,40.0,17.0
qwen3-8b-baseline,rigid_multipatches,second,49.0,34.0,59.0
qwen3-8b-baseline,rigid_multipatches,third,62.0,80.0,78.0
qwen3-8b-baseline,rotor,first,49.0,54.0,37.0
qwen3-8b-baseline,rotor,second,68.0,62.0,60.0
qwen3-8b-baseline,rotor,third,54.0,59.0,60.0
qwen3-8b-baseline,scm,first,49.0,44.0,29.0
qwen3-8b-baseline,scm,second,64.0,70.0,39.0
qwen3-8b-baseline,scm,third,44.0,59.0,57.0
qwen3-8b-baseline,scm_hill,first,64.0,19.0,12.0
qwen3-8b-baseline,scm_hill,second,64.0,59.0,64.0
qwen3-8b-baseline,scm_hill,third,55.0,62.0,54.0
qwen3-8b-baseline,sedan,first,54.0,54.0,59.0
qwen3-8b-baseline,sedan,second,37.0,37.0,57.0
qwen3-8b-baseline,sedan,third,42.0,67.0,62.0
qwen3-8b-baseline,sensros,first,55.0,35.0,57.0
qwen3-8b-baseline,sensros,second,57.0,73.0,54.0
qwen3-8b-baseline,sensros,third,52.0,67.0,64.0
qwen3-8b-baseline,slider_crank,first,44.0,32.0,59.0
qwen3-8b-baseline,slider_crank,second,20.0,35.0,15.0
qwen3-8b-baseline,slider_crank,third,74.0,73.0,89.0
qwen3-8b-baseline,tablecloth,first,54.0,69.0,54.0
qwen3-8b-baseline,tablecloth,second,66.0,71.0,64.0
qwen3-8b-baseline,tablecloth,third,66.0,65.0,65.0
qwen3-8b-baseline,turtlebot,first,59.0,59.0,32.0
qwen3-8b-baseline,turtlebot,second,82.0,79.0,47.0
qwen3-8b-baseline,turtlebot,third,64.0,54.0,64.0
qwen3-8b-baseline,uazbus,first,59.0,12.0,17.0
qwen3-8b-baseline,uazbus,second,73.0,72.0,64.0
qwen3-8b-baseline,uazbus,third,59.0,57.0,54.0
qwen3-8b-baseline,veh_app,first,29.0,59.0,17.0
qwen3-8b-baseline,veh_app,second,62.0,64.0,54.0
qwen3-8b-baseline,veh_app,third,17.0,62.0,52.0
qwen3-8b-baseline,vehros,first,47.0,30.0,15.0
qwen3-8b-baseline,vehros,second,59.0,52.0,54.0
qwen3-8b-baseline,vehros,third,54.0,44.0,59.0
qwen3-8b-baseline,viper,first,57.0,57.0,57.0
qwen3-8b-baseline,viper,second,64.0,69.0,81.0
qwen3-8b-baseline,viper,third,65.0,63.0,62.0
