Test Model,System,Round,Score Document,Score Reference,Score Reference Document
sft-task-32b-3156659,art,first,54.0,57.0,34.0
sft-task-32b-3156659,art,second,44.0,92.0,75.0
sft-task-32b-3156659,art,third,62.0,85.0,82.0
sft-task-32b-3156659,beam,first,67.0,44.0,49.0
sft-task-32b-3156659,beam,second,64.0,68.0,57.0
sft-task-32b-3156659,beam,third,78.0,68.0,62.0
sft-task-32b-3156659,buckling,first,54.0,39.0,54.0
sft-task-32b-3156659,buckling,second,65.0,92.0,86.0
sft-task-32b-3156659,buckling,third,69.0,44.0,27.0
sft-task-32b-3156659,cable,first,77.0,44.0,32.0
sft-task-32b-3156659,cable,second,59.0,88.0,62.0
sft-task-32b-3156659,cable,third,68.0,37.0,64.0
sft-task-32b-3156659,camera,first,52.0,55.0,55.0
sft-task-32b-3156659,camera,second,55.0,73.0,55.0
sft-task-32b-3156659,camera,third,57.0,62.0,59.0
sft-task-32b-3156659,citybus,first,59.0,54.0,54.0
sft-task-32b-3156659,citybus,second,64.0,73.0,67.0
sft-task-32b-3156659,citybus,third,67.0,75.0,78.0
sft-task-32b-3156659,curiosity,first,60.0,54.0,45.0
sft-task-32b-3156659,curiosity,second,59.0,68.0,72.0
sft-task-32b-3156659,curiosity,third,73.0,52.0,62.0
sft-task-32b-3156659,feda,first,67.0,44.0,29.0
sft-task-32b-3156659,feda,second,64.0,64.0,64.0
sft-task-32b-3156659,feda,third,50.0,60.0,59.0
sft-task-32b-3156659,gator,first,67.0,54.0,57.0
sft-task-32b-3156659,gator,second,59.0,67.0,64.0
sft-task-32b-3156659,gator,third,49.0,78.0,80.0
sft-task-32b-3156659,gear,first,59.0,42.0,59.0
sft-task-32b-3156659,gear,second,64.0,95.0,83.0
sft-task-32b-3156659,gear,third,64.0,54.0,54.0
sft-task-32b-3156659,gps_imu,first,78.0,64.0,44.0
sft-task-32b-3156659,gps_imu,second,88.0,67.0,64.0
sft-task-32b-3156659,gps_imu,third,59.0,70.0,74.0
sft-task-32b-3156659,handler,first,52.0,47.0,20.0
sft-task-32b-3156659,handler,second,60.0,75.0,60.0
sft-task-32b-3156659,handler,third,67.0,59.0,59.0
sft-task-32b-3156659,hmmwv,first,67.0,59.0,47.0
sft-task-32b-3156659,hmmwv,second,59.0,32.0,57.0
sft-task-32b-3156659,hmmwv,third,44.0,68.0,68.0
sft-task-32b-3156659,kraz,first,59.0,59.0,44.0
sft-task-32b-3156659,kraz,second,55.0,37.0,47.0
sft-task-32b-3156659,kraz,third,82.0,64.0,54.0
sft-task-32b-3156659,lidar,first,57.0,52.0,40.0
sft-task-32b-3156659,lidar,second,52.0,73.0,44.0
