Test Model,System,Round,Score Document,Score Reference,Score Reference Document,Document Judge Count,Reference Judge Count,Reference Document Judge Count
sft-task-32b-3156659,art,first,39.0,0.0,17.0,1,1,1
sft-task-32b-3156659,art,second,88.0,88.0,82.0,1,1,1
sft-task-32b-3156659,art,third,9.0,87.0,78.0,1,1,1
sft-task-32b-3156659,beam,first,27.0,22.0,35.0,1,1,1
sft-task-32b-3156659,beam,second,62.0,34.0,34.0,1,1,1
sft-task-32b-3156659,beam,third,50.0,73.0,67.0,1,1,1
sft-task-32b-3156659,buckling,first,59.0,27.0,17.0,1,1,1
sft-task-32b-3156659,buckling,second,29.0,77.0,73.0,1,1,1
sft-task-32b-3156659,buckling,third,90.0,20.0,47.0,1,1,1
sft-task-32b-3156659,cable,first,64.0,22.0,2.0,1,1,1
sft-task-32b-3156659,cable,second,95.0,17.0,85.0,1,1,1
sft-task-32b-3156659,cable,third,12.0,32.0,27.0,1,1,1
sft-task-32b-3156659,camera,first,64.0,0.0,25.0,1,1,1
sft-task-32b-3156659,camera,second,57.0,52.0,52.0,1,1,1
sft-task-32b-3156659,camera,third,79.0,62.0,39.0,1,1,1
sft-task-32b-3156659,citybus,first,37.0,27.0,27.0,1,1,1
sft-task-32b-3156659,citybus,second,48.0,72.0,67.0,1,1,1
sft-task-32b-3156659,citybus,third,12.0,70.0,72.0,1,1,1
sft-task-32b-3156659,curiosity,first,59.0,15.0,27.0,1,1,1
sft-task-32b-3156659,curiosity,second,74.0,57.0,57.0,1,1,1
sft-task-32b-3156659,curiosity,third,84.0,32.0,54.0,1,1,1
sft-task-32b-3156659,feda,first,34.0,12.0,12.0,1,1,1
sft-task-32b-3156659,feda,second,27.0,24.0,59.0,1,1,1
sft-task-32b-3156659,feda,third,49.0,25.0,64.0,1,1,1
sft-task-32b-3156659,gator,first,82.0,0.0,37.0,1,1,1
sft-task-32b-3156659,gator,second,17.0,2.0,42.0,1,1,1
sft-task-32b-3156659,gator,third,69.0,83.0,85.0,1,1,1
sft-task-32b-3156659,gear,first,69.0,27.0,37.0,1,1,1
sft-task-32b-3156659,gear,second,54.0,88.0,68.0,1,1,1
sft-task-32b-3156659,gear,third,54.0,49.0,64.0,1,1,1
sft-task-32b-3156659,gps_imu,first,74.0,0.0,20.0,1,1,1
sft-task-32b-3156659,gps_imu,second,52.0,42.0,62.0,1,1,1
sft-task-32b-3156659,gps_imu,third,22.0,64.0,72.0,1,1,1
sft-task-32b-3156659,handler,first,40.0,14.0,37.0,1,1,1
sft-task-32b-3156659,handler,second,70.0,70.0,75.0,1,1,1
sft-task-32b-3156659,handler,third,83.0,12.0,27.0,1,1,1
sft-task-32b-3156659,hmmwv,first,84.0,0.0,32.0,1,1,1
sft-task-32b-3156659,hmmwv,second,65.0,15.0,44.0,1,1,1
sft-task-32b-3156659,hmmwv,third,85.0,64.0,72.0,1,1,1
sft-task-32b-3156659,kraz,first,72.0,25.0,0.0,1,1,1
sft-task-32b-3156659,kraz,second,42.0,12.0,35.0,1,1,1
sft-task-32b-3156659,kraz,third,12.0,0.0,32.0,1,1,1
sft-task-32b-3156659,lidar,first,49.0,0.0,7.0,1,1,1
sft-task-32b-3156659,lidar,second,25.0,59.0,27.0,1,1,1
sft-task-32b-3156659,lidar,third,12.0,12.0,32.0,1,1,1
sft-task-32b-3156659,m113,first,80.0,20.0,27.0,1,1,1
sft-task-32b-3156659,m113,second,39.0,30.0,32.0,1,1,1
sft-task-32b-3156659,m113,third,57.0,45.0,44.0,1,1,1
sft-task-32b-3156659,man,first,84.0,12.0,25.0,1,1,1
sft-task-32b-3156659,man,second,79.0,32.0,52.0,1,1,1
sft-task-32b-3156659,man,third,14.0,14.0,29.0,1,1,1
sft-task-32b-3156659,mass_spring_damper,first,17.0,0.0,22.0,1,1,1
sft-task-32b-3156659,mass_spring_damper,second,45.0,43.0,68.0,1,1,1
sft-task-32b-3156659,mass_spring_damper,third,49.0,67.0,60.0,1,1,1
sft-task-32b-3156659,particles,first,62.0,22.0,40.0,1,1,1
sft-task-32b-3156659,particles,second,59.0,60.0,47.0,1,1,1
sft-task-32b-3156659,particles,third,49.0,75.0,68.0,1,1,1
