Test Model,System,Round,Score Document,Score Reference,Score Reference Document,Document Judge Count,Reference Judge Count,Reference Document Judge Count
sft-task-32b-lr2x-3156662,art,first,50.0,22.0,32.0,1,1,1
sft-task-32b-lr2x-3156662,art,second,30.0,90.0,90.0,1,1,1
sft-task-32b-lr2x-3156662,art,third,52.0,84.0,90.0,1,1,1
sft-task-32b-lr2x-3156662,beam,first,32.0,7.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,beam,second,72.0,32.0,34.0,1,1,1
sft-task-32b-lr2x-3156662,beam,third,65.0,67.0,59.0,1,1,1
sft-task-32b-lr2x-3156662,buckling,first,55.0,29.0,14.0,1,1,1
sft-task-32b-lr2x-3156662,buckling,second,57.0,77.0,69.0,1,1,1
sft-task-32b-lr2x-3156662,buckling,third,12.0,0.0,44.0,1,1,1
sft-task-32b-lr2x-3156662,cable,first,19.0,20.0,29.0,1,1,1
sft-task-32b-lr2x-3156662,cable,second,62.0,77.0,78.0,1,1,1
sft-task-32b-lr2x-3156662,cable,third,59.0,12.0,0.0,1,1,1
sft-task-32b-lr2x-3156662,camera,first,17.0,0.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,camera,second,47.0,52.0,77.0,1,1,1
sft-task-32b-lr2x-3156662,camera,third,29.0,10.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,citybus,first,37.0,0.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,citybus,second,27.0,70.0,57.0,1,1,1
sft-task-32b-lr2x-3156662,citybus,third,14.0,85.0,85.0,1,1,1
sft-task-32b-lr2x-3156662,curiosity,first,90.0,20.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,curiosity,second,24.0,59.0,63.0,1,1,1
sft-task-32b-lr2x-3156662,curiosity,third,14.0,14.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,feda,first,49.0,96.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,feda,second,19.0,39.0,32.0,1,1,1
sft-task-32b-lr2x-3156662,feda,third,12.0,47.0,54.0,1,1,1
sft-task-32b-lr2x-3156662,gator,first,87.0,0.0,7.0,1,1,1
sft-task-32b-lr2x-3156662,gator,second,57.0,2.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,gator,third,39.0,68.0,70.0,1,1,1
sft-task-32b-lr2x-3156662,gear,first,75.0,24.0,34.0,1,1,1
sft-task-32b-lr2x-3156662,gear,second,44.0,88.0,83.0,1,1,1
sft-task-32b-lr2x-3156662,gear,third,52.0,47.0,44.0,1,1,1
sft-task-32b-lr2x-3156662,gps_imu,first,21.0,0.0,22.0,1,1,1
sft-task-32b-lr2x-3156662,gps_imu,second,20.0,12.0,32.0,1,1,1
sft-task-32b-lr2x-3156662,gps_imu,third,12.0,73.0,74.0,1,1,1
sft-task-32b-lr2x-3156662,handler,first,57.0,0.0,25.0,1,1,1
sft-task-32b-lr2x-3156662,handler,second,10.0,9.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,handler,third,74.0,0.0,30.0,1,1,1
sft-task-32b-lr2x-3156662,hmmwv,first,87.0,27.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,hmmwv,second,88.0,25.0,25.0,1,1,1
sft-task-32b-lr2x-3156662,hmmwv,third,57.0,75.0,69.0,1,1,1
sft-task-32b-lr2x-3156662,kraz,first,44.0,0.0,0.0,1,1,1
sft-task-32b-lr2x-3156662,kraz,second,35.0,2.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,kraz,third,15.0,12.0,42.0,1,1,1
sft-task-32b-lr2x-3156662,lidar,first,47.0,20.0,22.0,1,1,1
sft-task-32b-lr2x-3156662,lidar,second,62.0,0.0,30.0,1,1,1
sft-task-32b-lr2x-3156662,lidar,third,37.0,0.0,7.0,1,1,1
sft-task-32b-lr2x-3156662,m113,first,88.0,17.0,25.0,1,1,1
sft-task-32b-lr2x-3156662,m113,second,87.0,39.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,m113,third,57.0,14.0,59.0,1,1,1
sft-task-32b-lr2x-3156662,man,first,84.0,0.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,man,second,77.0,34.0,54.0,1,1,1
sft-task-32b-lr2x-3156662,man,third,27.0,44.0,39.0,1,1,1
sft-task-32b-lr2x-3156662,mass_spring_damper,first,14.0,17.0,15.0,1,1,1
sft-task-32b-lr2x-3156662,mass_spring_damper,second,77.0,54.0,55.0,1,1,1
sft-task-32b-lr2x-3156662,mass_spring_damper,third,17.0,65.0,62.0,1,1,1
sft-task-32b-lr2x-3156662,particles,first,68.0,0.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,particles,second,67.0,57.0,62.0,1,1,1
sft-task-32b-lr2x-3156662,particles,third,52.0,48.0,63.0,1,1,1
sft-task-32b-lr2x-3156662,pendulum,first,84.0,30.0,17.0,1,1,1
sft-task-32b-lr2x-3156662,pendulum,second,32.0,39.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,pendulum,third,74.0,42.0,65.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_highway,first,88.0,5.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_highway,second,14.0,32.0,85.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_highway,third,87.0,50.0,87.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_multipatches,first,63.0,98.0,24.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_multipatches,second,42.0,37.0,39.0,1,1,1
sft-task-32b-lr2x-3156662,rigid_multipatches,third,77.0,85.0,72.0,1,1,1
sft-task-32b-lr2x-3156662,rotor,first,67.0,15.0,34.0,1,1,1
sft-task-32b-lr2x-3156662,rotor,second,79.0,49.0,64.0,1,1,1
sft-task-32b-lr2x-3156662,rotor,third,62.0,59.0,49.0,1,1,1
sft-task-32b-lr2x-3156662,scm,first,52.0,0.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,scm,second,95.0,59.0,59.0,1,1,1
sft-task-32b-lr2x-3156662,scm,third,52.0,30.0,30.0,1,1,1
sft-task-32b-lr2x-3156662,scm_hill,first,83.0,7.0,32.0,1,1,1
sft-task-32b-lr2x-3156662,scm_hill,second,17.0,27.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,scm_hill,third,17.0,57.0,34.0,1,1,1
sft-task-32b-lr2x-3156662,sedan,first,12.0,0.0,34.0,1,1,1
sft-task-32b-lr2x-3156662,sedan,second,12.0,34.0,62.0,1,1,1
sft-task-32b-lr2x-3156662,sedan,third,12.0,0.0,30.0,1,1,1
sft-task-32b-lr2x-3156662,sensros,first,38.0,0.0,15.0,1,1,1
sft-task-32b-lr2x-3156662,sensros,second,45.0,30.0,20.0,1,1,1
sft-task-32b-lr2x-3156662,sensros,third,25.0,17.0,17.0,1,1,1
sft-task-32b-lr2x-3156662,slider_crank,first,50.0,17.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,slider_crank,second,72.0,83.0,39.0,1,1,1
sft-task-32b-lr2x-3156662,slider_crank,third,22.0,68.0,54.0,1,1,1
sft-task-32b-lr2x-3156662,tablecloth,first,54.0,0.0,24.0,1,1,1
sft-task-32b-lr2x-3156662,tablecloth,second,58.0,31.0,72.0,1,1,1
sft-task-32b-lr2x-3156662,tablecloth,third,47.0,10.0,2.0,1,1,1
sft-task-32b-lr2x-3156662,turtlebot,first,74.0,15.0,10.0,1,1,1
sft-task-32b-lr2x-3156662,turtlebot,second,77.0,61.0,73.0,1,1,1
sft-task-32b-lr2x-3156662,turtlebot,third,52.0,17.0,17.0,1,1,1
sft-task-32b-lr2x-3156662,uazbus,first,79.0,4.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,uazbus,second,12.0,32.0,37.0,1,1,1
sft-task-32b-lr2x-3156662,uazbus,third,59.0,20.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,veh_app,first,82.0,0.0,24.0,1,1,1
sft-task-32b-lr2x-3156662,veh_app,second,22.0,25.0,12.0,1,1,1
sft-task-32b-lr2x-3156662,veh_app,third,35.0,25.0,27.0,1,1,1
sft-task-32b-lr2x-3156662,vehros,first,70.0,0.0,10.0,1,1,1
sft-task-32b-lr2x-3156662,vehros,second,20.0,25.0,15.0,1,1,1
sft-task-32b-lr2x-3156662,vehros,third,63.0,34.0,30.0,1,1,1
sft-task-32b-lr2x-3156662,viper,first,62.0,0.0,17.0,1,1,1
sft-task-32b-lr2x-3156662,viper,second,90.0,80.0,82.0,1,1,1
sft-task-32b-lr2x-3156662,viper,third,67.0,34.0,14.0,1,1,1
