model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
llama4_maverick,45.989,43.885,41.549,0.607,0.514,0.546,0.857,0.5,0.775,0.665,0.688,0.774,100.0,1,1.403,0.864,0.837,0.923,1.446,1.31
qwen3-235b-a22b,49.196,44.775,42.814,0.591,0.474,0.5,0.809,0.512,0.709,0.604,0.631,0.708,99.96,2,1.911,1.021,1.066,0.587,0.564,0.428
llama-3.1-405b-instruct,40.089,45.448,41.928,0.619,0.528,0.547,0.844,0.548,0.726,0.625,0.659,0.725,93.86,3,0.47,1.14,0.906,1.188,0.79,0.86
mistral-large-latest,43.383,44.216,40.317,0.603,0.502,0.523,0.842,0.533,0.74,0.63,0.665,0.738,93.73,4,0.991,0.922,0.614,0.837,0.971,0.958
codestral-22b-instruct-v0.1,42.209,44.373,41.621,0.608,0.519,0.539,0.836,0.528,0.7,0.609,0.645,0.699,92.2,5,0.806,0.95,0.85,0.948,0.433,0.653
gemma-3-27b-it,40.96,42.531,40.843,0.611,0.515,0.538,0.838,0.533,0.731,0.615,0.654,0.73,89.63,6,0.608,0.624,0.709,1.013,0.854,0.789
llama-3.3-70b-instruct,40.605,41.974,41.477,0.603,0.522,0.54,0.841,0.501,0.735,0.624,0.658,0.735,89.26,7,0.552,0.526,0.824,0.851,0.913,0.853
llama4_scout,40.693,42.876,41.853,0.602,0.506,0.524,0.833,0.523,0.713,0.61,0.64,0.712,89.11,8,0.566,0.685,0.892,0.813,0.614,0.573
mixtral-8x22b-instruct-v0.1,38.478,42.062,41.729,0.611,0.524,0.544,0.838,0.518,0.702,0.61,0.644,0.701,86.07,9,0.215,0.542,0.869,1.009,0.465,0.635
gemma-2-27b-it,41.671,41.33,39.539,0.59,0.5,0.519,0.834,0.498,0.711,0.609,0.638,0.71,84.8,10,0.72,0.412,0.473,0.568,0.587,0.546
nemotron-4-340b-instruct,39.236,40.928,38.778,0.593,0.49,0.525,0.841,0.506,0.719,0.612,0.644,0.718,81.68,11,0.335,0.341,0.335,0.633,0.693,0.638
llama-3.1-70b-instruct,39.628,41.673,40.324,0.54,0.514,0.532,0.674,0.332,0.71,0.609,0.645,0.71,81.31,12,0.397,0.473,0.615,-0.494,0.577,0.642
deepseek-r1,43.628,40.707,39.284,0.554,0.434,0.447,0.741,0.456,0.678,0.572,0.588,0.677,80.29,13,1.03,0.302,0.427,-0.195,0.142,-0.229
deepseek-r1-32b,37.191,41.581,37.722,0.582,0.467,0.508,0.821,0.524,0.677,0.564,0.602,0.677,75.11,14,0.012,0.457,0.144,0.409,0.134,-0.014
llama-3.1-8b-instruct,35.636,39.168,37.135,0.575,0.507,0.524,0.761,0.461,0.663,0.579,0.606,0.662,69.32,15,-0.234,0.03,0.038,0.259,-0.053,0.051
mistral-nemo-12b-instruct,36.077,38.66,37.602,0.551,0.444,0.469,0.788,0.454,0.649,0.552,0.584,0.648,66.84,16,-0.164,-0.06,0.122,-0.253,-0.246,-0.286
deepseek-r1-8b,30.7,37.774,35.229,0.564,0.46,0.488,0.787,0.493,0.645,0.553,0.581,0.644,58.06,17,-1.015,-0.216,-0.308,0.026,-0.292,-0.33
mixtral-8x7b-instruct-v0.1,33.037,38.196,35.085,0.525,0.443,0.467,0.747,0.433,0.628,0.53,0.571,0.627,57.34,18,-0.645,-0.142,-0.334,-0.814,-0.525,-0.493
gemma-3-1b-it,32.294,34.552,29.371,0.54,0.465,0.49,0.779,0.388,0.644,0.564,0.603,0.643,48.58,19,-0.763,-0.786,-1.368,-0.487,-0.311,0.002
gemma-2-2b-it,29.82,33.716,31.882,0.542,0.459,0.485,0.785,0.428,0.642,0.557,0.596,0.641,47.74,20,-1.154,-0.933,-0.914,-0.456,-0.338,-0.106
mamba-codestral-7b-v0.1,31.379,34.023,32.091,0.473,0.386,0.417,0.724,0.355,0.57,0.492,0.519,0.57,39.95,21,-0.907,-0.879,-0.876,-1.912,-1.297,-1.29
phi-3-mini-128k-instruct,28.907,32.315,29.096,0.501,0.385,0.448,0.759,0.402,0.583,0.501,0.534,0.582,34.73,22,-1.299,-1.181,-1.418,-1.314,-1.129,-1.053
gemma-2-9b-it,27.564,26.451,27.896,0.467,0.32,0.334,0.535,0.315,0.446,0.385,0.408,0.446,12.76,23,-1.511,-2.217,-1.636,-2.043,-2.96,-2.987
phi-3-medium-128k-instruct,22.421,22.719,21.104,0.464,0.334,0.415,0.725,0.363,0.515,0.432,0.463,0.514,0.0,24,-2.324,-2.877,-2.866,-2.097,-2.033,-2.15
