rank, model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, deepseek-r1                        ,          100.0 ,          52.6 ,           44.73,         43.37,     0.62,              0.52,                       0.54,               0.86,                 0.54,   0.78,   0.67,   0.69,      0.78
   2, qwen3-235b-a22b                    ,           97.84,          49.6 ,           44.74,         44.23,     0.61,              0.51,                       0.53,               0.84,                 0.54,   0.75,   0.64,   0.68,      0.75
   3, mistral-medium-3-instruct          ,           97.23,          45.66,           46.34,         44.59,     0.62,              0.52,                       0.54,               0.86,                 0.56,   0.76,   0.64,   0.67,      0.76
   4, llama-3.1-405b-instruct            ,           92.21,          41.98,           44.64,         42.29,     0.62,              0.53,                       0.55,               0.84,                 0.55,   0.72,   0.62,   0.66,      0.72
   5, llama4_maverick                    ,           92.15,          45.98,           42.62,         39.86,     0.59,              0.5 ,                       0.54,               0.85,                 0.46,   0.76,   0.65,   0.67,      0.76
   6, mistral-small-3.1-24b-instruct-2503,           91.27,          42.42,           44.41,         40.75,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.73,   0.62,   0.65,      0.73
   7, llama-3.1-70b-instruct             ,           91.2 ,          41.24,           43.58,         42.54,     0.6 ,              0.52,                       0.54,               0.84,                 0.51,   0.73,   0.62,   0.66,      0.73
   8, codestral-22b-instruct-v0.1        ,           90.28,          43.17,           44.49,         41.78,     0.59,              0.48,                       0.54,               0.83,                 0.5 ,   0.69,   0.59,   0.62,      0.69
   9, gemma-3-27b-it                     ,           89.87,          42.28,           41.4 ,         41.15,     0.6 ,              0.5 ,                       0.53,               0.85,                 0.52,   0.74,   0.62,   0.66,      0.74
  10, llama-3.3-70b-instruct             ,           89.24,          41.97,           42.82,         39.62,     0.6 ,              0.51,                       0.53,               0.84,                 0.51,   0.73,   0.62,   0.65,      0.73
  11, mixtral-8x22b-instruct-v0.1        ,           88.49,          39.27,           42.14,         41.11,     0.62,              0.53,                       0.55,               0.84,                 0.54,   0.71,   0.62,   0.65,      0.71
  12, llama4_scout                       ,           87.0 ,          38.71,           42.29,         40.68,     0.59,              0.5 ,                       0.52,               0.84,                 0.51,   0.71,   0.61,   0.64,      0.71
  13, deepseek-r1-32b                    ,           86.95,          37.07,           43.04,         41.72,     0.6 ,              0.5 ,                       0.52,               0.83,                 0.52,   0.7 ,   0.59,   0.63,      0.7
  14, gemma-2-27b-it                     ,           84.7 ,          38.45,           39.73,         38.62,     0.6 ,              0.5 ,                       0.52,               0.84,                 0.51,   0.72,   0.61,   0.64,      0.72
  15, qwq-32b                            ,           84.35,          44.9 ,           39.6 ,         36.81,     0.55,              0.41,                       0.45,               0.84,                 0.5 ,   0.69,   0.56,   0.61,      0.69
  16, llama-3.1-8b-instruct              ,           80.92,          35.45,           38.84,         36.88,     0.6 ,              0.51,                       0.53,               0.82,                 0.52,   0.69,   0.59,   0.62,      0.69
  17, mixtral-8x7b-instruct-v0.1         ,           78.91,          34.6 ,           39.39,         36.45,     0.56,              0.49,                       0.51,               0.77,                 0.46,   0.67,   0.57,   0.61,      0.67
  18, mistral-nemo-12b-instruct          ,           78.57,          34.04,           38.49,         36.38,     0.56,              0.47,                       0.49,               0.81,                 0.47,   0.68,   0.57,   0.61,      0.68
  19, gemma-2-9b-it                      ,           77.9 ,          34.71,           36.81,         35.89,     0.57,              0.49,                       0.51,               0.81,                 0.46,   0.68,   0.58,   0.62,      0.68
  20, deepseek-r1-8b                     ,           75.3 ,          30.42,           36.76,         35.26,     0.58,              0.48,                       0.5 ,               0.82,                 0.48,   0.67,   0.57,   0.61,      0.67
  21, mamba-codestral-7b-v0.1            ,           72.69,          36.04,           34.73,         33.35,     0.52,              0.44,                       0.46,               0.79,                 0.38,   0.63,   0.55,   0.57,      0.63
  22, gemma-2-2b-it                      ,           72.24,          30.62,           34.84,         33.02,     0.55,              0.47,                       0.49,               0.79,                 0.43,   0.66,   0.57,   0.61,      0.66
  23, gemma-3-1b-it                      ,           68.4 ,          31.22,           31.78,         30.22,     0.54,              0.46,                       0.49,               0.78,                 0.42,   0.64,   0.56,   0.6 ,      0.64
  24, phi-3-medium-128k-instruct         ,           64.18,          26.16,           29.9 ,         28.83,     0.55,              0.48,                       0.5 ,               0.77,                 0.44,   0.65,   0.56,   0.58,      0.65
  25, phi-3-mini-128k-instruct           ,           57.39,          26.11,           28.24,         26.13,     0.48,              0.37,                       0.43,               0.73,                 0.38,   0.58,   0.49,   0.52,      0.58
  26, qwen3-7b-instuct                   ,           20.78,           0.0 ,            0.0 ,          0.0 ,     0.56,              0.46,                       0.48,               0.82,                 0.48,   0.67,   0.57,   0.61,      0.67
  27, phi-4-mini-instruct                ,            0.0 ,           9.36,            9.06,          6.72,     0.14,              0.04,                       0.05,               0.21,                 0.22,   0.08,   0.05,   0.07,      0.08
