rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,deepseek-r1,100.0,52.6,44.73,43.37,0.62,0.52,0.54,0.86,0.53,0.79,0.67,0.69,0.79
2,qwen3-235b-a22b,98.01,49.6,44.74,44.23,0.62,0.52,0.54,0.85,0.55,0.75,0.65,0.67,0.75
3,mistral-medium-3-instruct,97.45,45.66,46.34,44.59,0.63,0.52,0.55,0.86,0.56,0.76,0.65,0.67,0.76
4,llama-3.1-405b-instruct,92.09,41.98,44.64,42.29,0.62,0.53,0.55,0.84,0.55,0.73,0.62,0.66,0.73
5,llama4_maverick,91.65,45.98,42.62,39.86,0.59,0.5,0.54,0.86,0.47,0.76,0.65,0.67,0.76
6,codestral-22b-instruct-v0.1,91.15,43.17,44.49,41.78,0.6,0.5,0.54,0.84,0.51,0.7,0.6,0.64,0.7
7,mistral-small-3.1-24b-instruct-2503,91.09,42.42,44.41,40.75,0.61,0.51,0.53,0.84,0.53,0.74,0.62,0.66,0.74
8,llama-3.1-70b-instruct,90.63,41.24,43.58,42.54,0.6,0.51,0.53,0.84,0.52,0.73,0.61,0.65,0.72
9,gemma-3-27b-it,89.46,42.28,41.4,41.15,0.61,0.51,0.53,0.85,0.52,0.74,0.62,0.66,0.74
10,llama-3.3-70b-instruct,88.65,41.97,42.82,39.62,0.59,0.5,0.52,0.83,0.5,0.73,0.62,0.65,0.73
11,mixtral-8x22b-instruct-v0.1,88.22,39.27,42.14,41.11,0.62,0.54,0.55,0.85,0.54,0.72,0.62,0.65,0.72
12,deepseek-r1-32b,87.09,37.07,43.04,41.72,0.6,0.5,0.51,0.84,0.51,0.72,0.6,0.64,0.72
13,llama4_scout,86.5,38.71,42.29,40.68,0.59,0.49,0.52,0.83,0.51,0.71,0.6,0.63,0.71
14,qwq-32b,83.55,44.9,39.6,36.81,0.54,0.39,0.45,0.83,0.48,0.67,0.55,0.59,0.67
15,gemma-2-27b-it,83.54,38.45,39.73,38.62,0.59,0.5,0.52,0.83,0.49,0.71,0.6,0.64,0.71
16,llama-3.1-8b-instruct,79.67,35.45,38.84,36.88,0.59,0.5,0.52,0.82,0.52,0.68,0.58,0.61,0.68
17,mixtral-8x7b-instruct-v0.1,78.18,34.6,39.39,36.45,0.56,0.48,0.5,0.79,0.48,0.66,0.56,0.6,0.66
18,mistral-nemo-12b-instruct,77.55,34.04,38.49,36.38,0.56,0.47,0.49,0.8,0.47,0.68,0.57,0.61,0.68
19,gemma-2-9b-it,77.28,34.71,36.81,35.89,0.57,0.49,0.51,0.81,0.47,0.69,0.59,0.63,0.69
20,deepseek-r1-8b,74.05,30.42,36.76,35.26,0.58,0.48,0.5,0.81,0.48,0.67,0.57,0.61,0.67
21,qwen2-7b-instruct,72.97,32.8,36.46,33.73,0.55,0.45,0.47,0.81,0.48,0.64,0.55,0.58,0.64
22,mamba-codestral-7b-v0.1,72.23,36.04,34.73,33.35,0.52,0.44,0.46,0.79,0.38,0.63,0.55,0.57,0.63
23,gemma-2-2b-it,70.86,30.62,34.84,33.02,0.55,0.47,0.49,0.79,0.44,0.65,0.57,0.61,0.65
24,gemma-3-1b-it,66.87,31.22,31.78,30.22,0.54,0.45,0.48,0.77,0.39,0.64,0.55,0.59,0.64
25,phi-3-medium-128k-instruct,61.04,26.16,29.9,28.83,0.53,0.45,0.48,0.75,0.41,0.62,0.53,0.56,0.62
26,phi-3-mini-128k-instruct,55.87,26.11,28.24,26.13,0.47,0.37,0.41,0.73,0.36,0.57,0.48,0.52,0.57
27,phi-4-mini-instruct,0.0,9.36,9.06,6.72,0.13,0.01,0.02,0.17,0.18,0.04,0.02,0.04,0.04
