Model,System,Round,Score Document,Score Reference,Score Ref+Doc
deepseek-r1,art,first,0,8,
deepseek-r1,art,second,85,7,9
deepseek-r1,art,third,90,7,8
deepseek-r1,beam,first,90,7,
deepseek-r1,beam,second,0,3,10
deepseek-r1,beam,third,0,2,10
deepseek-r1,buckling,first,85,,7
deepseek-r1,buckling,second,85,7,10
deepseek-r1,buckling,third,75,60,
deepseek-r1,cable,first,90,4,7
deepseek-r1,cable,second,85,3,
deepseek-r1,cable,third,0,4,9
deepseek-r1,camera,first,85,3,7
deepseek-r1,camera,second,0,6,
deepseek-r1,camera,third,45,2,4
deepseek-r1,citybus,first,0,40,10
deepseek-r1,citybus,second,20,1,3
deepseek-r1,citybus,third,85,5,9
deepseek-r1,curiosity,first,85,5,7
deepseek-r1,curiosity,second,75,6,
deepseek-r1,curiosity,third,0,1,
deepseek-r1,feda,first,60,2,2
deepseek-r1,feda,second,0,10,9
deepseek-r1,feda,third,0,1,10
deepseek-r1,gator,first,85,4,7
deepseek-r1,gator,second,0,0,9
deepseek-r1,gator,third,85,7,9
deepseek-r1,gear,first,0,30,8
deepseek-r1,gear,second,60,2,4
deepseek-r1,gear,third,0,20,
deepseek-r1,gps_imu,first,90,3,
deepseek-r1,gps_imu,second,40,1,3
deepseek-r1,gps_imu,third,90,75,
deepseek-r1,handler,first,0,1,10
deepseek-r1,handler,second,85,0,
deepseek-r1,handler,third,0,2,9
deepseek-r1,hmmwv,first,85,4,6
deepseek-r1,hmmwv,second,85,45,
deepseek-r1,hmmwv,third,0,2,9
deepseek-r1,kraz,first,85,3,
deepseek-r1,kraz,second,85,1,
deepseek-r1,kraz,third,0,30,
deepseek-r1,lidar,first,75,,
deepseek-r1,lidar,second,0,,
deepseek-r1,lidar,third,30,2,4
deepseek-r1,m113,first,85,7,7
deepseek-r1,m113,second,85,5,7
deepseek-r1,m113,third,85,5,
deepseek-r1,man,first,0,3,
deepseek-r1,man,second,85,5,
deepseek-r1,man,third,70,,5
deepseek-r1,mass_spring_damper,first,85,2,7
deepseek-r1,mass_spring_damper,second,60,2,2
deepseek-r1,mass_spring_damper,third,85,1,
deepseek-r1,particles,first,0,0,10
deepseek-r1,particles,second,85,7,8
deepseek-r1,particles,third,85,1,9
deepseek-r1,pendulum,first,0,2,9
deepseek-r1,pendulum,second,0,25,
deepseek-r1,pendulum,third,0,2,9
deepseek-r1,rigid_highway,first,85,3,
deepseek-r1,rigid_highway,second,50,2,3
deepseek-r1,rigid_highway,third,85,65,10
deepseek-r1,rigid_multipatches,first,85,4,6
deepseek-r1,rigid_multipatches,second,40,2,2
deepseek-r1,rigid_multipatches,third,85,4,7
deepseek-r1,rotor,first,85,4,
deepseek-r1,rotor,second,0,,
deepseek-r1,rotor,third,0,,10
deepseek-r1,scm,first,85,4,6
deepseek-r1,scm,second,85,0,7
deepseek-r1,scm,third,0,30,9
deepseek-r1,scm_hill,first,85,4,
deepseek-r1,scm_hill,second,85,65,6
deepseek-r1,scm_hill,third,0,6,
deepseek-r1,sedan,first,85,4,7
deepseek-r1,sedan,second,0,4,9
deepseek-r1,sedan,third,0,,
deepseek-r1,sensros,first,85,,
deepseek-r1,sensros,second,85,0,
deepseek-r1,sensros,third,85,,
deepseek-r1,slider_crank,first,0,1,8
deepseek-r1,slider_crank,second,85,4,
deepseek-r1,slider_crank,third,85,5,
deepseek-r1,tablecloth,first,85,3,
deepseek-r1,tablecloth,second,85,5,
deepseek-r1,tablecloth,third,80,,
deepseek-r1,turtlebot,first,85,4,
deepseek-r1,turtlebot,second,85,1,
deepseek-r1,turtlebot,third,0,0,9
deepseek-r1,uazbus,first,85,4,7
deepseek-r1,uazbus,second,90,4,8
deepseek-r1,uazbus,third,50,2,2
deepseek-r1,vehros,first,85,8,7
deepseek-r1,vehros,second,0,2,10
deepseek-r1,vehros,third,70,3,
deepseek-r1,veh_app,first,90,3,
deepseek-r1,veh_app,second,0,12,9
deepseek-r1,veh_app,third,70,4,5
deepseek-r1,viper,first,85,4,6
deepseek-r1,viper,second,85,7,10
deepseek-r1,viper,third,85,4,7
deepseek-r1-32b,art,first,0,1,9
deepseek-r1-32b,art,second,0,0,9
deepseek-r1-32b,art,third,0,0,10
deepseek-r1-32b,beam,first,0,,10
deepseek-r1-32b,beam,second,0,7,9
deepseek-r1-32b,beam,third,0,0,10
deepseek-r1-32b,buckling,first,5,0,4
deepseek-r1-32b,buckling,second,0,,9
deepseek-r1-32b,buckling,third,10,10,
deepseek-r1-32b,cable,first,0,3,
deepseek-r1-32b,cable,second,0,75,9
deepseek-r1-32b,cable,third,10,3,8
deepseek-r1-32b,camera,first,0,3,7
deepseek-r1-32b,camera,second,0,2,
deepseek-r1-32b,camera,third,0,2,7
deepseek-r1-32b,citybus,first,10,2,9
deepseek-r1-32b,citybus,second,10,2,
deepseek-r1-32b,citybus,third,0,2,10
deepseek-r1-32b,curiosity,first,5,,10
deepseek-r1-32b,curiosity,second,10,0,10
deepseek-r1-32b,curiosity,third,0,60,9
deepseek-r1-32b,feda,first,0,86,9
deepseek-r1-32b,feda,second,5,2,10
deepseek-r1-32b,feda,third,20,,
deepseek-r1-32b,gator,first,0,,
deepseek-r1-32b,gator,second,10,4,9
deepseek-r1-32b,gator,third,10,70,8
deepseek-r1-32b,gear,first,5,,
deepseek-r1-32b,gear,second,0,5,8
deepseek-r1-32b,gear,third,10,,9
deepseek-r1-32b,gps_imu,first,10,5,10
deepseek-r1-32b,gps_imu,second,0,0,8
deepseek-r1-32b,gps_imu,third,10,1,
deepseek-r1-32b,handler,first,0,0,10
deepseek-r1-32b,handler,second,10,0,9
deepseek-r1-32b,handler,third,5,10,8
deepseek-r1-32b,hmmwv,first,0,3,10
deepseek-r1-32b,hmmwv,second,0,,9
deepseek-r1-32b,hmmwv,third,10,65,9
deepseek-r1-32b,kraz,first,0,1,
deepseek-r1-32b,kraz,second,5,4,10
deepseek-r1-32b,kraz,third,10,0,
deepseek-r1-32b,lidar,first,10,,5
deepseek-r1-32b,lidar,second,0,4,
deepseek-r1-32b,lidar,third,0,2,
deepseek-r1-32b,m113,first,0,3,
deepseek-r1-32b,m113,second,0,,9
deepseek-r1-32b,m113,third,0,1,10
deepseek-r1-32b,man,first,0,3,10
deepseek-r1-32b,man,second,10,10,10
deepseek-r1-32b,man,third,10,0,9
deepseek-r1-32b,mass_spring_damper,first,10,2,10
deepseek-r1-32b,mass_spring_damper,second,0,3,10
deepseek-r1-32b,mass_spring_damper,third,10,0,10
deepseek-r1-32b,particles,first,10,4,9
deepseek-r1-32b,particles,second,0,,9
deepseek-r1-32b,particles,third,10,0,
deepseek-r1-32b,pendulum,first,0,0,10
deepseek-r1-32b,pendulum,second,0,3,8
deepseek-r1-32b,pendulum,third,0,2,10
deepseek-r1-32b,rigid_highway,first,10,4,9
deepseek-r1-32b,rigid_highway,second,5,3,9
deepseek-r1-32b,rigid_highway,third,0,2,
deepseek-r1-32b,rigid_multipatches,first,0,3,7
deepseek-r1-32b,rigid_multipatches,second,0,0,7
deepseek-r1-32b,rigid_multipatches,third,0,3,7
deepseek-r1-32b,rotor,first,0,2,9
deepseek-r1-32b,rotor,second,10,2,10
deepseek-r1-32b,rotor,third,0,0,
deepseek-r1-32b,scm,first,10,3,9
deepseek-r1-32b,scm,second,10,3,
deepseek-r1-32b,scm,third,0,9,9
deepseek-r1-32b,scm_hill,first,10,,10
deepseek-r1-32b,scm_hill,second,0,3,9
deepseek-r1-32b,scm_hill,third,10,9,10
deepseek-r1-32b,sedan,first,0,0,10
deepseek-r1-32b,sedan,second,0,1,
deepseek-r1-32b,sedan,third,0,6,8
deepseek-r1-32b,sensros,first,0,0,9
deepseek-r1-32b,sensros,second,10,4,9
deepseek-r1-32b,sensros,third,5,45,
deepseek-r1-32b,slider_crank,first,0,4,10
deepseek-r1-32b,slider_crank,second,10,3,9
deepseek-r1-32b,slider_crank,third,0,3,8
deepseek-r1-32b,tablecloth,first,0,0,9
deepseek-r1-32b,tablecloth,second,5,7,
deepseek-r1-32b,tablecloth,third,0,4,8
deepseek-r1-32b,turtlebot,first,10,,9
deepseek-r1-32b,turtlebot,second,0,8,9
deepseek-r1-32b,turtlebot,third,0,0,9
deepseek-r1-32b,uazbus,first,0,0,
deepseek-r1-32b,uazbus,second,0,,
deepseek-r1-32b,uazbus,third,0,1,
deepseek-r1-32b,vehros,first,10,2,9
deepseek-r1-32b,vehros,second,10,3,10
deepseek-r1-32b,vehros,third,10,10,9
deepseek-r1-32b,veh_app,first,10,2,8
deepseek-r1-32b,veh_app,second,0,1,8
deepseek-r1-32b,veh_app,third,0,0,9
deepseek-r1-32b,viper,first,10,1,
deepseek-r1-32b,viper,second,10,0,10
deepseek-r1-32b,viper,third,10,2,10
deepseek-r1-8b,art,first,10,,10
deepseek-r1-8b,art,second,0,10,9
deepseek-r1-8b,art,third,10,47,10
deepseek-r1-8b,beam,first,0,0,10
deepseek-r1-8b,beam,second,10,,
deepseek-r1-8b,beam,third,10,78,
deepseek-r1-8b,buckling,first,10,0,10
deepseek-r1-8b,buckling,second,10,8,10
deepseek-r1-8b,buckling,third,0,18,9
deepseek-r1-8b,cable,first,10,,10
deepseek-r1-8b,cable,second,0,3,10
deepseek-r1-8b,cable,third,10,,
deepseek-r1-8b,camera,first,0,90,8
deepseek-r1-8b,camera,second,10,4,8
deepseek-r1-8b,camera,third,10,3,
deepseek-r1-8b,citybus,first,10,2,10
deepseek-r1-8b,citybus,second,10,2,9
deepseek-r1-8b,citybus,third,0,8,10
deepseek-r1-8b,curiosity,first,0,3,9
deepseek-r1-8b,curiosity,second,10,0,10
deepseek-r1-8b,curiosity,third,10,1,10
deepseek-r1-8b,feda,first,10,5,9
deepseek-r1-8b,feda,second,10,25,10
deepseek-r1-8b,feda,third,10,65,10
deepseek-r1-8b,gator,first,0,3,
deepseek-r1-8b,gator,second,10,0,
deepseek-r1-8b,gator,third,0,4,
deepseek-r1-8b,gear,first,10,,
deepseek-r1-8b,gear,second,10,,
deepseek-r1-8b,gear,third,10,,8
deepseek-r1-8b,gps_imu,first,0,4,9
deepseek-r1-8b,gps_imu,second,0,3,10
deepseek-r1-8b,gps_imu,third,0,4,9
deepseek-r1-8b,handler,first,10,0,10
deepseek-r1-8b,handler,second,10,2,10
deepseek-r1-8b,handler,third,10,,9
deepseek-r1-8b,hmmwv,first,0,40,10
deepseek-r1-8b,hmmwv,second,10,2,3
deepseek-r1-8b,hmmwv,third,0,2,9
deepseek-r1-8b,kraz,first,0,3,9
deepseek-r1-8b,kraz,second,0,,10
deepseek-r1-8b,kraz,third,0,,9
deepseek-r1-8b,lidar,first,0,,7
deepseek-r1-8b,lidar,second,0,10,7
deepseek-r1-8b,lidar,third,10,2,
deepseek-r1-8b,m113,first,0,0,9
deepseek-r1-8b,m113,second,10,,9
deepseek-r1-8b,m113,third,5,4,9
deepseek-r1-8b,man,first,10,0,9
deepseek-r1-8b,man,second,10,0,10
deepseek-r1-8b,man,third,10,0,
deepseek-r1-8b,mass_spring_damper,first,10,,10
deepseek-r1-8b,mass_spring_damper,second,10,1,9
deepseek-r1-8b,mass_spring_damper,third,10,8,10
deepseek-r1-8b,particles,first,0,0,9
deepseek-r1-8b,particles,second,0,,8
deepseek-r1-8b,particles,third,0,0,
deepseek-r1-8b,pendulum,first,10,1,10
deepseek-r1-8b,pendulum,second,0,3,8
deepseek-r1-8b,pendulum,third,10,7,10
deepseek-r1-8b,rigid_highway,first,0,4,9
deepseek-r1-8b,rigid_highway,second,10,3,
deepseek-r1-8b,rigid_highway,third,10,2,
deepseek-r1-8b,rigid_multipatches,first,10,0,
deepseek-r1-8b,rigid_multipatches,second,10,3,8
deepseek-r1-8b,rigid_multipatches,third,10,,8
deepseek-r1-8b,rotor,first,10,0,
deepseek-r1-8b,rotor,second,10,2,
deepseek-r1-8b,rotor,third,0,4,9
deepseek-r1-8b,scm,first,0,1,
deepseek-r1-8b,scm,second,10,,9
deepseek-r1-8b,scm,third,10,0,10
deepseek-r1-8b,scm_hill,first,0,2,
deepseek-r1-8b,scm_hill,second,10,49,9
deepseek-r1-8b,scm_hill,third,5,,10
deepseek-r1-8b,sedan,first,0,30,10
deepseek-r1-8b,sedan,second,0,1,
deepseek-r1-8b,sedan,third,0,,8
deepseek-r1-8b,sensros,first,0,0,
deepseek-r1-8b,sensros,second,0,,
deepseek-r1-8b,sensros,third,10,2,
deepseek-r1-8b,slider_crank,first,10,3,10
deepseek-r1-8b,slider_crank,second,10,0,10
deepseek-r1-8b,slider_crank,third,10,3,
deepseek-r1-8b,tablecloth,first,0,0,9
deepseek-r1-8b,tablecloth,second,10,40,9
deepseek-r1-8b,tablecloth,third,10,65,8
deepseek-r1-8b,turtlebot,first,0,1,8
deepseek-r1-8b,turtlebot,second,10,2,9
deepseek-r1-8b,turtlebot,third,0,,10
deepseek-r1-8b,uazbus,first,0,3,
deepseek-r1-8b,uazbus,second,0,60,
deepseek-r1-8b,uazbus,third,10,3,8
deepseek-r1-8b,vehros,first,0,4,10
deepseek-r1-8b,vehros,second,10,4,9
deepseek-r1-8b,vehros,third,0,1,
deepseek-r1-8b,veh_app,first,0,0,9
deepseek-r1-8b,veh_app,second,10,3,9
deepseek-r1-8b,veh_app,third,0,3,9
