Model,System,Round,Score Document,Score Reference,Score Ref+Doc
deepseek-r1,art,first,0,1,9
deepseek-r1,art,second,0,2,
deepseek-r1,art,third,85,6,
deepseek-r1,art,gpt-4.1-mini,first,0,0,10
deepseek-r1,art,gpt-4.1-mini,second,0,10,
deepseek-r1,art,gpt-4.1-mini,third,90,,10
deepseek-r1,art,gpt-4.1-nano,first,0,1,10
deepseek-r1,art,gpt-4.1-nano,second,10,6,
deepseek-r1,art,gpt-4.1-nano,third,90,,
deepseek-r1,art,gpt-4o-mini,first,0,30,9
deepseek-r1,art,gpt-4o-mini,second,10,2,
deepseek-r1,art,gpt-4o-mini,third,85,7,10
deepseek-r1,beam,first,85,3,
deepseek-r1,beam,second,0,10,10
deepseek-r1,beam,third,85,5,10
deepseek-r1,beam,gpt-4.1-mini,first,75,36,
deepseek-r1,beam,gpt-4.1-mini,second,0,1,9
deepseek-r1,beam,gpt-4.1-mini,third,60,4,8
deepseek-r1,beam,gpt-4.1-nano,first,85,4,
deepseek-r1,beam,gpt-4.1-nano,second,0,80,
deepseek-r1,beam,gpt-4.1-nano,third,85,,
deepseek-r1,beam,gpt-4o-mini,first,85,4,5
deepseek-r1,beam,gpt-4o-mini,second,0,2,10
deepseek-r1,beam,gpt-4o-mini,third,85,6,8
deepseek-r1,buckling,first,85,20,8
deepseek-r1,buckling,second,85,70,9
deepseek-r1,buckling,third,0,,9
deepseek-r1,buckling,gpt-4.1-mini,first,73,,7
deepseek-r1,buckling,gpt-4.1-mini,second,85,9,10
deepseek-r1,buckling,gpt-4.1-mini,third,0,0,10
deepseek-r1,buckling,gpt-4.1-nano,first,85,,9
deepseek-r1,buckling,gpt-4.1-nano,second,85,95,
deepseek-r1,buckling,gpt-4.1-nano,third,0,,
deepseek-r1,buckling,gpt-4o-mini,first,85,4,9
deepseek-r1,buckling,gpt-4o-mini,second,85,75,
deepseek-r1,buckling,gpt-4o-mini,third,0,8,9
deepseek-r1,cable,first,85,4,7
deepseek-r1,cable,second,85,7,10
deepseek-r1,cable,third,0,5,8
deepseek-r1,cable,gpt-4.1-mini,first,92,,
deepseek-r1,cable,gpt-4.1-mini,second,90,,8
deepseek-r1,cable,gpt-4.1-mini,third,0,9,
deepseek-r1,cable,gpt-4.1-nano,first,90,1,
deepseek-r1,cable,gpt-4.1-nano,second,85,,9
deepseek-r1,cable,gpt-4.1-nano,third,0,1,4
deepseek-r1,cable,gpt-4o-mini,first,85,4,
deepseek-r1,cable,gpt-4o-mini,second,85,4,10
deepseek-r1,cable,gpt-4o-mini,third,0,3,9
deepseek-r1,camera,first,85,4,
deepseek-r1,camera,second,60,5,6
deepseek-r1,camera,third,65,3,
deepseek-r1,camera,gpt-4.1-mini,first,87,,
deepseek-r1,camera,gpt-4.1-mini,second,76,,
deepseek-r1,camera,gpt-4.1-mini,third,45,,4
deepseek-r1,camera,gpt-4.1-nano,first,85,,
deepseek-r1,camera,gpt-4.1-nano,second,75,8,
deepseek-r1,camera,gpt-4.1-nano,third,55,5,
deepseek-r1,camera,gpt-4o-mini,first,85,4,7
deepseek-r1,camera,gpt-4o-mini,second,70,,6
deepseek-r1,camera,gpt-4o-mini,third,60,4,
deepseek-r1,citybus,first,85,4,6
deepseek-r1,citybus,second,85,70,
deepseek-r1,citybus,third,85,7,9
deepseek-r1,citybus,gpt-4.1-mini,first,80,,
deepseek-r1,citybus,gpt-4.1-mini,second,92,,
deepseek-r1,citybus,gpt-4.1-mini,third,90,,9
deepseek-r1,citybus,gpt-4.1-nano,first,85,2,
deepseek-r1,citybus,gpt-4.1-nano,second,85,,
deepseek-r1,citybus,gpt-4.1-nano,third,85,,
deepseek-r1,citybus,gpt-4o-mini,first,85,4,6
deepseek-r1,citybus,gpt-4o-mini,second,85,4,8
deepseek-r1,citybus,gpt-4o-mini,third,85,6,8
deepseek-r1,curiosity,first,85,0,3
deepseek-r1,curiosity,second,85,5,8
deepseek-r1,curiosity,third,90,10,7
deepseek-r1,curiosity,gpt-4.1-mini,first,78,,3
deepseek-r1,curiosity,gpt-4.1-mini,second,87,5,9
deepseek-r1,curiosity,gpt-4.1-mini,third,90,,
deepseek-r1,curiosity,gpt-4.1-nano,first,85,,
deepseek-r1,curiosity,gpt-4.1-nano,second,85,,
deepseek-r1,curiosity,gpt-4.1-nano,third,85,4,
deepseek-r1,curiosity,gpt-4o-mini,first,85,4,3
deepseek-r1,curiosity,gpt-4o-mini,second,75,6,7
deepseek-r1,curiosity,gpt-4o-mini,third,85,60,
deepseek-r1,feda,first,85,2,
deepseek-r1,feda,second,0,7,10
deepseek-r1,feda,third,90,65,
deepseek-r1,feda,gpt-4.1-mini,first,90,,
deepseek-r1,feda,gpt-4.1-mini,second,0,,10
deepseek-r1,feda,gpt-4.1-mini,third,92,7,
deepseek-r1,feda,gpt-4.1-nano,first,90,,
deepseek-r1,feda,gpt-4.1-nano,second,10,5,
deepseek-r1,feda,gpt-4.1-nano,third,90,,
deepseek-r1,feda,gpt-4o-mini,first,85,3,7
deepseek-r1,feda,gpt-4o-mini,second,0,,9
deepseek-r1,feda,gpt-4o-mini,third,85,65,
deepseek-r1,gator,first,85,4,
deepseek-r1,gator,second,85,2,
deepseek-r1,gator,third,85,0,9
deepseek-r1,gator,gpt-4.1-mini,first,75,1,
deepseek-r1,gator,gpt-4.1-mini,second,90,92,
deepseek-r1,gator,gpt-4.1-mini,third,90,9,
deepseek-r1,gator,gpt-4.1-nano,first,90,,
deepseek-r1,gator,gpt-4.1-nano,second,85,,
deepseek-r1,gator,gpt-4.1-nano,third,85,,
deepseek-r1,gator,gpt-4o-mini,first,85,4,
deepseek-r1,gator,gpt-4o-mini,second,85,65,
deepseek-r1,gator,gpt-4o-mini,third,90,7,10
deepseek-r1,gear,first,0,20,
deepseek-r1,gear,second,0,,
deepseek-r1,gear,third,0,2,
deepseek-r1,gear,gpt-4.1-mini,first,0,10,10
deepseek-r1,gear,gpt-4.1-mini,second,0,0,
deepseek-r1,gear,gpt-4.1-mini,third,0,0,10
deepseek-r1,gear,gpt-4.1-nano,first,40,,
deepseek-r1,gear,gpt-4.1-nano,second,0,,9
deepseek-r1,gear,gpt-4.1-nano,third,0,78,10
deepseek-r1,gear,gpt-4o-mini,first,0,45,8
deepseek-r1,gear,gpt-4o-mini,second,0,,
deepseek-r1,gear,gpt-4o-mini,third,0,45,9
deepseek-r1,gps_imu,first,85,2,
deepseek-r1,gps_imu,second,85,4,
deepseek-r1,gps_imu,third,85,1,9
deepseek-r1,gps_imu,gpt-4.1-mini,first,82,1,
deepseek-r1,gps_imu,gpt-4.1-mini,second,95,7,9
deepseek-r1,gps_imu,gpt-4.1-mini,third,90,,9
deepseek-r1,gps_imu,gpt-4.1-nano,first,90,,
deepseek-r1,gps_imu,gpt-4.1-nano,second,85,,
deepseek-r1,gps_imu,gpt-4.1-nano,third,85,6,
deepseek-r1,gps_imu,gpt-4o-mini,first,90,4,7
deepseek-r1,gps_imu,gpt-4o-mini,second,85,3,8
deepseek-r1,gps_imu,gpt-4o-mini,third,85,7,
deepseek-r1,handler,first,85,9,7
deepseek-r1,handler,second,85,7,
deepseek-r1,handler,third,85,2,
deepseek-r1,handler,gpt-4.1-mini,first,90,,6
deepseek-r1,handler,gpt-4.1-mini,second,92,9,9
deepseek-r1,handler,gpt-4.1-mini,third,92,,8
deepseek-r1,handler,gpt-4.1-nano,first,85,,
deepseek-r1,handler,gpt-4.1-nano,second,95,1,5
deepseek-r1,handler,gpt-4.1-nano,third,85,8,
deepseek-r1,handler,gpt-4o-mini,first,85,4,
deepseek-r1,handler,gpt-4o-mini,second,85,6,8
deepseek-r1,handler,gpt-4o-mini,third,85,0,6
deepseek-r1,hmmwv,first,90,4,
deepseek-r1,hmmwv,second,0,,9
deepseek-r1,hmmwv,third,0,2,9
deepseek-r1,hmmwv,gpt-4.1-mini,first,87,2,
deepseek-r1,hmmwv,gpt-4.1-mini,second,0,0,0
deepseek-r1,hmmwv,gpt-4.1-mini,third,0,,10
deepseek-r1,hmmwv,gpt-4.1-nano,first,90,,
deepseek-r1,hmmwv,gpt-4.1-nano,second,0,,
deepseek-r1,hmmwv,gpt-4.1-nano,third,0,,
deepseek-r1,hmmwv,gpt-4o-mini,first,85,4,8
deepseek-r1,hmmwv,gpt-4o-mini,second,0,2,10
deepseek-r1,hmmwv,gpt-4o-mini,third,0,,9
deepseek-r1,kraz,first,85,4,7
deepseek-r1,kraz,second,0,0,
deepseek-r1,kraz,third,78,4,7
deepseek-r1,kraz,gpt-4.1-mini,first,75,1,
deepseek-r1,kraz,gpt-4.1-mini,second,0,,10
deepseek-r1,kraz,gpt-4.1-mini,third,90,11,6
deepseek-r1,kraz,gpt-4.1-nano,first,90,3,
deepseek-r1,kraz,gpt-4.1-nano,second,10,,
deepseek-r1,kraz,gpt-4.1-nano,third,85,,
deepseek-r1,kraz,gpt-4o-mini,first,85,10,6
deepseek-r1,kraz,gpt-4o-mini,second,0,5,10
deepseek-r1,kraz,gpt-4o-mini,third,85,4,7
deepseek-r1,lidar,first,0,9,6
deepseek-r1,lidar,second,85,60,
deepseek-r1,lidar,third,0,,
deepseek-r1,lidar,gpt-4.1-mini,first,0,,10
deepseek-r1,lidar,gpt-4.1-mini,second,83,4,
deepseek-r1,lidar,gpt-4.1-mini,third,0,0,
deepseek-r1,lidar,gpt-4.1-nano,first,0,,
deepseek-r1,lidar,gpt-4.1-nano,second,85,5,
deepseek-r1,lidar,gpt-4.1-nano,third,10,,
deepseek-r1,lidar,gpt-4o-mini,first,0,2,9
deepseek-r1,lidar,gpt-4o-mini,second,85,3,8
deepseek-r1,lidar,gpt-4o-mini,third,0,,4
deepseek-r1,m113,first,85,0,
deepseek-r1,m113,second,0,2,
deepseek-r1,m113,third,85,8,
deepseek-r1,m113,gpt-4.1-mini,first,54,8,4
deepseek-r1,m113,gpt-4.1-mini,second,0,0,0
deepseek-r1,m113,gpt-4.1-mini,third,50,,
deepseek-r1,m113,gpt-4.1-nano,first,85,2,
deepseek-r1,m113,gpt-4.1-nano,second,10,,
deepseek-r1,m113,gpt-4.1-nano,third,85,,
deepseek-r1,m113,gpt-4o-mini,first,85,3,6
deepseek-r1,m113,gpt-4o-mini,second,0,40,
deepseek-r1,m113,gpt-4o-mini,third,85,65,
deepseek-r1,man,first,85,7,
deepseek-r1,man,second,10,2,
deepseek-r1,man,third,95,4,8
deepseek-r1,man,gpt-4.1-mini,first,70,5,
deepseek-r1,man,gpt-4.1-mini,second,0,20,10
deepseek-r1,man,gpt-4.1-mini,third,90,,
deepseek-r1,man,gpt-4.1-nano,first,75,,
deepseek-r1,man,gpt-4.1-nano,second,45,,
deepseek-r1,man,gpt-4.1-nano,third,90,6,
deepseek-r1,man,gpt-4o-mini,first,85,4,
deepseek-r1,man,gpt-4o-mini,second,0,,7
deepseek-r1,man,gpt-4o-mini,third,85,5,
deepseek-r1,mass_spring_damper,first,90,4,9
deepseek-r1,mass_spring_damper,second,75,3,6
deepseek-r1,mass_spring_damper,third,20,9,1
deepseek-r1,mass_spring_damper,gpt-4.1-mini,first,75,1,
deepseek-r1,mass_spring_damper,gpt-4.1-mini,second,80,,6
deepseek-r1,mass_spring_damper,gpt-4.1-mini,third,10,1,
deepseek-r1,mass_spring_damper,gpt-4.1-nano,first,85,5,
deepseek-r1,mass_spring_damper,gpt-4.1-nano,second,85,6,2
deepseek-r1,mass_spring_damper,gpt-4.1-nano,third,20,88,0
deepseek-r1,mass_spring_damper,gpt-4o-mini,first,85,5,8
deepseek-r1,mass_spring_damper,gpt-4o-mini,second,90,4,7
deepseek-r1,mass_spring_damper,gpt-4o-mini,third,20,0,9
deepseek-r1,particles,first,0,0,
deepseek-r1,particles,second,85,65,
deepseek-r1,particles,third,80,65,9
deepseek-r1,particles,gpt-4.1-mini,first,0,0,
deepseek-r1,particles,gpt-4.1-mini,second,90,10,9
deepseek-r1,particles,gpt-4.1-mini,third,90,,9
deepseek-r1,particles,gpt-4.1-nano,first,0,,
deepseek-r1,particles,gpt-4.1-nano,second,85,,
deepseek-r1,particles,gpt-4.1-nano,third,85,3,
deepseek-r1,particles,gpt-4o-mini,first,0,,
deepseek-r1,particles,gpt-4o-mini,second,85,5,8
deepseek-r1,particles,gpt-4o-mini,third,85,4,
deepseek-r1,pendulum,first,0,4,9
deepseek-r1,pendulum,second,0,1,8
deepseek-r1,pendulum,third,0,10,9
deepseek-r1,pendulum,gpt-4.1-mini,first,0,0,10
deepseek-r1,pendulum,gpt-4.1-mini,second,0,13,6
deepseek-r1,pendulum,gpt-4.1-mini,third,0,0,10
deepseek-r1,pendulum,gpt-4.1-nano,first,0,0,
deepseek-r1,pendulum,gpt-4.1-nano,second,0,0,0
deepseek-r1,pendulum,gpt-4.1-nano,third,0,70,
deepseek-r1,pendulum,gpt-4o-mini,first,0,,9
deepseek-r1,pendulum,gpt-4o-mini,second,0,47,8
deepseek-r1,pendulum,gpt-4o-mini,third,0,0,9
deepseek-r1,rigid_highway,first,75,3,
deepseek-r1,rigid_highway,second,30,2,2
deepseek-r1,rigid_highway,third,85,70,9
deepseek-r1,rigid_highway,gpt-4.1-mini,first,70,39,6
deepseek-r1,rigid_highway,gpt-4.1-mini,second,15,25,3
deepseek-r1,rigid_highway,gpt-4.1-mini,third,86,,9
deepseek-r1,rigid_highway,gpt-4.1-nano,first,75,,
deepseek-r1,rigid_highway,gpt-4.1-nano,second,25,1,
deepseek-r1,rigid_highway,gpt-4.1-nano,third,85,7,
deepseek-r1,rigid_highway,gpt-4o-mini,first,85,4,7
deepseek-r1,rigid_highway,gpt-4o-mini,second,30,2,2
deepseek-r1,rigid_highway,gpt-4o-mini,third,85,7,8
deepseek-r1,rigid_multipatches,first,85,4,6
deepseek-r1,rigid_multipatches,second,0,,
deepseek-r1,rigid_multipatches,third,85,5,9
deepseek-r1,rigid_multipatches,gpt-4.1-mini,first,75,,5
deepseek-r1,rigid_multipatches,gpt-4.1-mini,second,0,,0
deepseek-r1,rigid_multipatches,gpt-4.1-mini,third,95,4,10
deepseek-r1,rigid_multipatches,gpt-4.1-nano,first,85,0,
deepseek-r1,rigid_multipatches,gpt-4.1-nano,second,20,,
deepseek-r1,rigid_multipatches,gpt-4.1-nano,third,85,95,
deepseek-r1,rigid_multipatches,gpt-4o-mini,first,85,4,7
deepseek-r1,rigid_multipatches,gpt-4o-mini,second,0,2,7
deepseek-r1,rigid_multipatches,gpt-4o-mini,third,85,6,8
deepseek-r1,rotor,first,85,4,
deepseek-r1,rotor,second,85,65,
deepseek-r1,rotor,third,85,2,
deepseek-r1,rotor,gpt-4.1-mini,first,60,7,
deepseek-r1,rotor,gpt-4.1-mini,second,50,,
deepseek-r1,rotor,gpt-4.1-mini,third,50,,4
deepseek-r1,rotor,gpt-4.1-nano,first,85,,
deepseek-r1,rotor,gpt-4.1-nano,second,85,,
deepseek-r1,rotor,gpt-4.1-nano,third,50,,
deepseek-r1,rotor,gpt-4o-mini,first,75,4,4
deepseek-r1,rotor,gpt-4o-mini,second,90,0,
deepseek-r1,rotor,gpt-4o-mini,third,85,65,8
deepseek-r1,scm,first,85,,7
deepseek-r1,scm,second,65,4,
deepseek-r1,scm,third,0,,
deepseek-r1,scm,gpt-4.1-mini,first,92,,
deepseek-r1,scm,gpt-4.1-mini,second,69,0,4
deepseek-r1,scm,gpt-4.1-mini,third,0,0,10
deepseek-r1,scm,gpt-4.1-nano,first,90,,
deepseek-r1,scm,gpt-4.1-nano,second,70,,
deepseek-r1,scm,gpt-4.1-nano,third,10,78,
deepseek-r1,scm,gpt-4o-mini,first,85,4,
deepseek-r1,scm,gpt-4o-mini,second,65,,
deepseek-r1,scm,gpt-4o-mini,third,0,6,
deepseek-r1,scm_hill,first,85,15,6
deepseek-r1,scm_hill,second,0,25,9
deepseek-r1,scm_hill,third,0,4,10
deepseek-r1,scm_hill,gpt-4.1-mini,first,60,5,7
deepseek-r1,scm_hill,gpt-4.1-mini,second,0,10,
deepseek-r1,scm_hill,gpt-4.1-mini,third,0,0,10
deepseek-r1,scm_hill,gpt-4.1-nano,first,85,7,
deepseek-r1,scm_hill,gpt-4.1-nano,second,0,,
deepseek-r1,scm_hill,gpt-4.1-nano,third,10,2,
deepseek-r1,scm_hill,gpt-4o-mini,first,85,4,
deepseek-r1,scm_hill,gpt-4o-mini,second,0,65,
deepseek-r1,scm_hill,gpt-4o-mini,third,0,15,
deepseek-r1,sedan,first,85,4,
deepseek-r1,sedan,second,0,2,
deepseek-r1,sedan,third,0,5,
deepseek-r1,sedan,gpt-4.1-mini,first,80,,
deepseek-r1,sedan,gpt-4.1-mini,second,0,,
deepseek-r1,sedan,gpt-4.1-mini,third,0,0,10
deepseek-r1,sedan,gpt-4.1-nano,first,90,3,
deepseek-r1,sedan,gpt-4.1-nano,second,10,0,
deepseek-r1,sedan,gpt-4.1-nano,third,0,7,
deepseek-r1,sedan,gpt-4o-mini,first,90,4,
deepseek-r1,sedan,gpt-4o-mini,second,0,5,9
deepseek-r1,sedan,gpt-4o-mini,third,0,30,9
deepseek-r1,sensros,first,85,0,8
deepseek-r1,sensros,second,0,45,
deepseek-r1,sensros,third,0,30,
deepseek-r1,sensros,gpt-4.1-mini,first,85,3,6
deepseek-r1,sensros,gpt-4.1-mini,second,0,0,
deepseek-r1,sensros,gpt-4.1-mini,third,0,0,
deepseek-r1,sensros,gpt-4.1-nano,first,85,3,1
deepseek-r1,sensros,gpt-4.1-nano,second,0,,
deepseek-r1,sensros,gpt-4.1-nano,third,10,,
deepseek-r1,sensros,gpt-4o-mini,first,85,,8
deepseek-r1,sensros,gpt-4o-mini,second,0,45,
deepseek-r1,sensros,gpt-4o-mini,third,0,30,9
deepseek-r1,slider_crank,first,75,2,7
deepseek-r1,slider_crank,second,0,3,
deepseek-r1,slider_crank,third,0,8,9
deepseek-r1,slider_crank,gpt-4.1-mini,first,66,1,
deepseek-r1,slider_crank,gpt-4.1-mini,second,0,0,10
deepseek-r1,slider_crank,gpt-4.1-mini,third,0,0,10
deepseek-r1,slider_crank,gpt-4.1-nano,first,85,4,
