Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
deepseek-r1,art,first,37.67,28.33,18.33,3
deepseek-r1,art,second,58.33,84.67,76.0,3
deepseek-r1,art,third,53.67,84.67,84.0,3
deepseek-r1,beam,first,74.67,27.0,14.67,3
deepseek-r1,beam,second,50.67,63.67,40.67,3
deepseek-r1,beam,third,51.67,58.67,68.0,3
deepseek-r1,buckling,first,37.33,27.33,14.33,3
deepseek-r1,buckling,second,44.33,74.67,79.67,3
deepseek-r1,buckling,third,43.33,11.67,34.0,3
deepseek-r1,cable,first,57.0,13.33,13.0,3
deepseek-r1,cable,second,52.33,85.33,78.33,3
deepseek-r1,cable,third,74.67,40.33,32.0,3
deepseek-r1,camera,first,46.33,39.67,29.0,3
deepseek-r1,camera,second,52.0,50.67,28.33,3
deepseek-r1,camera,third,33.67,52.0,35.67,3
deepseek-r1,citybus,first,65.0,14.67,17.67,3
deepseek-r1,citybus,second,44.0,70.67,74.0,3
deepseek-r1,citybus,third,43.33,76.0,66.33,3
deepseek-r1,curiosity,first,27.67,24.33,13.67,3
deepseek-r1,curiosity,second,61.33,67.33,62.0,3
deepseek-r1,curiosity,third,64.0,41.0,52.33,3
deepseek-r1,feda,first,44.67,14.67,31.67,3
deepseek-r1,feda,second,50.33,51.33,52.0,3
deepseek-r1,feda,third,45.0,58.0,38.33,3
deepseek-r1,gator,first,46.67,28.67,11.0,3
deepseek-r1,gator,second,32.0,34.67,48.0,3
deepseek-r1,gator,third,38.33,88.0,80.0,3
deepseek-r1,gear,first,65.0,23.33,28.0,3
deepseek-r1,gear,second,59.0,77.0,79.33,3
deepseek-r1,gear,third,58.33,57.67,49.67,3
deepseek-r1,gps_imu,first,61.67,24.0,33.0,3
deepseek-r1,gps_imu,second,52.0,44.33,38.0,3
deepseek-r1,gps_imu,third,60.67,79.33,56.0,3
deepseek-r1,handler,first,68.0,19.33,21.0,3
deepseek-r1,handler,second,61.33,73.33,71.0,3
deepseek-r1,handler,third,52.67,47.0,40.0,3
deepseek-r1,hmmwv,first,70.67,29.33,12.0,3
deepseek-r1,hmmwv,second,65.67,34.0,43.67,3
deepseek-r1,hmmwv,third,68.67,58.0,64.67,3
deepseek-r1,kraz,first,56.33,28.0,21.0,3
deepseek-r1,kraz,second,34.67,47.0,26.33,3
deepseek-r1,kraz,third,56.33,13.33,18.0,3
deepseek-r1,lidar,first,53.67,31.67,34.0,3
deepseek-r1,lidar,second,42.0,48.67,33.33,3
deepseek-r1,lidar,third,35.0,19.0,29.67,3
deepseek-r1,m113,first,65.67,23.0,35.33,3
deepseek-r1,m113,second,53.33,46.33,36.0,3
deepseek-r1,m113,third,52.0,73.67,55.33,3
deepseek-r1,man,first,59.67,26.33,15.0,3
deepseek-r1,man,second,49.67,45.33,63.0,3
deepseek-r1,man,third,32.0,32.33,26.0,3
deepseek-r1,mass_spring_damper,first,62.67,33.67,28.33,3
deepseek-r1,mass_spring_damper,second,59.0,40.0,49.0,3
deepseek-r1,mass_spring_damper,third,58.33,53.67,51.0,3
deepseek-r1,particles,first,32.0,26.0,20.67,3
deepseek-r1,particles,second,66.0,62.33,73.33,3
deepseek-r1,particles,third,66.0,64.33,66.0,3
deepseek-r1,pendulum,first,51.33,34.67,12.67,3
deepseek-r1,pendulum,second,45.67,32.67,49.67,3
deepseek-r1,pendulum,third,78.0,64.0,67.33,3
deepseek-r1,rigid_highway,first,69.33,19.33,26.0,3
deepseek-r1,rigid_highway,second,58.33,79.67,72.33,3
deepseek-r1,rigid_highway,third,66.67,82.33,68.33,3
deepseek-r1,rigid_multipatches,first,70.0,34.67,23.67,3
deepseek-r1,rigid_multipatches,second,44.0,49.0,57.67,3
deepseek-r1,rigid_multipatches,third,31.67,86.67,71.0,3
deepseek-r1,rotor,first,43.33,19.0,20.67,3
deepseek-r1,rotor,second,51.0,54.33,49.33,3
deepseek-r1,rotor,third,52.67,55.33,45.33,3
deepseek-r1,scm,first,38.67,20.0,26.67,3
deepseek-r1,scm,second,51.33,58.0,64.33,3
deepseek-r1,scm,third,65.33,38.67,47.0,3
deepseek-r1,scm_hill,first,60.67,16.33,31.67,3
deepseek-r1,scm_hill,second,25.33,17.67,33.33,3
deepseek-r1,scm_hill,third,63.0,39.67,38.67,3
deepseek-r1,sedan,first,49.0,36.33,17.33,3
deepseek-r1,sedan,second,62.33,64.67,48.0,3
deepseek-r1,sedan,third,52.67,36.67,48.33,3
deepseek-r1,sensros,first,43.67,30.33,29.67,3
deepseek-r1,sensros,second,49.0,35.67,39.0,3
deepseek-r1,sensros,third,47.0,61.33,50.0,3
deepseek-r1,slider_crank,first,75.33,48.33,48.33,3
deepseek-r1,slider_crank,second,47.67,58.67,69.0,3
deepseek-r1,slider_crank,third,39.67,77.67,63.0,3
deepseek-r1,tablecloth,first,67.33,30.33,31.33,3
deepseek-r1,tablecloth,second,50.33,74.33,69.33,3
deepseek-r1,tablecloth,third,64.33,39.0,53.33,3
deepseek-r1,turtlebot,first,55.0,32.0,27.67,3
deepseek-r1,turtlebot,second,60.67,79.67,70.0,3
deepseek-r1,turtlebot,third,54.33,40.33,28.33,3
deepseek-r1,uazbus,first,25.33,18.0,20.67,3
deepseek-r1,uazbus,second,57.33,33.0,42.67,3
deepseek-r1,uazbus,third,62.33,42.67,50.33,3
deepseek-r1,vehros,first,30.0,21.33,10.33,3
deepseek-r1,vehros,second,51.67,43.0,48.33,3
deepseek-r1,vehros,third,53.67,45.67,32.67,3
deepseek-r1,veh_app,first,57.33,33.33,10.33,3
deepseek-r1,veh_app,second,50.67,39.67,25.0,3
deepseek-r1,veh_app,third,30.33,51.33,15.33,3
deepseek-r1,viper,first,40.67,16.67,3.33,3
deepseek-r1,viper,second,72.67,57.0,71.67,3
deepseek-r1,viper,third,68.33,42.0,44.0,3
deepseek-r1-32b,art,first,16.33,13.33,0.0,3
deepseek-r1-32b,art,second,16.67,0.0,3.33,3
deepseek-r1-32b,art,third,33.67,13.33,25.67,3
deepseek-r1-32b,beam,first,25.0,17.33,20.0,3
deepseek-r1-32b,beam,second,23.33,3.33,0.0,3
deepseek-r1-32b,beam,third,22.33,14.0,0.0,3
deepseek-r1-32b,buckling,first,15.67,0.0,10.67,3
deepseek-r1-32b,buckling,second,20.0,0.0,29.33,3
deepseek-r1-32b,buckling,third,20.67,0.0,18.33,3
deepseek-r1-32b,cable,first,15.33,0.0,20.67,3
deepseek-r1-32b,cable,second,4.67,3.33,36.33,3
deepseek-r1-32b,cable,third,8.0,3.33,16.67,3
deepseek-r1-32b,camera,first,21.0,3.67,7.33,3
deepseek-r1-32b,camera,second,4.0,8.33,6.33,3
deepseek-r1-32b,camera,third,16.67,13.33,0.0,3
deepseek-r1-32b,citybus,first,18.33,10.0,34.33,3
deepseek-r1-32b,citybus,second,19.0,13.33,16.33,3
deepseek-r1-32b,citybus,third,29.67,20.67,11.33,3
deepseek-r1-32b,curiosity,first,25.0,16.67,13.33,3
deepseek-r1-32b,curiosity,second,15.0,31.67,15.0,3
deepseek-r1-32b,curiosity,third,0.0,0.0,7.33,3
deepseek-r1-32b,feda,first,16.67,8.33,21.67,3
deepseek-r1-32b,feda,second,27.67,13.33,1.67,3
deepseek-r1-32b,feda,third,15.0,7.33,24.0,3
deepseek-r1-32b,gator,first,8.67,30.0,2.33,3
deepseek-r1-32b,gator,second,20.0,13.33,29.67,3
deepseek-r1-32b,gator,third,1.67,15.0,8.0,3
deepseek-r1-32b,gear,first,25.67,13.33,34.0,3
deepseek-r1-32b,gear,second,18.67,3.33,37.0,3
deepseek-r1-32b,gear,third,18.0,21.67,18.0,3
deepseek-r1-32b,gps_imu,first,8.33,18.33,3.33,3
deepseek-r1-32b,gps_imu,second,2.33,0.33,15.0,3
deepseek-r1-32b,gps_imu,third,40.67,0.0,0.0,3
deepseek-r1-32b,handler,first,19.0,8.33,24.0,3
deepseek-r1-32b,handler,second,16.67,13.33,5.0,3
deepseek-r1-32b,handler,third,22.33,3.33,7.0,3
deepseek-r1-32b,hmmwv,first,29.67,13.33,12.33,3
deepseek-r1-32b,hmmwv,second,15.67,0.0,5.67,3
deepseek-r1-32b,hmmwv,third,13.33,8.33,12.67,3
deepseek-r1-32b,kraz,first,17.67,5.67,15.67,3
deepseek-r1-32b,kraz,second,9.0,23.33,3.33,3
deepseek-r1-32b,kraz,third,10.67,13.33,6.67,3
deepseek-r1-32b,lidar,first,19.0,28.33,13.67,3
deepseek-r1-32b,lidar,second,13.33,16.33,20.67,3
deepseek-r1-32b,lidar,third,9.0,19.0,27.0,3
deepseek-r1-32b,m113,first,20.67,10.0,17.33,3
deepseek-r1-32b,m113,second,10.0,0.0,41.67,3
deepseek-r1-32b,m113,third,16.33,7.33,8.0,3
deepseek-r1-32b,man,first,19.0,0.0,1.67,3
deepseek-r1-32b,man,second,11.33,0.0,10.0,3
deepseek-r1-32b,man,third,19.0,8.33,5.67,3
deepseek-r1-32b,mass_spring_damper,first,13.67,0.0,3.33,3
deepseek-r1-32b,mass_spring_damper,second,15.67,3.33,17.33,3
deepseek-r1-32b,mass_spring_damper,third,8.33,5.67,0.0,3
deepseek-r1-32b,particles,first,15.0,8.33,46.33,3
deepseek-r1-32b,particles,second,26.67,3.33,4.0,3
deepseek-r1-32b,particles,third,29.0,10.67,6.67,3
deepseek-r1-32b,pendulum,first,17.67,19.0,33.33,3
