Model,System,Round,Status
gpt-4.1-mini,beam,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,beam,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,beam,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\beam\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,feda,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,feda,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,feda,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\feda\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,art,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,art,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,art,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\art\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,citybus,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,citybus,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,citybus,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\citybus\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,camera,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,camera,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,camera,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\camera\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,buckling,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,buckling,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,buckling,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\buckling\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,curiosity,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,curiosity,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,curiosity,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\curiosity\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,cable,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,cable,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,cable,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\cable\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,hmmwv,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,hmmwv,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,hmmwv,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\hmmwv\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gps_imu,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gps_imu,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gps_imu,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gps_imu\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gator,first,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\first_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\first_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gator,second,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\second_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\second_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
gpt-4.1-mini,gator,third,"C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\third_cleaned_response.py ERROR: File ""C:\Users\andre\Documents\simbench\SimBench\output_llms\gpt-4.1-mini\gator\third_cleaned_response.py"", line 1
    [ERROR] openai sdk missing: No module named 'openai'
            ^^^^^^
SyntaxError: invalid syntax"
