model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,48.546,45.281,43.722,0.629,0.528,0.546,0.86,0.54,0.787,0.675,0.698,0.786,100.0,1,1.603,0.93,0.945,0.752,0.922,0.848
qwen3-235b-a22b,49.109,44.957,44.382,0.602,0.509,0.528,0.844,0.517,0.751,0.641,0.67,0.75,98.82,2,1.684,0.883,1.041,0.431,0.623,0.583
mistral-medium-3-instruct,44.64,45.044,44.238,0.631,0.525,0.547,0.857,0.585,0.765,0.648,0.671,0.764,96.69,3,1.045,0.896,1.02,0.779,0.738,0.589
mistral-small-3.1-24b-instruct-2503,41.065,44.588,43.843,0.611,0.518,0.535,0.85,0.531,0.739,0.626,0.655,0.738,92.41,4,0.533,0.829,0.962,0.536,0.516,0.436
llama4_maverick,45.547,41.52,41.359,0.594,0.509,0.539,0.853,0.467,0.771,0.661,0.682,0.77,92.3,5,1.174,0.385,0.599,0.337,0.788,0.693
codestral-22b-instruct-v0.1,43.227,43.759,41.706,0.604,0.506,0.547,0.842,0.512,0.711,0.613,0.645,0.71,90.99,6,0.842,0.709,0.649,0.458,0.281,0.339
llama-3.1-405b-instruct,40.173,44.313,42.298,0.622,0.534,0.549,0.842,0.553,0.725,0.626,0.658,0.724,90.65,7,0.405,0.79,0.736,0.67,0.403,0.467
llama-3.3-70b-instruct,39.192,42.507,41.796,0.605,0.513,0.535,0.834,0.528,0.733,0.623,0.659,0.733,88.12,8,0.265,0.528,0.663,0.466,0.471,0.472
gemma-3-27b-it,39.325,42.058,41.435,0.606,0.506,0.525,0.849,0.525,0.736,0.619,0.656,0.735,87.66,9,0.284,0.463,0.61,0.477,0.493,0.443
llama-3.1-70b-instruct,41.937,42.091,39.921,0.595,0.503,0.522,0.834,0.511,0.718,0.603,0.641,0.717,87.54,10,0.658,0.468,0.388,0.342,0.345,0.301
mixtral-8x22b-instruct-v0.1,38.815,41.985,41.495,0.615,0.527,0.544,0.841,0.538,0.72,0.617,0.651,0.719,87.16,11,0.211,0.452,0.619,0.585,0.357,0.4
llama4_scout,37.737,43.146,40.451,0.592,0.498,0.519,0.832,0.512,0.712,0.607,0.638,0.711,85.56,12,0.057,0.62,0.466,0.315,0.292,0.273
gemma-2-27b-it,40.031,41.558,38.987,0.594,0.507,0.526,0.834,0.499,0.714,0.611,0.641,0.713,85.14,13,0.385,0.391,0.252,0.336,0.307,0.301
qwq-32b,46.054,38.889,36.958,0.559,0.421,0.455,0.833,0.516,0.699,0.573,0.616,0.698,84.38,14,1.247,0.004,-0.046,-0.092,0.182,0.066
deepseek-r1-32b,37.956,42.485,39.389,0.591,0.504,0.517,0.828,0.495,0.707,0.597,0.63,0.706,84.25,15,0.088,0.525,0.31,0.293,0.252,0.203
mixtral-8x7b-instruct-v0.1,36.474,39.896,39.166,0.578,0.494,0.512,0.794,0.483,0.679,0.574,0.612,0.678,80.17,16,-0.124,0.15,0.278,0.141,0.02,0.031
mistral-nemo-12b-instruct,35.393,40.157,36.208,0.565,0.47,0.493,0.811,0.475,0.681,0.573,0.612,0.68,77.27,17,-0.279,0.187,-0.155,-0.02,0.033,0.036
gemma-2-9b-it,36.08,39.376,35.414,0.568,0.484,0.506,0.81,0.464,0.684,0.586,0.621,0.683,76.94,18,-0.18,0.074,-0.271,0.023,0.059,0.113
llama-3.1-8b-instruct,34.316,38.477,37.24,0.587,0.499,0.522,0.814,0.503,0.673,0.576,0.608,0.673,76.43,19,-0.433,-0.056,-0.004,0.247,-0.031,-0.003
deepseek-r1-8b,31.936,37.951,36.173,0.581,0.473,0.499,0.814,0.488,0.661,0.566,0.597,0.66,73.13,20,-0.773,-0.132,-0.16,0.173,-0.137,-0.106
qwen2-7b-instruct,33.105,35.909,34.513,0.56,0.453,0.478,0.818,0.483,0.663,0.558,0.598,0.663,70.92,21,-0.606,-0.428,-0.403,-0.072,-0.118,-0.096
mamba-codestral-7b-v0.1,35.155,35.84,34.591,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,70.14,22,-0.312,-0.438,-0.392,-0.589,-0.407,-0.362
gemma-2-2b-it,30.304,34.8,33.955,0.551,0.475,0.496,0.795,0.427,0.655,0.569,0.606,0.654,67.64,23,-1.007,-0.589,-0.485,-0.19,-0.183,-0.022
gemma-3-1b-it,30.931,30.971,28.984,0.529,0.449,0.478,0.774,0.397,0.636,0.556,0.597,0.636,60.96,24,-0.917,-1.143,-1.213,-0.445,-0.342,-0.108
phi-3-medium-128k-instruct,26.255,31.706,29.644,0.539,0.466,0.485,0.757,0.439,0.631,0.546,0.572,0.63,58.4,25,-1.586,-1.037,-1.116,-0.328,-0.391,-0.344
phi-3-mini-128k-instruct,26.778,28.137,26.902,0.486,0.368,0.425,0.744,0.396,0.583,0.491,0.526,0.582,51.39,26,-1.511,-1.554,-1.517,-0.973,-0.786,-0.777
phi-4-mini-instruct,18.08,11.9,11.487,0.181,0.066,0.074,0.23,0.226,0.118,0.083,0.103,0.117,0.0,27,-2.756,-3.906,-3.774,-4.65,-4.688,-4.776
