Rank, model                      , ConsensusScore, Score Document, Score Reference, Score Reference Document, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, llama3.3-70b-sft1          ,          61.74,          55.19,           45.73,                    44.10,     0.69,              0.61,                       0.64,               0.90,                 0.59,   0.82,   0.74,   0.75,      0.82
   2, llama3.1-8b-f2             ,          58.01,          49.16,           41.70,                    38.54,     0.67,              0.59,                       0.62,               0.89,                 0.57,   0.80,   0.72,   0.72,      0.80
   3, deepseek-r1                ,          57.88,          62.72,           40.14,                    38.41,     0.61,              0.50,                       0.51,               0.85,                 0.54,   0.77,   0.65,   0.68,      0.77
   4, qwen3-235b-a22b            ,          57.69,          60.64,           42.72,                    38.89,     0.61,              0.51,                       0.53,               0.85,                 0.55,   0.75,   0.64,   0.67,      0.75
   5, llama4_maverick            ,          55.60,          52.17,           39.54,                    37.44,     0.60,              0.51,                       0.56,               0.85,                 0.47,   0.77,   0.66,   0.68,      0.76
   6, gemma-3-27b-it             ,          54.65,          48.44,           37.58,                    35.11,     0.62,              0.53,                       0.55,               0.86,                 0.54,   0.77,   0.66,   0.68,      0.77
   7, llama3.3-70b-lora1         ,          54.46,          42.49,           38.74,                    35.63,     0.64,              0.55,                       0.60,               0.88,                 0.52,   0.77,   0.68,   0.69,      0.77
   8, llama-3.1-405b-instruct    ,          54.33,          45.42,           41.05,                    39.90,     0.62,              0.53,                       0.55,               0.83,                 0.56,   0.72,   0.62,   0.66,      0.72
   9, mistral-large-latest       ,          54.12,          52.25,           35.46,                    35.91,     0.60,              0.50,                       0.52,               0.84,                 0.53,   0.74,   0.63,   0.67,      0.74
  10, codestral-22b-instruct-v0.1,          54.09,          47.74,           41.78,                    39.68,     0.61,              0.52,                       0.54,               0.84,                 0.53,   0.70,   0.61,   0.65,      0.70
  11, llama4-109b-lora1          ,          53.42,          41.11,           39.30,                    37.18,     0.62,              0.53,                       0.55,               0.85,                 0.53,   0.75,   0.65,   0.66,      0.75
  12, mixtral-8x22b-instruct-v0.1,          52.89,          45.37,           43.25,                    40.62,     0.59,              0.52,                       0.54,               0.80,                 0.49,   0.67,   0.60,   0.62,      0.67
  13, llama-3.3-70b-instruct     ,          52.48,          41.78,           37.78,                    35.57,     0.60,              0.52,                       0.54,               0.84,                 0.50,   0.74,   0.62,   0.66,      0.73
  14, llama4_scout               ,          52.36,          42.96,           37.64,                    36.18,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.72,   0.61,   0.64,      0.72
  15, llama3.1-8b-lora1          ,          52.28,          38.61,           35.29,                    31.91,     0.64,              0.54,                       0.58,               0.87,                 0.54,   0.76,   0.68,   0.68,      0.76
  16, llama-3.1-70b-instruct     ,          51.60,          42.72,           39.50,                    37.87,     0.54,              0.51,                       0.53,               0.67,                 0.33,   0.71,   0.61,   0.64,      0.71
  17, nemotron-4-340b-instruct   ,          51.00,          39.20,           35.46,                    35.11,     0.60,              0.49,                       0.53,               0.84,                 0.52,   0.72,   0.61,   0.64,      0.72
  18, gemma-2-27b-it             ,          50.74,          41.74,           36.51,                    32.29,     0.59,              0.50,                       0.52,               0.83,                 0.50,   0.71,   0.61,   0.64,      0.71
  19, deepseek-r1-32b            ,          49.86,          36.90,           37.76,                    33.99,     0.59,              0.49,                       0.51,               0.83,                 0.51,   0.70,   0.58,   0.62,      0.70
  20, gemma-2-9b-it              ,          48.20,          37.17,           33.25,                    29.63,     0.58,              0.49,                       0.51,               0.82,                 0.47,   0.69,   0.59,   0.63,      0.69
  21, llama-3.1-8b-instruct      ,          47.83,          35.37,           35.74,                    33.18,     0.57,              0.49,                       0.52,               0.76,                 0.46,   0.66,   0.57,   0.60,      0.66
  22, mistral-nemo-12b-instruct  ,          46.83,          36.14,           34.72,                    31.64,     0.55,              0.44,                       0.47,               0.79,                 0.46,   0.65,   0.55,   0.58,      0.65
  23, mixtral-8x7b-instruct-v0.1 ,          45.27,          33.38,           34.83,                    32.82,     0.51,              0.42,                       0.46,               0.73,                 0.42,   0.63,   0.54,   0.57,      0.62
  24, deepseek-r1-8b             ,          44.87,          32.06,           29.83,                    26.59,     0.57,              0.47,                       0.49,               0.79,                 0.49,   0.65,   0.56,   0.59,      0.65
  25, gemma-3-1b-it              ,          44.74,          32.65,           30.71,                    26.52,     0.54,              0.46,                       0.49,               0.78,                 0.39,   0.64,   0.56,   0.60,      0.64
  26, gemma-2-2b-it              ,          43.61,          28.66,           29.35,                    25.75,     0.54,              0.46,                       0.48,               0.79,                 0.43,   0.64,   0.56,   0.60,      0.64
  27, mamba-codestral-7b-v0.1    ,          40.44,          29.48,           30.35,                    26.64,     0.47,              0.39,                       0.41,               0.72,                 0.36,   0.57,   0.49,   0.52,      0.57
  28, phi-3-mini-128k-instruct   ,          39.27,          24.96,           25.20,                    21.69,     0.51,              0.39,                       0.45,               0.77,                 0.41,   0.59,   0.51,   0.54,      0.59
  29, phi-3-medium-128k-instruct ,          26.40,          17.78,           15.06,                    14.35,     0.37,              0.24,                       0.26,               0.55,                 0.26,   0.39,   0.31,   0.35,      0.39
