Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_scout,gator,first,8,4,7
llama4_scout,gator,second,68,57,62
llama4_scout,gator,third,67,92,89
llama4_scout,gear,first,0,7,5
llama4_scout,gear,second,72,100,100
llama4_scout,gear,third,54,22,32
llama4_scout,feda,first,2,5,8
llama4_scout,feda,second,78,39,72
llama4_scout,feda,third,64,32,18
llama4_scout,man,first,4,9,6
llama4_scout,man,second,75,92,67
llama4_scout,man,third,67,19,15
llama4_scout,art,first,2,4,10
llama4_scout,art,second,73,98,100
llama4_scout,art,third,70,98,97
llama4_scout,vehros,first,4,16,7
llama4_scout,vehros,second,68,12,15
llama4_scout,vehros,third,60,24,43
llama4_scout,pendulum,first,6,9,5
llama4_scout,pendulum,second,46,32,22
llama4_scout,pendulum,third,57,35,20
llama4_scout,rigid_highway,first,4,7,2
llama4_scout,rigid_highway,second,68,77,77
llama4_scout,rigid_highway,third,55,72,75
llama4_scout,curiosity,first,2,4,5
llama4_scout,curiosity,second,58,67,65
llama4_scout,curiosity,third,69,72,40
llama4_scout,gps_imu,first,2,7,5
llama4_scout,gps_imu,second,72,57,69
llama4_scout,gps_imu,third,80,82,82
llama4_scout,mass_spring_damper,first,5,28,2
llama4_scout,mass_spring_damper,second,70,37,27
llama4_scout,mass_spring_damper,third,70,66,32
llama4_scout,uazbus,first,7,4,5
llama4_scout,uazbus,second,59,55,51
llama4_scout,uazbus,third,45,58,49
llama4_scout,scm,first,2,7,2
llama4_scout,scm,second,77,70,47
llama4_scout,scm,third,64,7,24
llama4_scout,veh_app,first,10,8,5
llama4_scout,veh_app,second,47,35,16
llama4_scout,veh_app,third,65,54,70
llama4_scout,sedan,first,4,5,2
llama4_scout,sedan,second,52,28,12
llama4_scout,sedan,third,76,44,4
llama4_scout,citybus,first,2,4,5
llama4_scout,citybus,second,57,55,27
llama4_scout,citybus,third,63,80,70
llama4_scout,beam,first,2,9,8
llama4_scout,beam,second,55,27,45
llama4_scout,beam,third,48,52,85
llama4_scout,sensros,first,2,8,2
llama4_scout,sensros,second,44,45,57
llama4_scout,sensros,third,34,85,77
llama4_scout,camera,first,6,9,6
llama4_scout,camera,second,67,72,92
llama4_scout,camera,third,62,85,87
llama4_scout,particles,first,2,2,4
llama4_scout,particles,second,62,70,67
llama4_scout,particles,third,77,38,16
llama4_scout,kraz,first,5,8,8
llama4_scout,kraz,second,88,52,46
llama4_scout,kraz,third,41,11,7
llama4_scout,m113,first,7,9,7
llama4_scout,m113,second,69,18,10
llama4_scout,m113,third,45,41,26
llama4_scout,tablecloth,first,5,5,8
llama4_scout,tablecloth,second,15,60,30
llama4_scout,tablecloth,third,39,88,90
llama4_scout,rotor,first,4,8,2
llama4_scout,rotor,second,52,65,62
llama4_scout,rotor,third,50,75,82
llama4_scout,scm_hill,first,6,6,3
llama4_scout,scm_hill,second,77,37,28
llama4_scout,scm_hill,third,82,55,52
llama4_scout,viper,first,2,5,8
llama4_scout,viper,second,90,100,100
llama4_scout,viper,third,82,39,45
llama4_scout,buckling,first,0,0,3
llama4_scout,buckling,second,57,97,100
llama4_scout,buckling,third,45,4,8
llama4_scout,slider_crank,first,4,10,8
llama4_scout,slider_crank,second,59,37,18
llama4_scout,slider_crank,third,54,59,67
llama4_scout,turtlebot,first,5,9,8
llama4_scout,turtlebot,second,49,85,75
llama4_scout,turtlebot,third,61,23,27
llama4_scout,rigid_multipatches,first,6,0,7
llama4_scout,rigid_multipatches,second,70,15,10
llama4_scout,rigid_multipatches,third,84,95,95
llama4_scout,cable,first,10,0,2
llama4_scout,cable,second,97,85,100
llama4_scout,cable,third,49,15,22
llama4_scout,hmmwv,first,2,0,8
llama4_scout,hmmwv,second,67,11,8
llama4_scout,hmmwv,third,61,67,77
llama4_scout,handler,first,13,4,13
