model,Score Document,Score Reference,Score Reference Document
llama4_scout,42.96078431372549,37.63725490196079,36.1764705882353
mistral-nemo-12b-instruct,36.13725490196079,34.71568627450981,31.637254901960784
mixtral-8x22b-instruct-v0.1,45.372549019607845,43.254901960784316,40.61764705882353
llama3.3-70b-sft1,55.18627450980392,45.72549019607843,44.09803921568628
llama3.1-8b-lora1,38.6078431372549,35.294117647058826,31.91176470588235
llama4_maverick,52.166666666666664,39.53921568627451,37.44117647058823
gemma-2-9b-it,37.166666666666664,33.254901960784316,29.627450980392158
gemma-2-2b-it,28.65686274509804,29.352941176470587,25.745098039215687
phi-3-medium-128k-instruct,17.784313725490197,15.058823529411764,14.352941176470589
llama3.3-70b-lora1,42.490196078431374,38.73529411764706,35.627450980392155
llama-3.3-70b-instruct,41.78431372549019,37.78431372549019,35.568627450980394
gemma-3-27b-it,48.44117647058823,37.57843137254902,35.1078431372549
deepseek-r1,62.71568627450981,40.13725490196079,38.411764705882355
llama-3.1-405b-instruct,45.42156862745098,41.049019607843135,39.90196078431372
gemma-3-1b-it,32.64705882352941,30.705882352941178,26.519607843137255
qwen3-235b-a22b,60.63725490196079,42.71568627450981,38.8921568627451
llama3.1-8b-f2,49.15686274509804,41.69607843137255,38.53921568627451
codestral-22b-instruct-v0.1,47.73529411764706,41.78431372549019,39.6764705882353
gemma-2-27b-it,41.73529411764706,36.509803921568626,32.294117647058826
mistral-large-latest,52.254901960784316,35.46078431372549,35.911764705882355
phi-3-mini-128k-instruct,24.96078431372549,25.19607843137255,21.686274509803923
mamba-codestral-7b-v0.1,29.480392156862745,30.352941176470587,26.637254901960784
nemotron-4-340b-instruct,39.19607843137255,35.46078431372549,35.1078431372549
llama-3.1-70b-instruct,42.71568627450981,39.5,37.872549019607845
deepseek-r1-8b,32.05882352941177,29.833333333333332,26.58823529411765
mixtral-8x7b-instruct-v0.1,33.38235294117647,34.833333333333336,32.8235294117647
llama4-109b-lora1,41.1078431372549,39.30392156862745,37.1764705882353
llama-3.1-8b-instruct,35.372549019607845,35.73529411764706,33.1764705882353
deepseek-r1-32b,36.90196078431372,37.76470588235294,33.990196078431374
