Rank, model                      , ConsensusScore, Score Document, Score Reference, Score Reference Document, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, llama3.3-70b-sft1          ,          62.15,          47.45,           54.00,                    46.03,     0.69,              0.61,                       0.64,               0.90,                 0.59,   0.82,   0.74,   0.75,      0.82
   2, llama3.1-8b-f2             ,          61.10,          47.81,           56.75,                    43.33,     0.67,              0.59,                       0.62,               0.89,                 0.57,   0.80,   0.72,   0.72,      0.80
   3, deepseek-r1                ,          60.59,          51.17,           59.49,                    46.87,     0.61,              0.50,                       0.51,               0.85,                 0.54,   0.77,   0.65,   0.68,      0.77
   4, qwen3-235b-a22b            ,          59.67,          52.80,           57.27,                    44.05,     0.61,              0.51,                       0.53,               0.85,                 0.55,   0.75,   0.64,   0.67,      0.75
   5, llama4_maverick            ,          59.35,          51.23,           57.29,                    43.11,     0.60,              0.51,                       0.56,               0.85,                 0.47,   0.77,   0.66,   0.68,      0.76
   6, gemma-3-27b-it             ,          59.02,          52.18,           54.55,                    40.63,     0.62,              0.53,                       0.55,               0.86,                 0.54,   0.77,   0.66,   0.68,      0.77
   7, llama3.3-70b-lora1         ,          58.37,          44.69,           54.15,                    41.47,     0.64,              0.55,                       0.60,               0.88,                 0.52,   0.77,   0.68,   0.69,      0.77
   8, mistral-large-latest       ,          57.98,          47.33,           56.06,                    43.38,     0.60,              0.50,                       0.52,               0.84,                 0.53,   0.74,   0.63,   0.67,      0.74
   9, llama4_scout               ,          57.50,          47.29,           56.48,                    43.88,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.72,   0.61,   0.64,      0.72
  10, llama-3.3-70b-instruct     ,          57.29,          47.14,           53.38,                    43.46,     0.60,              0.52,                       0.54,               0.84,                 0.50,   0.74,   0.62,   0.66,      0.73
  11, llama3.1-8b-lora1          ,          57.11,          41.50,           54.52,                    38.79,     0.64,              0.54,                       0.58,               0.87,                 0.54,   0.76,   0.68,   0.68,      0.76
  12, llama4-109b-lora1          ,          56.86,          43.67,           50.94,                    43.67,     0.62,              0.53,                       0.55,               0.85,                 0.53,   0.75,   0.65,   0.66,      0.75
  13, llama-3.1-405b-instruct    ,          56.36,          42.14,           50.51,                    45.95,     0.62,              0.53,                       0.55,               0.83,                 0.56,   0.72,   0.62,   0.66,      0.72
  14, llama-3.1-70b-instruct     ,          56.02,          50.02,           50.21,                    46.37,     0.54,              0.51,                       0.53,               0.67,                 0.33,   0.71,   0.61,   0.64,      0.71
  15, codestral-22b-instruct-v0.1,          55.88,          47.60,           49.82,                    42.52,     0.61,              0.52,                       0.54,               0.84,                 0.53,   0.70,   0.61,   0.65,      0.70
  16, gemma-2-27b-it             ,          54.99,          46.94,           51.55,                    37.57,     0.59,              0.50,                       0.52,               0.83,                 0.50,   0.71,   0.61,   0.64,      0.71
  17, mixtral-8x22b-instruct-v0.1,          54.12,          44.18,           51.36,                    41.06,     0.59,              0.52,                       0.54,               0.80,                 0.49,   0.67,   0.60,   0.62,      0.67
  18, nemotron-4-340b-instruct   ,          54.08,          40.37,           50.89,                    36.99,     0.60,              0.49,                       0.53,               0.84,                 0.52,   0.72,   0.61,   0.64,      0.72
  19, gemma-2-9b-it              ,          53.66,          43.37,           47.35,                    42.11,     0.58,              0.49,                       0.51,               0.82,                 0.47,   0.69,   0.59,   0.63,      0.69
  20, deepseek-r1-32b            ,          53.28,          44.01,           46.53,                    38.63,     0.59,              0.49,                       0.51,               0.83,                 0.51,   0.70,   0.58,   0.62,      0.70
  21, llama-3.1-8b-instruct      ,          50.36,          35.71,           43.33,                    40.43,     0.57,              0.49,                       0.52,               0.76,                 0.46,   0.66,   0.57,   0.60,      0.66
  22, deepseek-r1-8b             ,          50.20,          38.80,           44.22,                    37.47,     0.57,              0.47,                       0.49,               0.79,                 0.49,   0.65,   0.56,   0.59,      0.65
  23, mistral-nemo-12b-instruct  ,          49.38,          34.63,           47.91,                    35.24,     0.55,              0.44,                       0.47,               0.79,                 0.46,   0.65,   0.55,   0.58,      0.65
  24, mixtral-8x7b-instruct-v0.1 ,          49.28,          36.05,           51.08,                    37.98,     0.51,              0.42,                       0.46,               0.73,                 0.42,   0.63,   0.54,   0.57,      0.62
  25, gemma-3-1b-it              ,          48.92,          37.70,           44.60,                    32.67,     0.54,              0.46,                       0.49,               0.78,                 0.39,   0.64,   0.56,   0.60,      0.64
  26, gemma-2-2b-it              ,          47.48,          32.72,           41.26,                    32.96,     0.54,              0.46,                       0.48,               0.79,                 0.43,   0.64,   0.56,   0.60,      0.64
  27, phi-3-mini-128k-instruct   ,          45.83,          32.21,           45.72,                    33.24,     0.51,              0.39,                       0.45,               0.77,                 0.41,   0.59,   0.51,   0.54,      0.59
  28, mamba-codestral-7b-v0.1    ,          44.99,          36.47,           45.29,                    32.00,     0.47,              0.39,                       0.41,               0.72,                 0.36,   0.57,   0.49,   0.52,      0.57
  29, phi-3-medium-128k-instruct ,          33.07,          24.11,           30.52,                    32.61,     0.37,              0.24,                       0.26,               0.55,                 0.26,   0.39,   0.31,   0.35,      0.39
