model,Score Document,Score Reference,Score Reference Document
llama4_scout,47.294117647058826,56.48039215686274,43.88235294117647
mistral-nemo-12b-instruct,34.627450980392155,47.911764705882355,35.23529411764706
mixtral-8x22b-instruct-v0.1,44.1764705882353,51.36274509803921,41.05882352941177
llama3.3-70b-sft1,47.450980392156865,54.0,46.029411764705884
llama3.1-8b-lora1,41.5,54.51960784313726,38.794117647058826
llama4_maverick,51.22549019607843,57.294117647058826,43.1078431372549
gemma-2-9b-it,43.372549019607845,47.35294117647059,42.1078431372549
gemma-2-2b-it,32.71568627450981,41.26470588235294,32.96078431372549
phi-3-medium-128k-instruct,24.107843137254903,30.519607843137255,32.6078431372549
llama3.3-70b-lora1,44.68627450980392,54.14705882352941,41.470588235294116
llama-3.3-70b-instruct,47.13725490196079,53.38235294117647,43.46078431372549
gemma-3-27b-it,52.1764705882353,54.549019607843135,40.627450980392155
deepseek-r1,51.166666666666664,59.490196078431374,46.872549019607845
llama-3.1-405b-instruct,42.13725490196079,50.509803921568626,45.950980392156865
gemma-3-1b-it,37.69607843137255,44.59803921568628,32.666666666666664
qwen3-235b-a22b,52.80392156862745,57.27450980392157,44.049019607843135
llama3.1-8b-f2,47.81372549019608,56.745098039215684,43.333333333333336
codestral-22b-instruct-v0.1,47.59803921568628,49.8235294117647,42.51960784313726
gemma-2-27b-it,46.94117647058823,51.549019607843135,37.568627450980394
mistral-large-latest,47.333333333333336,56.05882352941177,43.38235294117647
phi-3-mini-128k-instruct,32.205882352941174,45.71568627450981,33.23529411764706
mamba-codestral-7b-v0.1,36.470588235294116,45.294117647058826,32.0
nemotron-4-340b-instruct,40.372549019607845,50.8921568627451,36.990196078431374
llama-3.1-70b-instruct,50.01960784313726,50.205882352941174,46.372549019607845
deepseek-r1-8b,38.80392156862745,44.21568627450981,37.470588235294116
mixtral-8x7b-instruct-v0.1,36.049019607843135,51.07843137254902,37.98039215686274
llama4-109b-lora1,43.666666666666664,50.94117647058823,43.666666666666664
llama-3.1-8b-instruct,35.705882352941174,43.333333333333336,40.431372549019606
deepseek-r1-32b,44.009803921568626,46.529411764705884,38.627450980392155
