Test Model,System,Round,Score Document,Score Reference,Score Reference Document
deepseek-r1,scm,first,32,21,52
deepseek-r1,scm,second,50,65,67
deepseek-r1,scm,third,66,28,62
deepseek-r1,citybus,first,20,65,14
deepseek-r1,citybus,second,68,78,28
deepseek-r1,citybus,third,78,80,65
deepseek-r1,gps_imu,first,46,70,57
deepseek-r1,gps_imu,second,50,73,37
deepseek-r1,gps_imu,third,60,93,54
deepseek-r1,rotor,first,62,43,17
deepseek-r1,rotor,second,46,63,66
deepseek-r1,rotor,third,61,40,67
deepseek-r1,rigid_multipatches,first,53,0,12
deepseek-r1,rigid_multipatches,second,35,70,55
deepseek-r1,rigid_multipatches,third,39,100,74
deepseek-r1,cable,first,14,38,19
deepseek-r1,cable,second,78,100,24
deepseek-r1,cable,third,36,92,25
deepseek-r1,sensros,first,30,40,19
deepseek-r1,sensros,second,6,66,67
deepseek-r1,sensros,third,80,98,68
deepseek-r1,scm_hill,first,72,27,19
deepseek-r1,scm_hill,second,55,78,11
deepseek-r1,scm_hill,third,92,68,68
deepseek-r1,veh_app,first,45,53,19
deepseek-r1,veh_app,second,75,68,53
deepseek-r1,veh_app,third,49,60,7
deepseek-r1,gear,first,68,27,64
deepseek-r1,gear,second,70,98,62
deepseek-r1,gear,third,1,51,97
deepseek-r1,art,first,71,51,15
deepseek-r1,art,second,28,92,85
deepseek-r1,art,third,73,97,63
deepseek-r1,man,first,34,12,54
deepseek-r1,man,second,39,83,60
deepseek-r1,man,third,55,59,89
deepseek-r1,curiosity,first,0,100,54
deepseek-r1,curiosity,second,18,80,43
deepseek-r1,curiosity,third,50,65,65
deepseek-r1,vehros,first,50,14,5
deepseek-r1,vehros,second,25,53,7
deepseek-r1,vehros,third,80,92,51
deepseek-r1,uazbus,first,29,69,0
deepseek-r1,uazbus,second,47,69,54
deepseek-r1,uazbus,third,73,55,90
deepseek-r1,handler,first,58,65,34
deepseek-r1,handler,second,12,98,60
deepseek-r1,handler,third,21,67,75
deepseek-r1,beam,first,78,37,0
deepseek-r1,beam,second,54,74,34
deepseek-r1,beam,third,33,81,22
deepseek-r1,particles,first,23,73,35
deepseek-r1,particles,second,74,36,57
deepseek-r1,particles,third,86,28,60
deepseek-r1,m113,first,55,13,22
deepseek-r1,m113,second,20,39,16
deepseek-r1,m113,third,88,72,57
deepseek-r1,sedan,first,0,60,34
deepseek-r1,sedan,second,36,61,70
deepseek-r1,sedan,third,77,70,54
deepseek-r1,viper,first,36,68,60
deepseek-r1,viper,second,95,82,33
deepseek-r1,viper,third,37,70,68
deepseek-r1,lidar,first,2,61,18
deepseek-r1,lidar,second,61,91,37
deepseek-r1,lidar,third,5,38,12
deepseek-r1,rigid_highway,first,0,67,7
deepseek-r1,rigid_highway,second,93,30,38
deepseek-r1,rigid_highway,third,77,100,70
deepseek-r1,pendulum,first,94,86,2
deepseek-r1,pendulum,second,95,80,10
deepseek-r1,pendulum,third,36,75,78
deepseek-r1,hmmwv,first,36,27,12
deepseek-r1,hmmwv,second,80,60,65
deepseek-r1,hmmwv,third,59,18,75
deepseek-r1,turtlebot,first,9,17,0
deepseek-r1,turtlebot,second,45,70,66
deepseek-r1,turtlebot,third,36,72,57
deepseek-r1,mass_spring_damper,first,45,60,29
deepseek-r1,mass_spring_damper,second,71,85,62
deepseek-r1,mass_spring_damper,third,88,65,45
deepseek-r1,tablecloth,first,59,27,7
deepseek-r1,tablecloth,second,53,82,53
deepseek-r1,tablecloth,third,40,60,17
deepseek-r1,kraz,first,26,64,32
deepseek-r1,kraz,second,80,85,3
deepseek-r1,kraz,third,2,35,75
deepseek-r1,camera,first,38,37,22
deepseek-r1,camera,second,36,67,54
deepseek-r1,camera,third,35,63,55
deepseek-r1,buckling,first,36,12,12
deepseek-r1,buckling,second,0,98,42
deepseek-r1,buckling,third,64,57,43
deepseek-r1,gator,first,60,24,12
deepseek-r1,gator,second,70,40,50
deepseek-r1,gator,third,62,90,36
deepseek-r1,slider_crank,first,75,33,17
deepseek-r1,slider_crank,second,75,100,2
deepseek-r1,slider_crank,third,30,100,10
deepseek-r1,feda,first,71,55,17
deepseek-r1,feda,second,75,52,63
deepseek-r1,feda,third,9,70,2
