Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama-3.1-8b-instruct,scm,first,0,0,0
llama-3.1-8b-instruct,scm,second,25,93,51
llama-3.1-8b-instruct,scm,third,47,69,57
llama-3.1-8b-instruct,citybus,first,13,48,4
llama-3.1-8b-instruct,citybus,second,64,65,93
llama-3.1-8b-instruct,citybus,third,57,36,7
llama-3.1-8b-instruct,gps_imu,first,19,14,59
llama-3.1-8b-instruct,gps_imu,second,20,72,69
llama-3.1-8b-instruct,gps_imu,third,31,78,56
llama-3.1-8b-instruct,rotor,first,0,2,54
llama-3.1-8b-instruct,rotor,second,51,98,76
llama-3.1-8b-instruct,rotor,third,92,92,61
llama-3.1-8b-instruct,rigid_multipatches,first,17,21,55
llama-3.1-8b-instruct,rigid_multipatches,second,68,11,51
llama-3.1-8b-instruct,rigid_multipatches,third,17,65,52
llama-3.1-8b-instruct,cable,first,18,58,53
llama-3.1-8b-instruct,cable,second,95,69,69
llama-3.1-8b-instruct,cable,third,0,68,57
llama-3.1-8b-instruct,sensros,first,18,11,24
llama-3.1-8b-instruct,sensros,second,17,76,47
llama-3.1-8b-instruct,sensros,third,45,68,55
llama-3.1-8b-instruct,scm_hill,first,14,0,0
llama-3.1-8b-instruct,scm_hill,second,16,59,45
llama-3.1-8b-instruct,scm_hill,third,75,23,65
llama-3.1-8b-instruct,veh_app,first,0,52,47
llama-3.1-8b-instruct,veh_app,second,77,16,20
llama-3.1-8b-instruct,veh_app,third,17,6,37
llama-3.1-8b-instruct,gear,first,21,57,46
llama-3.1-8b-instruct,gear,second,67,65,95
llama-3.1-8b-instruct,gear,third,66,82,80
llama-3.1-8b-instruct,art,first,1,22,34
llama-3.1-8b-instruct,art,second,30,40,68
llama-3.1-8b-instruct,art,third,61,72,55
llama-3.1-8b-instruct,man,first,45,40,0
llama-3.1-8b-instruct,man,second,74,93,70
llama-3.1-8b-instruct,man,third,67,68,19
llama-3.1-8b-instruct,curiosity,first,45,0,10
llama-3.1-8b-instruct,curiosity,second,100,83,52
llama-3.1-8b-instruct,curiosity,third,17,10,47
llama-3.1-8b-instruct,vehros,first,5,33,50
llama-3.1-8b-instruct,vehros,second,63,68,29
llama-3.1-8b-instruct,vehros,third,23,47,35
llama-3.1-8b-instruct,uazbus,first,0,5,10
llama-3.1-8b-instruct,uazbus,second,20,100,62
llama-3.1-8b-instruct,uazbus,third,10,43,40
llama-3.1-8b-instruct,handler,first,10,54,49
llama-3.1-8b-instruct,handler,second,64,15,10
llama-3.1-8b-instruct,handler,third,32,80,42
llama-3.1-8b-instruct,beam,first,11,17,0
llama-3.1-8b-instruct,beam,second,12,96,37
llama-3.1-8b-instruct,beam,third,62,49,100
llama-3.1-8b-instruct,particles,first,0,0,30
llama-3.1-8b-instruct,particles,second,50,87,39
llama-3.1-8b-instruct,particles,third,30,12,57
llama-3.1-8b-instruct,m113,first,0,11,3
llama-3.1-8b-instruct,m113,second,73,62,45
llama-3.1-8b-instruct,m113,third,45,38,26
llama-3.1-8b-instruct,sedan,first,0,0,15
llama-3.1-8b-instruct,sedan,second,70,47,47
llama-3.1-8b-instruct,sedan,third,42,65,42
llama-3.1-8b-instruct,viper,first,36,15,51
llama-3.1-8b-instruct,viper,second,85,100,77
llama-3.1-8b-instruct,viper,third,34,70,8
llama-3.1-8b-instruct,lidar,first,17,0,27
llama-3.1-8b-instruct,lidar,second,60,22,64
llama-3.1-8b-instruct,lidar,third,0,0,3
llama-3.1-8b-instruct,rigid_highway,first,13,62,0
llama-3.1-8b-instruct,rigid_highway,second,76,12,82
llama-3.1-8b-instruct,rigid_highway,third,78,40,79
llama-3.1-8b-instruct,pendulum,first,14,22,14
llama-3.1-8b-instruct,pendulum,second,57,40,65
llama-3.1-8b-instruct,pendulum,third,19,72,11
llama-3.1-8b-instruct,hmmwv,first,1,4,10
llama-3.1-8b-instruct,hmmwv,second,37,14,19
llama-3.1-8b-instruct,hmmwv,third,75,80,24
llama-3.1-8b-instruct,turtlebot,first,0,32,6
llama-3.1-8b-instruct,turtlebot,second,49,67,61
llama-3.1-8b-instruct,turtlebot,third,11,34,20
llama-3.1-8b-instruct,mass_spring_damper,first,39,17,0
llama-3.1-8b-instruct,mass_spring_damper,second,66,80,71
llama-3.1-8b-instruct,mass_spring_damper,third,30,52,54
llama-3.1-8b-instruct,tablecloth,first,7,14,18
llama-3.1-8b-instruct,tablecloth,second,28,73,34
llama-3.1-8b-instruct,tablecloth,third,1,13,63
llama-3.1-8b-instruct,kraz,first,24,16,0
llama-3.1-8b-instruct,kraz,second,73,28,29
llama-3.1-8b-instruct,kraz,third,80,32,34
llama-3.1-8b-instruct,camera,first,24,7,7
llama-3.1-8b-instruct,camera,second,0,89,53
llama-3.1-8b-instruct,camera,third,0,56,0
llama-3.1-8b-instruct,buckling,first,19,15,0
llama-3.1-8b-instruct,buckling,second,56,82,90
llama-3.1-8b-instruct,buckling,third,77,3,59
llama-3.1-8b-instruct,gator,first,10,16,50
llama-3.1-8b-instruct,gator,second,65,75,61
llama-3.1-8b-instruct,gator,third,75,40,65
llama-3.1-8b-instruct,slider_crank,first,0,10,0
llama-3.1-8b-instruct,slider_crank,second,43,17,28
llama-3.1-8b-instruct,slider_crank,third,17,81,65
llama-3.1-8b-instruct,feda,first,2,21,13
llama-3.1-8b-instruct,feda,second,35,0,42
llama-3.1-8b-instruct,feda,third,80,66,59
