Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama3.1-8b-f2,scm,first,52,62,12
llama3.1-8b-f2,scm,second,66,67,19
llama3.1-8b-f2,scm,third,61,63,47
llama3.1-8b-f2,citybus,first,55,82,19
llama3.1-8b-f2,citybus,second,57,10,12
llama3.1-8b-f2,citybus,third,73,75,91
llama3.1-8b-f2,gps_imu,first,0,56,42
llama3.1-8b-f2,gps_imu,second,65,64,65
llama3.1-8b-f2,gps_imu,third,65,98,78
llama3.1-8b-f2,rotor,first,31,32,6
llama3.1-8b-f2,rotor,second,56,80,93
llama3.1-8b-f2,rotor,third,40,65,73
llama3.1-8b-f2,rigid_multipatches,first,33,64,0
llama3.1-8b-f2,rigid_multipatches,second,71,27,44
llama3.1-8b-f2,rigid_multipatches,third,20,82,39
llama3.1-8b-f2,cable,first,30,33,0
llama3.1-8b-f2,cable,second,61,70,75
llama3.1-8b-f2,cable,third,36,73,83
llama3.1-8b-f2,sensros,first,56,34,14
llama3.1-8b-f2,sensros,second,31,71,63
llama3.1-8b-f2,sensros,third,60,82,47
llama3.1-8b-f2,scm_hill,first,52,60,28
llama3.1-8b-f2,scm_hill,second,43,60,20
llama3.1-8b-f2,scm_hill,third,9,58,72
llama3.1-8b-f2,veh_app,first,50,21,5
llama3.1-8b-f2,veh_app,second,40,53,32
llama3.1-8b-f2,veh_app,third,38,85,36
llama3.1-8b-f2,gear,first,33,32,20
llama3.1-8b-f2,gear,second,4,100,53
llama3.1-8b-f2,gear,third,36,26,90
llama3.1-8b-f2,art,first,60,60,0
llama3.1-8b-f2,art,second,65,99,68
llama3.1-8b-f2,art,third,78,80,72
llama3.1-8b-f2,man,first,25,66,35
llama3.1-8b-f2,man,second,73,37,69
llama3.1-8b-f2,man,third,15,52,59
llama3.1-8b-f2,curiosity,first,83,48,62
llama3.1-8b-f2,curiosity,second,15,68,50
llama3.1-8b-f2,curiosity,third,94,68,13
llama3.1-8b-f2,vehros,first,61,58,23
llama3.1-8b-f2,vehros,second,38,80,62
llama3.1-8b-f2,vehros,third,63,66,17
llama3.1-8b-f2,uazbus,first,17,31,59
llama3.1-8b-f2,uazbus,second,63,82,78
llama3.1-8b-f2,uazbus,third,75,66,59
llama3.1-8b-f2,handler,first,67,57,11
llama3.1-8b-f2,handler,second,76,40,29
llama3.1-8b-f2,handler,third,36,92,37
llama3.1-8b-f2,beam,first,69,51,32
llama3.1-8b-f2,beam,second,54,79,13
llama3.1-8b-f2,beam,third,14,40,92
llama3.1-8b-f2,particles,first,28,20,19
llama3.1-8b-f2,particles,second,9,47,60
llama3.1-8b-f2,particles,third,37,60,67
llama3.1-8b-f2,m113,first,24,48,18
llama3.1-8b-f2,m113,second,20,3,74
llama3.1-8b-f2,m113,third,73,73,83
llama3.1-8b-f2,sedan,first,25,76,23
llama3.1-8b-f2,sedan,second,60,72,49
llama3.1-8b-f2,sedan,third,73,51,28
llama3.1-8b-f2,viper,first,64,24,16
llama3.1-8b-f2,viper,second,35,30,68
llama3.1-8b-f2,viper,third,56,45,57
llama3.1-8b-f2,lidar,first,11,63,54
llama3.1-8b-f2,lidar,second,0,31,63
llama3.1-8b-f2,lidar,third,23,35,47
llama3.1-8b-f2,rigid_highway,first,71,60,59
llama3.1-8b-f2,rigid_highway,second,68,78,65
llama3.1-8b-f2,rigid_highway,third,60,35,42
llama3.1-8b-f2,pendulum,first,47,8,51
llama3.1-8b-f2,pendulum,second,70,53,31
llama3.1-8b-f2,pendulum,third,48,47,0
llama3.1-8b-f2,hmmwv,first,46,73,29
llama3.1-8b-f2,hmmwv,second,75,70,62
llama3.1-8b-f2,hmmwv,third,62,67,61
llama3.1-8b-f2,turtlebot,first,40,59,6
llama3.1-8b-f2,turtlebot,second,66,63,45
llama3.1-8b-f2,turtlebot,third,25,23,9
llama3.1-8b-f2,mass_spring_damper,first,62,32,16
llama3.1-8b-f2,mass_spring_damper,second,38,43,63
llama3.1-8b-f2,mass_spring_damper,third,63,82,63
llama3.1-8b-f2,tablecloth,first,60,33,17
llama3.1-8b-f2,tablecloth,second,35,66,56
llama3.1-8b-f2,tablecloth,third,25,53,52
llama3.1-8b-f2,kraz,first,55,40,54
llama3.1-8b-f2,kraz,second,62,82,62
llama3.1-8b-f2,kraz,third,80,66,12
llama3.1-8b-f2,camera,first,4,45,34
llama3.1-8b-f2,camera,second,59,95,60
llama3.1-8b-f2,camera,third,5,11,24
llama3.1-8b-f2,buckling,first,30,54,54
llama3.1-8b-f2,buckling,second,16,99,92
llama3.1-8b-f2,buckling,third,70,68,19
llama3.1-8b-f2,gator,first,75,87,54
llama3.1-8b-f2,gator,second,75,58,75
llama3.1-8b-f2,gator,third,85,82,0
llama3.1-8b-f2,slider_crank,first,17,6,26
llama3.1-8b-f2,slider_crank,second,68,83,73
llama3.1-8b-f2,slider_crank,third,54,29,60
llama3.1-8b-f2,feda,first,51,21,0
llama3.1-8b-f2,feda,second,55,74,30
llama3.1-8b-f2,feda,third,52,60,20
