Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama3.3-70b-lora1,scm,first,56,58,32
llama3.3-70b-lora1,scm,second,79,100,47
llama3.3-70b-lora1,scm,third,41,34,53
llama3.3-70b-lora1,citybus,first,38,17,38
llama3.3-70b-lora1,citybus,second,7,80,62
llama3.3-70b-lora1,citybus,third,69,63,63
llama3.3-70b-lora1,gps_imu,first,33,12,24
llama3.3-70b-lora1,gps_imu,second,34,27,58
llama3.3-70b-lora1,gps_imu,third,80,100,70
llama3.3-70b-lora1,rotor,first,95,33,52
llama3.3-70b-lora1,rotor,second,68,98,69
llama3.3-70b-lora1,rotor,third,63,84,70
llama3.3-70b-lora1,rigid_multipatches,first,15,64,42
llama3.3-70b-lora1,rigid_multipatches,second,30,82,58
llama3.3-70b-lora1,rigid_multipatches,third,44,67,75
llama3.3-70b-lora1,cable,first,13,53,45
llama3.3-70b-lora1,cable,second,72,92,95
llama3.3-70b-lora1,cable,third,12,82,76
llama3.3-70b-lora1,sensros,first,13,48,15
llama3.3-70b-lora1,sensros,second,43,68,50
llama3.3-70b-lora1,sensros,third,6,98,53
llama3.3-70b-lora1,scm_hill,first,14,54,38
llama3.3-70b-lora1,scm_hill,second,27,16,12
llama3.3-70b-lora1,scm_hill,third,23,40,15
llama3.3-70b-lora1,veh_app,first,33,25,4
llama3.3-70b-lora1,veh_app,second,78,8,17
llama3.3-70b-lora1,veh_app,third,0,67,42
llama3.3-70b-lora1,gear,first,62,42,15
llama3.3-70b-lora1,gear,second,68,100,27
llama3.3-70b-lora1,gear,third,23,7,10
llama3.3-70b-lora1,art,first,77,59,52
llama3.3-70b-lora1,art,second,40,75,27
llama3.3-70b-lora1,art,third,66,75,19
llama3.3-70b-lora1,man,first,22,48,34
llama3.3-70b-lora1,man,second,33,63,20
llama3.3-70b-lora1,man,third,72,51,55
llama3.3-70b-lora1,curiosity,first,58,66,8
llama3.3-70b-lora1,curiosity,second,75,83,67
llama3.3-70b-lora1,curiosity,third,37,67,72
llama3.3-70b-lora1,vehros,first,70,49,37
llama3.3-70b-lora1,vehros,second,80,89,56
llama3.3-70b-lora1,vehros,third,27,63,26
llama3.3-70b-lora1,uazbus,first,72,19,51
llama3.3-70b-lora1,uazbus,second,76,25,58
llama3.3-70b-lora1,uazbus,third,19,47,32
llama3.3-70b-lora1,handler,first,22,55,0
llama3.3-70b-lora1,handler,second,75,100,75
llama3.3-70b-lora1,handler,third,70,83,73
llama3.3-70b-lora1,beam,first,7,57,57
llama3.3-70b-lora1,beam,second,74,64,72
llama3.3-70b-lora1,beam,third,41,80,93
llama3.3-70b-lora1,extraction_message.txt,first,0,0,0
llama3.3-70b-lora1,extraction_message.txt,second,0,0,0
llama3.3-70b-lora1,extraction_message.txt,third,0,0,0
llama3.3-70b-lora1,particles,first,25,17,44
llama3.3-70b-lora1,particles,second,69,95,57
llama3.3-70b-lora1,particles,third,30,97,50
llama3.3-70b-lora1,m113,first,67,67,14
llama3.3-70b-lora1,m113,second,77,27,15
llama3.3-70b-lora1,m113,third,70,83,60
llama3.3-70b-lora1,sedan,first,5,56,29
llama3.3-70b-lora1,sedan,second,83,40,54
llama3.3-70b-lora1,sedan,third,89,70,34
llama3.3-70b-lora1,viper,first,49,41,7
llama3.3-70b-lora1,viper,second,78,38,87
llama3.3-70b-lora1,viper,third,22,19,52
llama3.3-70b-lora1,lidar,first,0,2,51
llama3.3-70b-lora1,lidar,second,4,12,47
llama3.3-70b-lora1,lidar,third,6,55,0
llama3.3-70b-lora1,rigid_highway,first,0,20,49
llama3.3-70b-lora1,rigid_highway,second,92,83,63
llama3.3-70b-lora1,rigid_highway,third,80,40,30
llama3.3-70b-lora1,pendulum,first,2,34,0
llama3.3-70b-lora1,pendulum,second,9,61,55
llama3.3-70b-lora1,pendulum,third,65,72,65
llama3.3-70b-lora1,hmmwv,first,33,58,60
llama3.3-70b-lora1,hmmwv,second,27,0,21
llama3.3-70b-lora1,hmmwv,third,71,83,30
llama3.3-70b-lora1,turtlebot,first,37,49,12
llama3.3-70b-lora1,turtlebot,second,70,24,30
llama3.3-70b-lora1,turtlebot,third,36,55,45
llama3.3-70b-lora1,mass_spring_damper,first,15,25,29
llama3.3-70b-lora1,mass_spring_damper,second,37,57,63
llama3.3-70b-lora1,mass_spring_damper,third,82,62,66
llama3.3-70b-lora1,tablecloth,first,55,35,13
llama3.3-70b-lora1,tablecloth,second,29,71,72
llama3.3-70b-lora1,tablecloth,third,15,41,20
llama3.3-70b-lora1,kraz,first,47,74,51
llama3.3-70b-lora1,kraz,second,58,77,37
llama3.3-70b-lora1,kraz,third,66,33,29
llama3.3-70b-lora1,camera,first,55,40,19
llama3.3-70b-lora1,camera,second,51,79,44
llama3.3-70b-lora1,camera,third,63,44,30
llama3.3-70b-lora1,buckling,first,28,10,4
llama3.3-70b-lora1,buckling,second,60,30,20
llama3.3-70b-lora1,buckling,third,75,39,7
llama3.3-70b-lora1,gator,first,12,71,52
llama3.3-70b-lora1,gator,second,15,78,24
llama3.3-70b-lora1,gator,third,76,25,20
llama3.3-70b-lora1,slider_crank,first,16,2,7
llama3.3-70b-lora1,slider_crank,second,68,80,75
llama3.3-70b-lora1,slider_crank,third,29,62,58
llama3.3-70b-lora1,feda,first,10,53,2
llama3.3-70b-lora1,feda,second,0,36,57
llama3.3-70b-lora1,feda,third,48,64,59
