Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama3.3-70b-sft1,scm,first,70,43,11
llama3.3-70b-sft1,scm,second,13,17,37
llama3.3-70b-sft1,scm,third,65,50,26
llama3.3-70b-sft1,citybus,first,0,63,49
llama3.3-70b-sft1,citybus,second,3,30,60
llama3.3-70b-sft1,citybus,third,94,9,100
llama3.3-70b-sft1,gps_imu,first,7,56,42
llama3.3-70b-sft1,gps_imu,second,46,60,65
llama3.3-70b-sft1,gps_imu,third,65,70,78
llama3.3-70b-sft1,rotor,first,21,31,29
llama3.3-70b-sft1,rotor,second,26,98,97
llama3.3-70b-sft1,rotor,third,18,85,63
llama3.3-70b-sft1,rigid_multipatches,first,56,67,19
llama3.3-70b-sft1,rigid_multipatches,second,61,68,65
llama3.3-70b-sft1,rigid_multipatches,third,51,92,59
llama3.3-70b-sft1,cable,first,40,52,9
llama3.3-70b-sft1,cable,second,0,37,62
llama3.3-70b-sft1,cable,third,55,79,32
llama3.3-70b-sft1,sensros,first,50,22,53
llama3.3-70b-sft1,sensros,second,53,61,65
llama3.3-70b-sft1,sensros,third,90,40,100
llama3.3-70b-sft1,scm_hill,first,62,71,16
llama3.3-70b-sft1,scm_hill,second,58,61,31
llama3.3-70b-sft1,scm_hill,third,73,82,62
llama3.3-70b-sft1,veh_app,first,43,16,2
llama3.3-70b-sft1,veh_app,second,68,56,17
llama3.3-70b-sft1,veh_app,third,77,99,50
llama3.3-70b-sft1,gear,first,67,72,19
llama3.3-70b-sft1,gear,second,9,30,57
llama3.3-70b-sft1,gear,third,65,76,77
llama3.3-70b-sft1,art,first,87,18,10
llama3.3-70b-sft1,art,second,87,100,73
llama3.3-70b-sft1,art,third,75,38,9
llama3.3-70b-sft1,man,first,53,7,78
llama3.3-70b-sft1,man,second,78,15,42
llama3.3-70b-sft1,man,third,52,55,10
llama3.3-70b-sft1,curiosity,first,77,78,65
llama3.3-70b-sft1,curiosity,second,59,35,83
llama3.3-70b-sft1,curiosity,third,4,45,58
llama3.3-70b-sft1,vehros,first,58,58,16
llama3.3-70b-sft1,vehros,second,4,66,54
llama3.3-70b-sft1,vehros,third,69,66,50
llama3.3-70b-sft1,uazbus,first,0,65,14
llama3.3-70b-sft1,uazbus,second,76,91,60
llama3.3-70b-sft1,uazbus,third,43,21,24
llama3.3-70b-sft1,handler,first,50,30,28
llama3.3-70b-sft1,handler,second,45,100,16
llama3.3-70b-sft1,handler,third,25,57,54
llama3.3-70b-sft1,beam,first,18,20,58
llama3.3-70b-sft1,beam,second,24,59,45
llama3.3-70b-sft1,beam,third,16,75,17
llama3.3-70b-sft1,particles,first,0,20,17
llama3.3-70b-sft1,particles,second,47,55,18
llama3.3-70b-sft1,particles,third,65,58,55
llama3.3-70b-sft1,m113,first,60,95,52
llama3.3-70b-sft1,m113,second,83,68,42
llama3.3-70b-sft1,m113,third,55,67,68
llama3.3-70b-sft1,sedan,first,50,77,59
llama3.3-70b-sft1,sedan,second,73,8,33
llama3.3-70b-sft1,sedan,third,72,21,21
llama3.3-70b-sft1,viper,first,5,81,53
llama3.3-70b-sft1,viper,second,30,96,72
llama3.3-70b-sft1,viper,third,81,7,32
llama3.3-70b-sft1,lidar,first,68,19,28
llama3.3-70b-sft1,lidar,second,30,77,66
llama3.3-70b-sft1,lidar,third,57,62,51
llama3.3-70b-sft1,rigid_highway,first,9,47,13
llama3.3-70b-sft1,rigid_highway,second,25,23,85
llama3.3-70b-sft1,rigid_highway,third,65,50,14
llama3.3-70b-sft1,pendulum,first,40,14,39
llama3.3-70b-sft1,pendulum,second,63,60,33
llama3.3-70b-sft1,pendulum,third,11,79,65
llama3.3-70b-sft1,hmmwv,first,40,77,25
llama3.3-70b-sft1,hmmwv,second,85,81,65
llama3.3-70b-sft1,hmmwv,third,61,35,92
llama3.3-70b-sft1,turtlebot,first,42,7,50
llama3.3-70b-sft1,turtlebot,second,46,68,64
llama3.3-70b-sft1,turtlebot,third,30,49,50
llama3.3-70b-sft1,mass_spring_damper,first,23,39,39
llama3.3-70b-sft1,mass_spring_damper,second,58,67,57
llama3.3-70b-sft1,mass_spring_damper,third,88,81,72
llama3.3-70b-sft1,tablecloth,first,19,0,44
llama3.3-70b-sft1,tablecloth,second,20,70,27
llama3.3-70b-sft1,tablecloth,third,13,65,59
llama3.3-70b-sft1,kraz,first,53,63,12
llama3.3-70b-sft1,kraz,second,78,22,62
llama3.3-70b-sft1,kraz,third,48,16,29
llama3.3-70b-sft1,camera,first,40,76,63
llama3.3-70b-sft1,camera,second,32,85,70
llama3.3-70b-sft1,camera,third,43,65,25
llama3.3-70b-sft1,buckling,first,26,67,17
llama3.3-70b-sft1,buckling,second,87,80,85
llama3.3-70b-sft1,buckling,third,64,43,60
llama3.3-70b-sft1,gator,first,63,46,16
llama3.3-70b-sft1,gator,second,95,67,42
llama3.3-70b-sft1,gator,third,45,97,66
llama3.3-70b-sft1,slider_crank,first,10,0,29
llama3.3-70b-sft1,slider_crank,second,60,31,70
llama3.3-70b-sft1,slider_crank,third,62,97,68
llama3.3-70b-sft1,feda,first,70,56,22
llama3.3-70b-sft1,feda,second,44,63,67
llama3.3-70b-sft1,feda,third,0,57,16
