Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_maverick,scm,first,75,60,12
llama4_maverick,scm,second,61,31,22
llama4_maverick,scm,third,69,80,12
llama4_maverick,citybus,first,67,57,59
llama4_maverick,citybus,second,33,68,97
llama4_maverick,citybus,third,76,84,67
llama4_maverick,gps_imu,first,0,17,17
llama4_maverick,gps_imu,second,78,50,55
llama4_maverick,gps_imu,third,91,100,55
llama4_maverick,rotor,first,54,21,78
llama4_maverick,rotor,second,6,38,55
llama4_maverick,rotor,third,60,98,75
llama4_maverick,rigid_multipatches,first,37,18,7
llama4_maverick,rigid_multipatches,second,42,68,64
llama4_maverick,rigid_multipatches,third,80,91,75
llama4_maverick,cable,first,5,19,59
llama4_maverick,cable,second,59,100,92
llama4_maverick,cable,third,12,62,72
llama4_maverick,sensros,first,39,72,2
llama4_maverick,sensros,second,84,68,20
llama4_maverick,sensros,third,75,29,37
llama4_maverick,scm_hill,first,68,35,59
llama4_maverick,scm_hill,second,66,72,24
llama4_maverick,scm_hill,third,43,50,62
llama4_maverick,veh_app,first,11,56,12
llama4_maverick,veh_app,second,38,40,11
llama4_maverick,veh_app,third,47,95,58
llama4_maverick,gear,first,46,27,35
llama4_maverick,gear,second,85,37,68
llama4_maverick,gear,third,83,69,52
llama4_maverick,art,first,0,32,20
llama4_maverick,art,second,85,77,70
llama4_maverick,art,third,81,77,55
llama4_maverick,man,first,33,40,57
llama4_maverick,man,second,70,68,45
llama4_maverick,man,third,61,83,53
llama4_maverick,curiosity,first,77,33,17
llama4_maverick,curiosity,second,60,83,67
llama4_maverick,curiosity,third,32,82,63
llama4_maverick,vehros,first,55,20,52
llama4_maverick,vehros,second,77,73,59
llama4_maverick,vehros,third,63,79,34
llama4_maverick,uazbus,first,36,38,51
llama4_maverick,uazbus,second,75,50,42
llama4_maverick,uazbus,third,33,47,64
llama4_maverick,handler,first,66,3,45
llama4_maverick,handler,second,55,75,22
llama4_maverick,handler,third,26,40,4
llama4_maverick,beam,first,60,60,34
llama4_maverick,beam,second,43,92,55
llama4_maverick,beam,third,62,97,33
llama4_maverick,particles,first,50,17,51
llama4_maverick,particles,second,27,82,76
llama4_maverick,particles,third,36,40,66
llama4_maverick,m113,first,13,70,0
llama4_maverick,m113,second,73,65,50
llama4_maverick,m113,third,63,73,38
llama4_maverick,sedan,first,8,50,50
llama4_maverick,sedan,second,31,76,53
llama4_maverick,sedan,third,29,22,52
llama4_maverick,viper,first,25,27,42
llama4_maverick,viper,second,19,100,75
llama4_maverick,viper,third,49,64,50
llama4_maverick,lidar,first,63,43,21
llama4_maverick,lidar,second,82,1,47
llama4_maverick,lidar,third,23,81,63
llama4_maverick,rigid_highway,first,35,60,25
llama4_maverick,rigid_highway,second,53,20,40
llama4_maverick,rigid_highway,third,71,35,58
llama4_maverick,pendulum,first,4,17,14
llama4_maverick,pendulum,second,78,52,56
llama4_maverick,pendulum,third,30,82,11
llama4_maverick,hmmwv,first,87,61,1
llama4_maverick,hmmwv,second,68,92,51
llama4_maverick,hmmwv,third,75,80,27
llama4_maverick,turtlebot,first,28,22,44
llama4_maverick,turtlebot,second,0,73,35
llama4_maverick,turtlebot,third,34,55,57
llama4_maverick,mass_spring_damper,first,76,32,40
llama4_maverick,mass_spring_damper,second,94,97,64
llama4_maverick,mass_spring_damper,third,54,33,42
llama4_maverick,tablecloth,first,39,58,59
llama4_maverick,tablecloth,second,17,73,7
llama4_maverick,tablecloth,third,4,73,27
llama4_maverick,kraz,first,57,6,10
llama4_maverick,kraz,second,92,22,55
llama4_maverick,kraz,third,71,59,27
llama4_maverick,camera,first,60,59,32
llama4_maverick,camera,second,32,55,59
llama4_maverick,camera,third,78,5,12
llama4_maverick,buckling,first,36,54,9
llama4_maverick,buckling,second,86,100,71
llama4_maverick,buckling,third,43,33,39
llama4_maverick,gator,first,37,61,2
llama4_maverick,gator,second,76,83,42
llama4_maverick,gator,third,80,83,81
llama4_maverick,slider_crank,first,48,58,17
llama4_maverick,slider_crank,second,34,98,85
llama4_maverick,slider_crank,third,7,63,30
llama4_maverick,feda,first,53,75,62
llama4_maverick,feda,second,88,83,15
llama4_maverick,feda,third,69,60,2
