Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama4_scout,scm,first,39,62,11
llama4_scout,scm,second,75,93,55
llama4_scout,scm,third,82,68,17
llama4_scout,citybus,first,79,42,9
llama4_scout,citybus,second,86,71,56
llama4_scout,citybus,third,13,81,56
llama4_scout,gps_imu,first,0,17,12
llama4_scout,gps_imu,second,83,36,72
llama4_scout,gps_imu,third,92,37,85
llama4_scout,rotor,first,51,60,24
llama4_scout,rotor,second,76,70,73
llama4_scout,rotor,third,48,71,43
llama4_scout,rigid_multipatches,first,0,23,0
llama4_scout,rigid_multipatches,second,93,66,60
llama4_scout,rigid_multipatches,third,92,78,47
llama4_scout,cable,first,69,62,42
llama4_scout,cable,second,40,100,10
llama4_scout,cable,third,9,76,9
llama4_scout,sensros,first,38,57,52
llama4_scout,sensros,second,40,68,87
llama4_scout,sensros,third,3,59,65
llama4_scout,scm_hill,first,0,9,24
llama4_scout,scm_hill,second,26,65,19
llama4_scout,scm_hill,third,79,28,40
llama4_scout,veh_app,first,18,59,12
llama4_scout,veh_app,second,44,59,69
llama4_scout,veh_app,third,58,57,65
llama4_scout,gear,first,7,15,0
llama4_scout,gear,second,76,100,42
llama4_scout,gear,third,4,76,90
llama4_scout,art,first,8,19,7
llama4_scout,art,second,81,99,83
llama4_scout,art,third,64,98,92
llama4_scout,man,first,26,34,47
llama4_scout,man,second,74,78,56
llama4_scout,man,third,59,46,22
llama4_scout,curiosity,first,22,30,6
llama4_scout,curiosity,second,100,70,65
llama4_scout,curiosity,third,31,76,50
llama4_scout,vehros,first,19,65,17
llama4_scout,vehros,second,85,73,32
llama4_scout,vehros,third,76,45,44
llama4_scout,uazbus,first,15,60,7
llama4_scout,uazbus,second,79,62,32
llama4_scout,uazbus,third,78,60,32
llama4_scout,handler,first,75,64,52
llama4_scout,handler,second,77,40,75
llama4_scout,handler,third,86,19,59
llama4_scout,beam,first,60,37,59
llama4_scout,beam,second,9,87,50
llama4_scout,beam,third,77,83,46
llama4_scout,particles,first,0,16,19
llama4_scout,particles,second,72,60,59
llama4_scout,particles,third,73,23,29
llama4_scout,m113,first,25,1,19
llama4_scout,m113,second,75,47,88
llama4_scout,m113,third,0,45,58
llama4_scout,sedan,first,21,65,54
llama4_scout,sedan,second,40,32,60
llama4_scout,sedan,third,68,44,57
llama4_scout,viper,first,62,47,11
llama4_scout,viper,second,0,100,22
llama4_scout,viper,third,83,53,32
llama4_scout,lidar,first,24,81,39
llama4_scout,lidar,second,70,82,42
llama4_scout,lidar,third,58,33,0
llama4_scout,rigid_highway,first,24,11,57
llama4_scout,rigid_highway,second,63,37,54
llama4_scout,rigid_highway,third,20,95,72
llama4_scout,pendulum,first,15,42,53
llama4_scout,pendulum,second,73,21,57
llama4_scout,pendulum,third,64,64,59
llama4_scout,hmmwv,first,33,32,36
llama4_scout,hmmwv,second,78,54,67
llama4_scout,hmmwv,third,1,98,24
llama4_scout,turtlebot,first,17,20,0
llama4_scout,turtlebot,second,92,75,52
llama4_scout,turtlebot,third,100,45,63
llama4_scout,mass_spring_damper,first,4,69,0
llama4_scout,mass_spring_damper,second,0,82,78
llama4_scout,mass_spring_damper,third,79,25,70
llama4_scout,tablecloth,first,85,63,51
llama4_scout,tablecloth,second,27,65,53
llama4_scout,tablecloth,third,0,76,59
llama4_scout,kraz,first,12,19,48
llama4_scout,kraz,second,78,67,17
llama4_scout,kraz,third,49,60,62
llama4_scout,camera,first,33,66,19
llama4_scout,camera,second,54,97,57
llama4_scout,camera,third,13,83,75
llama4_scout,buckling,first,1,60,51
llama4_scout,buckling,second,85,100,60
llama4_scout,buckling,third,35,73,32
llama4_scout,gator,first,32,30,33
llama4_scout,gator,second,87,75,43
llama4_scout,gator,third,70,35,62
llama4_scout,slider_crank,first,10,64,0
llama4_scout,slider_crank,second,11,22,58
llama4_scout,slider_crank,third,15,39,55
llama4_scout,feda,first,33,43,27
llama4_scout,feda,second,66,72,27
llama4_scout,feda,third,73,43,77
