Test Model,System,Round,Score Document,Score Reference,Score Reference Document
nemotron-4-340b-instruct,scm,first,27,17,20
nemotron-4-340b-instruct,scm,second,75,81,20
nemotron-4-340b-instruct,scm,third,40,55,7
nemotron-4-340b-instruct,citybus,first,53,22,7
nemotron-4-340b-instruct,citybus,second,76,75,87
nemotron-4-340b-instruct,citybus,third,73,53,84
nemotron-4-340b-instruct,gps_imu,first,1,0,19
nemotron-4-340b-instruct,gps_imu,second,76,100,79
nemotron-4-340b-instruct,gps_imu,third,40,55,40
nemotron-4-340b-instruct,rotor,first,17,59,53
nemotron-4-340b-instruct,rotor,second,67,100,16
nemotron-4-340b-instruct,rotor,third,20,67,88
nemotron-4-340b-instruct,rigid_multipatches,first,0,35,33
nemotron-4-340b-instruct,rigid_multipatches,second,43,66,56
nemotron-4-340b-instruct,rigid_multipatches,third,79,92,55
nemotron-4-340b-instruct,cable,first,47,24,0
nemotron-4-340b-instruct,cable,second,92,7,100
nemotron-4-340b-instruct,cable,third,15,87,65
nemotron-4-340b-instruct,sensros,first,16,52,11
nemotron-4-340b-instruct,sensros,second,42,65,5
nemotron-4-340b-instruct,sensros,third,37,40,43
nemotron-4-340b-instruct,scm_hill,first,17,0,10
nemotron-4-340b-instruct,scm_hill,second,74,73,45
nemotron-4-340b-instruct,scm_hill,third,30,73,33
nemotron-4-340b-instruct,veh_app,first,25,4,19
nemotron-4-340b-instruct,veh_app,second,56,51,54
nemotron-4-340b-instruct,veh_app,third,49,0,23
nemotron-4-340b-instruct,gear,first,7,57,11
nemotron-4-340b-instruct,gear,second,59,22,33
nemotron-4-340b-instruct,gear,third,0,42,50
nemotron-4-340b-instruct,art,first,14,17,0
nemotron-4-340b-instruct,art,second,35,98,8
nemotron-4-340b-instruct,art,third,78,39,54
nemotron-4-340b-instruct,man,first,0,9,13
nemotron-4-340b-instruct,man,second,70,0,0
nemotron-4-340b-instruct,man,third,56,93,12
nemotron-4-340b-instruct,curiosity,first,2,47,11
nemotron-4-340b-instruct,curiosity,second,67,92,73
nemotron-4-340b-instruct,curiosity,third,78,68,58
nemotron-4-340b-instruct,vehros,first,6,57,6
nemotron-4-340b-instruct,vehros,second,42,79,44
nemotron-4-340b-instruct,vehros,third,42,77,23
nemotron-4-340b-instruct,uazbus,first,12,27,45
nemotron-4-340b-instruct,uazbus,second,79,87,13
nemotron-4-340b-instruct,uazbus,third,66,80,75
nemotron-4-340b-instruct,handler,first,31,17,17
nemotron-4-340b-instruct,handler,second,67,100,18
nemotron-4-340b-instruct,handler,third,26,57,64
nemotron-4-340b-instruct,beam,first,5,62,15
nemotron-4-340b-instruct,beam,second,0,72,8
nemotron-4-340b-instruct,beam,third,61,100,80
nemotron-4-340b-instruct,particles,first,9,57,12
nemotron-4-340b-instruct,particles,second,33,38,31
nemotron-4-340b-instruct,particles,third,73,75,58
nemotron-4-340b-instruct,m113,first,50,0,25
nemotron-4-340b-instruct,m113,second,41,88,25
nemotron-4-340b-instruct,m113,third,37,65,29
nemotron-4-340b-instruct,sedan,first,29,22,7
nemotron-4-340b-instruct,sedan,second,69,62,32
nemotron-4-340b-instruct,sedan,third,75,43,52
nemotron-4-340b-instruct,viper,first,47,0,0
nemotron-4-340b-instruct,viper,second,30,100,84
nemotron-4-340b-instruct,viper,third,15,77,82
nemotron-4-340b-instruct,lidar,first,57,12,19
nemotron-4-340b-instruct,lidar,second,56,82,37
nemotron-4-340b-instruct,lidar,third,30,48,38
nemotron-4-340b-instruct,rigid_highway,first,15,0,15
nemotron-4-340b-instruct,rigid_highway,second,55,77,77
nemotron-4-340b-instruct,rigid_highway,third,70,96,68
nemotron-4-340b-instruct,pendulum,first,32,0,19
nemotron-4-340b-instruct,pendulum,second,72,38,52
nemotron-4-340b-instruct,pendulum,third,48,79,77
nemotron-4-340b-instruct,hmmwv,first,47,12,0
nemotron-4-340b-instruct,hmmwv,second,48,48,64
nemotron-4-340b-instruct,hmmwv,third,72,100,19
nemotron-4-340b-instruct,turtlebot,first,67,75,6
nemotron-4-340b-instruct,turtlebot,second,9,15,36
nemotron-4-340b-instruct,turtlebot,third,36,48,22
nemotron-4-340b-instruct,mass_spring_damper,first,29,23,9
nemotron-4-340b-instruct,mass_spring_damper,second,40,85,57
nemotron-4-340b-instruct,mass_spring_damper,third,40,55,65
nemotron-4-340b-instruct,tablecloth,first,11,19,0
nemotron-4-340b-instruct,tablecloth,second,17,55,59
nemotron-4-340b-instruct,tablecloth,third,15,15,60
nemotron-4-340b-instruct,kraz,first,13,0,4
nemotron-4-340b-instruct,kraz,second,27,28,47
nemotron-4-340b-instruct,kraz,third,40,72,17
nemotron-4-340b-instruct,camera,first,4,14,16
nemotron-4-340b-instruct,camera,second,4,60,59
nemotron-4-340b-instruct,camera,third,34,75,57
nemotron-4-340b-instruct,buckling,first,22,55,21
nemotron-4-340b-instruct,buckling,second,0,34,39
nemotron-4-340b-instruct,buckling,third,0,71,39
nemotron-4-340b-instruct,gator,first,22,13,39
nemotron-4-340b-instruct,gator,second,69,25,67
nemotron-4-340b-instruct,gator,third,69,93,31
nemotron-4-340b-instruct,slider_crank,first,70,3,24
nemotron-4-340b-instruct,slider_crank,second,41,77,98
nemotron-4-340b-instruct,slider_crank,third,100,67,67
nemotron-4-340b-instruct,feda,first,23,0,0
nemotron-4-340b-instruct,feda,second,77,68,85
nemotron-4-340b-instruct,feda,third,39,75,24
