Test Model,System,Round,Score Document,Score Reference,Score Reference Document
phi-3-medium-128k-instruct,scm,first,8,10,3
phi-3-medium-128k-instruct,scm,second,0,0,8
phi-3-medium-128k-instruct,scm,third,5,52,0
phi-3-medium-128k-instruct,citybus,first,16,58,0
phi-3-medium-128k-instruct,citybus,second,70,92,40
phi-3-medium-128k-instruct,citybus,third,60,45,20
phi-3-medium-128k-instruct,gps_imu,first,52,8,47
phi-3-medium-128k-instruct,gps_imu,second,0,0,0
phi-3-medium-128k-instruct,gps_imu,third,0,0,0
phi-3-medium-128k-instruct,rotor,first,0,27,10
phi-3-medium-128k-instruct,rotor,second,0,10,0
phi-3-medium-128k-instruct,rotor,third,0,3,5
phi-3-medium-128k-instruct,rigid_multipatches,first,21,6,4
phi-3-medium-128k-instruct,rigid_multipatches,second,0,0,0
phi-3-medium-128k-instruct,rigid_multipatches,third,40,67,0
phi-3-medium-128k-instruct,cable,first,53,14,27
phi-3-medium-128k-instruct,cable,second,19,75,86
phi-3-medium-128k-instruct,cable,third,0,0,0
phi-3-medium-128k-instruct,sensros,first,15,27,27
phi-3-medium-128k-instruct,sensros,second,10,45,10
phi-3-medium-128k-instruct,sensros,third,0,45,0
phi-3-medium-128k-instruct,scm_hill,first,3,0,1
phi-3-medium-128k-instruct,scm_hill,second,0,4,8
phi-3-medium-128k-instruct,scm_hill,third,10,22,2
phi-3-medium-128k-instruct,veh_app,first,9,26,51
phi-3-medium-128k-instruct,veh_app,second,19,0,7
phi-3-medium-128k-instruct,veh_app,third,0,0,0
phi-3-medium-128k-instruct,gear,first,0,35,0
phi-3-medium-128k-instruct,gear,second,0,22,47
phi-3-medium-128k-instruct,gear,third,0,0,0
phi-3-medium-128k-instruct,art,first,0,53,0
phi-3-medium-128k-instruct,art,second,63,35,42
phi-3-medium-128k-instruct,art,third,38,99,48
phi-3-medium-128k-instruct,man,first,0,38,37
phi-3-medium-128k-instruct,man,second,64,73,60
phi-3-medium-128k-instruct,man,third,46,68,27
phi-3-medium-128k-instruct,curiosity,first,0,29,3
phi-3-medium-128k-instruct,curiosity,second,63,75,52
phi-3-medium-128k-instruct,curiosity,third,71,67,60
phi-3-medium-128k-instruct,vehros,first,8,26,49
phi-3-medium-128k-instruct,vehros,second,0,18,0
phi-3-medium-128k-instruct,vehros,third,0,37,2
phi-3-medium-128k-instruct,uazbus,first,25,20,4
phi-3-medium-128k-instruct,uazbus,second,9,80,8
phi-3-medium-128k-instruct,uazbus,third,4,32,9
phi-3-medium-128k-instruct,handler,first,20,25,5
phi-3-medium-128k-instruct,handler,second,17,40,52
phi-3-medium-128k-instruct,handler,third,45,42,56
phi-3-medium-128k-instruct,beam,first,41,33,31
phi-3-medium-128k-instruct,beam,second,0,0,0
phi-3-medium-128k-instruct,beam,third,0,0,0
phi-3-medium-128k-instruct,particles,first,60,30,57
phi-3-medium-128k-instruct,particles,second,29,75,51
phi-3-medium-128k-instruct,particles,third,82,85,51
phi-3-medium-128k-instruct,m113,first,19,0,9
phi-3-medium-128k-instruct,m113,second,41,27,49
phi-3-medium-128k-instruct,m113,third,0,0,0
phi-3-medium-128k-instruct,sedan,first,0,58,10
phi-3-medium-128k-instruct,sedan,second,0,0,3
phi-3-medium-128k-instruct,sedan,third,0,0,0
phi-3-medium-128k-instruct,viper,first,25,7,0
phi-3-medium-128k-instruct,viper,second,0,0,0
phi-3-medium-128k-instruct,viper,third,83,20,57
phi-3-medium-128k-instruct,lidar,first,12,49,47
phi-3-medium-128k-instruct,lidar,second,0,0,0
phi-3-medium-128k-instruct,lidar,third,0,0,0
phi-3-medium-128k-instruct,rigid_highway,first,12,16,2
phi-3-medium-128k-instruct,rigid_highway,second,0,0,0
phi-3-medium-128k-instruct,rigid_highway,third,44,80,88
phi-3-medium-128k-instruct,pendulum,first,0,32,14
phi-3-medium-128k-instruct,pendulum,second,40,12,59
phi-3-medium-128k-instruct,pendulum,third,35,57,30
phi-3-medium-128k-instruct,hmmwv,first,31,51,0
phi-3-medium-128k-instruct,hmmwv,second,89,62,49
phi-3-medium-128k-instruct,hmmwv,third,62,84,73
phi-3-medium-128k-instruct,turtlebot,first,37,0,0
phi-3-medium-128k-instruct,turtlebot,second,33,63,49
phi-3-medium-128k-instruct,turtlebot,third,22,52,0
phi-3-medium-128k-instruct,mass_spring_damper,first,0,0,3
phi-3-medium-128k-instruct,mass_spring_damper,second,35,58,53
phi-3-medium-128k-instruct,mass_spring_damper,third,82,63,53
phi-3-medium-128k-instruct,tablecloth,first,18,15,48
phi-3-medium-128k-instruct,tablecloth,second,50,45,25
phi-3-medium-128k-instruct,tablecloth,third,15,14,0
phi-3-medium-128k-instruct,kraz,first,14,17,0
phi-3-medium-128k-instruct,kraz,second,73,10,32
phi-3-medium-128k-instruct,kraz,third,0,0,0
phi-3-medium-128k-instruct,camera,first,10,10,0
phi-3-medium-128k-instruct,camera,second,0,0,0
phi-3-medium-128k-instruct,camera,third,0,0,0
phi-3-medium-128k-instruct,buckling,first,15,0,24
phi-3-medium-128k-instruct,buckling,second,0,0,0
phi-3-medium-128k-instruct,buckling,third,37,62,52
phi-3-medium-128k-instruct,gator,first,9,26,49
phi-3-medium-128k-instruct,gator,second,0,0,0
phi-3-medium-128k-instruct,gator,third,78,50,52
phi-3-medium-128k-instruct,slider_crank,first,2,56,11
phi-3-medium-128k-instruct,slider_crank,second,30,15,0
phi-3-medium-128k-instruct,slider_crank,third,25,43,0
phi-3-medium-128k-instruct,feda,first,11,51,8
phi-3-medium-128k-instruct,feda,second,37,63,62
phi-3-medium-128k-instruct,feda,third,69,72,60
