Test Model,System,Round,Score Document,Score Reference,Score Reference Document
qwen3-235b-a22b,scm,first,86,17,11
qwen3-235b-a22b,scm,second,86,82,59
qwen3-235b-a22b,scm,third,65,30,59
qwen3-235b-a22b,citybus,first,89,64,31
qwen3-235b-a22b,citybus,second,63,90,52
qwen3-235b-a22b,citybus,third,60,97,51
qwen3-235b-a22b,gps_imu,first,73,21,20
qwen3-235b-a22b,gps_imu,second,37,43,65
qwen3-235b-a22b,gps_imu,third,41,85,83
qwen3-235b-a22b,rotor,first,78,82,32
qwen3-235b-a22b,rotor,second,62,4,70
qwen3-235b-a22b,rotor,third,60,43,59
qwen3-235b-a22b,rigid_multipatches,first,10,57,0
qwen3-235b-a22b,rigid_multipatches,second,74,46,27
qwen3-235b-a22b,rigid_multipatches,third,70,70,36
qwen3-235b-a22b,cable,first,20,49,51
qwen3-235b-a22b,cable,second,88,70,70
qwen3-235b-a22b,cable,third,95,70,53
qwen3-235b-a22b,sensros,first,50,42,11
qwen3-235b-a22b,sensros,second,24,67,34
qwen3-235b-a22b,sensros,third,25,75,22
qwen3-235b-a22b,scm_hill,first,0,22,29
qwen3-235b-a22b,scm_hill,second,63,20,40
qwen3-235b-a22b,scm_hill,third,77,70,70
qwen3-235b-a22b,veh_app,first,68,13,22
qwen3-235b-a22b,veh_app,second,70,51,53
qwen3-235b-a22b,veh_app,third,48,96,65
qwen3-235b-a22b,gear,first,2,64,0
qwen3-235b-a22b,gear,second,9,38,62
qwen3-235b-a22b,gear,third,38,76,62
qwen3-235b-a22b,art,first,75,54,20
qwen3-235b-a22b,art,second,73,32,54
qwen3-235b-a22b,art,third,20,96,13
qwen3-235b-a22b,man,first,38,41,49
qwen3-235b-a22b,man,second,92,95,76
qwen3-235b-a22b,man,third,78,82,37
qwen3-235b-a22b,curiosity,first,25,55,17
qwen3-235b-a22b,curiosity,second,61,67,85
qwen3-235b-a22b,curiosity,third,30,78,63
qwen3-235b-a22b,vehros,first,32,10,20
qwen3-235b-a22b,vehros,second,11,81,7
qwen3-235b-a22b,vehros,third,40,29,82
qwen3-235b-a22b,uazbus,first,69,66,19
qwen3-235b-a22b,uazbus,second,47,73,75
qwen3-235b-a22b,uazbus,third,46,95,35
qwen3-235b-a22b,handler,first,75,62,37
qwen3-235b-a22b,handler,second,5,100,60
qwen3-235b-a22b,handler,third,65,54,18
qwen3-235b-a22b,beam,first,41,87,0
qwen3-235b-a22b,beam,second,78,83,47
qwen3-235b-a22b,beam,third,88,90,92
qwen3-235b-a22b,particles,first,72,32,46
qwen3-235b-a22b,particles,second,94,80,55
qwen3-235b-a22b,particles,third,85,82,68
qwen3-235b-a22b,m113,first,28,37,27
qwen3-235b-a22b,m113,second,73,65,61
qwen3-235b-a22b,m113,third,77,35,48
qwen3-235b-a22b,sedan,first,55,23,16
qwen3-235b-a22b,sedan,second,43,38,64
qwen3-235b-a22b,sedan,third,80,64,46
qwen3-235b-a22b,viper,first,38,55,20
qwen3-235b-a22b,viper,second,55,64,54
qwen3-235b-a22b,viper,third,50,67,67
qwen3-235b-a22b,lidar,first,80,45,44
qwen3-235b-a22b,lidar,second,45,32,60
qwen3-235b-a22b,lidar,third,6,21,22
qwen3-235b-a22b,rigid_highway,first,35,40,17
qwen3-235b-a22b,rigid_highway,second,64,27,46
qwen3-235b-a22b,rigid_highway,third,63,100,59
qwen3-235b-a22b,pendulum,first,25,60,33
qwen3-235b-a22b,pendulum,second,100,40,63
qwen3-235b-a22b,pendulum,third,60,85,64
qwen3-235b-a22b,hmmwv,first,0,38,22
qwen3-235b-a22b,hmmwv,second,32,81,25
qwen3-235b-a22b,hmmwv,third,65,99,25
qwen3-235b-a22b,turtlebot,first,17,41,28
qwen3-235b-a22b,turtlebot,second,94,78,56
qwen3-235b-a22b,turtlebot,third,35,69,70
qwen3-235b-a22b,mass_spring_damper,first,58,68,24
qwen3-235b-a22b,mass_spring_damper,second,19,76,78
qwen3-235b-a22b,mass_spring_damper,third,78,73,64
qwen3-235b-a22b,tablecloth,first,52,24,51
qwen3-235b-a22b,tablecloth,second,16,60,26
qwen3-235b-a22b,tablecloth,third,34,10,59
qwen3-235b-a22b,kraz,first,65,17,15
qwen3-235b-a22b,kraz,second,78,27,85
qwen3-235b-a22b,kraz,third,33,69,33
qwen3-235b-a22b,camera,first,71,50,38
qwen3-235b-a22b,camera,second,57,70,60
qwen3-235b-a22b,camera,third,10,63,56
qwen3-235b-a22b,buckling,first,35,57,3
qwen3-235b-a22b,buckling,second,48,0,80
qwen3-235b-a22b,buckling,third,40,34,3
qwen3-235b-a22b,gator,first,71,65,21
qwen3-235b-a22b,gator,second,53,67,64
qwen3-235b-a22b,gator,third,72,23,60
qwen3-235b-a22b,slider_crank,first,70,65,17
qwen3-235b-a22b,slider_crank,second,47,95,62
qwen3-235b-a22b,slider_crank,third,9,40,55
qwen3-235b-a22b,feda,first,30,37,14
qwen3-235b-a22b,feda,second,80,83,55
qwen3-235b-a22b,feda,third,69,87,59
