Rank, model                      , ConsensusScore, Score Document, Score Reference, Score Reference Document, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, llama3.3-70b-sft1          ,          56.86,          35.63,           36.67,                    43.47,     0.69,              0.61,                       0.64,               0.90,                 0.59,   0.82,   0.74,   0.75,      0.82
   2, deepseek-r1                ,          55.41,          52.92,           32.77,                    40.77,     0.61,              0.50,                       0.51,               0.85,                 0.54,   0.77,   0.65,   0.68,      0.77
   3, qwen3-235b-a22b            ,          55.07,          51.81,           33.76,                    40.99,     0.61,              0.51,                       0.53,               0.85,                 0.55,   0.75,   0.64,   0.67,      0.75
   4, llama3.1-8b-f2             ,          54.88,          36.11,           33.87,                    40.62,     0.67,              0.59,                       0.62,               0.89,                 0.57,   0.80,   0.72,   0.72,      0.80
   5, gemma-3-27b-it             ,          54.21,          43.82,           34.58,                    40.05,     0.62,              0.53,                       0.55,               0.86,                 0.54,   0.77,   0.66,   0.68,      0.77
   6, llama4_maverick            ,          53.78,          43.29,           33.93,                    40.97,     0.60,              0.51,                       0.56,               0.85,                 0.47,   0.77,   0.66,   0.68,      0.76
   7, mistral-large-latest       ,          53.30,          45.18,           35.30,                    38.26,     0.60,              0.50,                       0.52,               0.84,                 0.53,   0.74,   0.63,   0.67,      0.74
   8, llama-3.3-70b-instruct     ,          53.02,          42.20,           35.70,                    40.44,     0.60,              0.52,                       0.54,               0.84,                 0.50,   0.74,   0.62,   0.66,      0.73
   9, llama-3.1-405b-instruct    ,          52.49,          38.21,           36.58,                    40.57,     0.62,              0.53,                       0.55,               0.83,                 0.56,   0.72,   0.62,   0.66,      0.72
  10, llama4-109b-lora1          ,          52.37,          38.01,           33.32,                    39.99,     0.62,              0.53,                       0.55,               0.85,                 0.53,   0.75,   0.65,   0.66,      0.75
  11, llama3.3-70b-lora1         ,          52.30,          30.55,           33.87,                    39.52,     0.64,              0.55,                       0.60,               0.88,                 0.52,   0.77,   0.68,   0.69,      0.77
  12, llama4_scout               ,          51.85,          40.35,           33.81,                    39.58,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.72,   0.61,   0.64,      0.72
  13, codestral-22b-instruct-v0.1,          51.29,          37.90,           34.64,                    39.87,     0.61,              0.52,                       0.54,               0.84,                 0.53,   0.70,   0.61,   0.65,      0.70
  14, llama3.1-8b-lora1          ,          51.27,          31.12,           31.64,                    36.99,     0.64,              0.54,                       0.58,               0.87,                 0.54,   0.76,   0.68,   0.68,      0.76
  15, llama-3.1-70b-instruct     ,          51.13,          42.07,           34.77,                    40.46,     0.54,              0.51,                       0.53,               0.67,                 0.33,   0.71,   0.61,   0.64,      0.71
  16, gemma-2-27b-it             ,          50.71,          39.50,           33.37,                    37.45,     0.59,              0.50,                       0.52,               0.83,                 0.50,   0.71,   0.61,   0.64,      0.71
  17, nemotron-4-340b-instruct   ,          50.49,          37.45,           31.91,                    37.31,     0.60,              0.49,                       0.53,               0.84,                 0.52,   0.72,   0.61,   0.64,      0.72
  18, mixtral-8x22b-instruct-v0.1,          50.12,          37.15,           36.49,                    38.98,     0.59,              0.52,                       0.54,               0.80,                 0.49,   0.67,   0.60,   0.62,      0.67
  19, deepseek-r1-32b            ,          49.47,          36.61,           31.51,                    38.21,     0.59,              0.49,                       0.51,               0.83,                 0.51,   0.70,   0.58,   0.62,      0.70
  20, gemma-2-9b-it              ,          47.52,          30.39,           30.64,                    34.96,     0.58,              0.49,                       0.51,               0.82,                 0.47,   0.69,   0.59,   0.63,      0.69
  21, llama-3.1-8b-instruct      ,          47.09,          30.57,           32.02,                    37.24,     0.57,              0.49,                       0.52,               0.76,                 0.46,   0.66,   0.57,   0.60,      0.66
  22, mistral-nemo-12b-instruct  ,          46.85,          34.79,           31.43,                    36.41,     0.55,              0.44,                       0.47,               0.79,                 0.46,   0.65,   0.55,   0.58,      0.65
  23, deepseek-r1-8b             ,          45.47,          29.25,           28.29,                    34.56,     0.57,              0.47,                       0.49,               0.79,                 0.49,   0.65,   0.56,   0.59,      0.65
  24, mixtral-8x7b-instruct-v0.1 ,          45.19,          31.34,           32.51,                    36.71,     0.51,              0.42,                       0.46,               0.73,                 0.42,   0.63,   0.54,   0.57,      0.62
  25, gemma-2-2b-it              ,          44.01,          27.27,           28.16,                    30.69,     0.54,              0.46,                       0.48,               0.79,                 0.43,   0.64,   0.56,   0.60,      0.64
  26, gemma-3-1b-it              ,          43.19,          28.61,           24.55,                    27.43,     0.54,              0.46,                       0.49,               0.78,                 0.39,   0.64,   0.56,   0.60,      0.64
  27, mamba-codestral-7b-v0.1    ,          40.87,          29.25,           29.06,                    30.73,     0.47,              0.39,                       0.41,               0.72,                 0.36,   0.57,   0.49,   0.52,      0.57
  28, phi-3-mini-128k-instruct   ,          40.00,          24.48,           25.08,                    26.63,     0.51,              0.39,                       0.45,               0.77,                 0.41,   0.59,   0.51,   0.54,      0.59
  29, phi-3-medium-128k-instruct ,          28.97,          21.04,           19.81,                    21.75,     0.37,              0.24,                       0.26,               0.55,                 0.26,   0.39,   0.31,   0.35,      0.39
