Test Model,System,Round,Score Document,Score Reference,Score Reference Document
llama3.3-70b-lora1,scm,first,12,0,30
llama3.3-70b-lora1,scm,second,12,62,64
llama3.3-70b-lora1,scm,third,12,39,25
llama3.3-70b-lora1,citybus,first,7,0,15
llama3.3-70b-lora1,citybus,second,49,67,74
llama3.3-70b-lora1,citybus,third,12,85,87
llama3.3-70b-lora1,gps_imu,first,12,22,32
llama3.3-70b-lora1,gps_imu,second,14,14,74
llama3.3-70b-lora1,gps_imu,third,12,86,72
llama3.3-70b-lora1,rotor,first,29,10,25
llama3.3-70b-lora1,rotor,second,62,74,70
llama3.3-70b-lora1,rotor,third,88,69,59
llama3.3-70b-lora1,rigid_multipatches,first,2,12,12
llama3.3-70b-lora1,rigid_multipatches,second,12,0,39
llama3.3-70b-lora1,rigid_multipatches,third,14,64,77
llama3.3-70b-lora1,cable,first,12,2,27
llama3.3-70b-lora1,cable,second,27,78,77
llama3.3-70b-lora1,cable,third,83,12,32
llama3.3-70b-lora1,sensros,first,20,22,17
llama3.3-70b-lora1,sensros,second,27,42,57
llama3.3-70b-lora1,sensros,third,53,64,65
llama3.3-70b-lora1,scm_hill,first,7,0,12
llama3.3-70b-lora1,scm_hill,second,27,12,29
llama3.3-70b-lora1,scm_hill,third,15,30,27
llama3.3-70b-lora1,veh_app,first,17,20,32
llama3.3-70b-lora1,veh_app,second,0,30,32
llama3.3-70b-lora1,veh_app,third,30,57,42
llama3.3-70b-lora1,gear,first,88,25,22
llama3.3-70b-lora1,gear,second,27,83,67
llama3.3-70b-lora1,gear,third,2,27,30
llama3.3-70b-lora1,art,first,17,44,37
llama3.3-70b-lora1,art,second,12,65,52
llama3.3-70b-lora1,art,third,64,72,67
llama3.3-70b-lora1,man,first,32,27,29
llama3.3-70b-lora1,man,second,12,12,32
llama3.3-70b-lora1,man,third,12,15,37
llama3.3-70b-lora1,curiosity,first,0,22,29
llama3.3-70b-lora1,curiosity,second,44,44,32
llama3.3-70b-lora1,curiosity,third,50,27,32
llama3.3-70b-lora1,vehros,first,22,35,32
llama3.3-70b-lora1,vehros,second,93,20,40
llama3.3-70b-lora1,vehros,third,74,14,27
llama3.3-70b-lora1,uazbus,first,12,2,15
llama3.3-70b-lora1,uazbus,second,37,44,52
llama3.3-70b-lora1,uazbus,third,12,37,57
llama3.3-70b-lora1,handler,first,47,20,30
llama3.3-70b-lora1,handler,second,42,65,75
llama3.3-70b-lora1,handler,third,60,52,32
llama3.3-70b-lora1,beam,first,12,15,15
llama3.3-70b-lora1,beam,second,74,60,63
llama3.3-70b-lora1,beam,third,76,73,77
llama3.3-70b-lora1,particles,first,35,25,30
llama3.3-70b-lora1,particles,second,0,73,80
llama3.3-70b-lora1,particles,third,64,80,62
llama3.3-70b-lora1,m113,first,0,25,10
llama3.3-70b-lora1,m113,second,27,12,27
llama3.3-70b-lora1,m113,third,14,29,32
llama3.3-70b-lora1,sedan,first,12,25,15
llama3.3-70b-lora1,sedan,second,78,32,42
llama3.3-70b-lora1,sedan,third,84,25,35
llama3.3-70b-lora1,viper,first,22,27,17
llama3.3-70b-lora1,viper,second,65,84,74
llama3.3-70b-lora1,viper,third,27,15,27
llama3.3-70b-lora1,lidar,first,7,0,0
llama3.3-70b-lora1,lidar,second,0,27,15
llama3.3-70b-lora1,lidar,third,2,7,27
llama3.3-70b-lora1,rigid_highway,first,12,0,27
llama3.3-70b-lora1,rigid_highway,second,49,64,67
llama3.3-70b-lora1,rigid_highway,third,17,85,72
llama3.3-70b-lora1,pendulum,first,0,0,17
llama3.3-70b-lora1,pendulum,second,64,35,52
llama3.3-70b-lora1,pendulum,third,72,70,62
llama3.3-70b-lora1,hmmwv,first,39,0,27
llama3.3-70b-lora1,hmmwv,second,19,20,25
llama3.3-70b-lora1,hmmwv,third,27,57,52
llama3.3-70b-lora1,turtlebot,first,72,17,9
llama3.3-70b-lora1,turtlebot,second,24,17,12
llama3.3-70b-lora1,turtlebot,third,12,7,17
llama3.3-70b-lora1,mass_spring_damper,first,0,14,32
llama3.3-70b-lora1,mass_spring_damper,second,57,52,52
llama3.3-70b-lora1,mass_spring_damper,third,27,70,62
llama3.3-70b-lora1,tablecloth,first,12,20,20
llama3.3-70b-lora1,tablecloth,second,12,47,64
llama3.3-70b-lora1,tablecloth,third,32,9,29
llama3.3-70b-lora1,kraz,first,0,22,12
llama3.3-70b-lora1,kraz,second,0,27,47
llama3.3-70b-lora1,kraz,third,88,0,24
llama3.3-70b-lora1,camera,first,12,12,35
llama3.3-70b-lora1,camera,second,88,65,52
llama3.3-70b-lora1,camera,third,40,47,25
llama3.3-70b-lora1,buckling,first,12,0,27
llama3.3-70b-lora1,buckling,second,40,17,17
llama3.3-70b-lora1,buckling,third,32,14,47
llama3.3-70b-lora1,gator,first,7,2,30
llama3.3-70b-lora1,gator,second,12,14,32
llama3.3-70b-lora1,gator,third,31,67,75
llama3.3-70b-lora1,slider_crank,first,7,22,32
llama3.3-70b-lora1,slider_crank,second,52,54,54
llama3.3-70b-lora1,slider_crank,third,59,72,67
llama3.3-70b-lora1,feda,first,20,20,20
llama3.3-70b-lora1,feda,second,22,25,34
llama3.3-70b-lora1,feda,third,22,32,25
deepseek-r1-32b,scm,first,20,2,25
deepseek-r1-32b,scm,second,67,27,66
deepseek-r1-32b,scm,third,12,30,25
deepseek-r1-32b,citybus,first,22,0,25
deepseek-r1-32b,citybus,second,57,82,74
deepseek-r1-32b,citybus,third,47,85,70
deepseek-r1-32b,gps_imu,first,22,0,0
deepseek-r1-32b,gps_imu,second,12,12,47
deepseek-r1-32b,gps_imu,third,57,69,72
deepseek-r1-32b,rotor,first,22,25,25
deepseek-r1-32b,rotor,second,47,85,63
deepseek-r1-32b,rotor,third,54,37,59
deepseek-r1-32b,rigid_multipatches,first,25,0,20
deepseek-r1-32b,rigid_multipatches,second,54,27,17
deepseek-r1-32b,rigid_multipatches,third,7,72,67
deepseek-r1-32b,cable,first,22,27,28
deepseek-r1-32b,cable,second,77,77,82
deepseek-r1-32b,cable,third,83,12,24
deepseek-r1-32b,sensros,first,12,0,12
deepseek-r1-32b,sensros,second,2,29,4
deepseek-r1-32b,sensros,third,12,70,70
deepseek-r1-32b,scm_hill,first,22,17,7
deepseek-r1-32b,scm_hill,second,29,32,32
deepseek-r1-32b,scm_hill,third,34,29,24
deepseek-r1-32b,veh_app,first,12,0,27
deepseek-r1-32b,veh_app,second,12,15,17
deepseek-r1-32b,veh_app,third,12,15,37
deepseek-r1-32b,gear,first,2,25,30
deepseek-r1-32b,gear,second,37,63,72
deepseek-r1-32b,gear,third,55,49,64
deepseek-r1-32b,art,first,0,0,9
deepseek-r1-32b,art,second,29,90,90
deepseek-r1-32b,art,third,64,90,90
deepseek-r1-32b,man,first,0,0,17
deepseek-r1-32b,man,second,60,44,44
deepseek-r1-32b,man,third,0,29,37
deepseek-r1-32b,curiosity,first,0,10,15
deepseek-r1-32b,curiosity,second,85,39,72
deepseek-r1-32b,curiosity,third,52,34,35
deepseek-r1-32b,vehros,first,12,0,10
deepseek-r1-32b,vehros,second,47,35,49
deepseek-r1-32b,vehros,third,50,12,32
deepseek-r1-32b,uazbus,first,22,15,2
deepseek-r1-32b,uazbus,second,12,35,33
deepseek-r1-32b,uazbus,third,20,30,27
deepseek-r1-32b,handler,first,35,0,20
deepseek-r1-32b,handler,second,55,75,70
deepseek-r1-32b,handler,third,69,37,12
deepseek-r1-32b,beam,first,52,0,25
deepseek-r1-32b,beam,second,39,72,67
deepseek-r1-32b,beam,third,35,25,32
deepseek-r1-32b,particles,first,88,15,7
deepseek-r1-32b,particles,second,27,68,65
deepseek-r1-32b,particles,third,67,48,58
deepseek-r1-32b,m113,first,2,0,10
deepseek-r1-32b,m113,second,15,34,34
deepseek-r1-32b,m113,third,14,32,39
deepseek-r1-32b,sedan,first,25,0,27
deepseek-r1-32b,sedan,second,39,32,47
deepseek-r1-32b,sedan,third,88,0,27
deepseek-r1-32b,viper,first,42,25,20
deepseek-r1-32b,viper,second,84,57,59
deepseek-r1-32b,viper,third,64,29,29
deepseek-r1-32b,lidar,first,42,0,30
deepseek-r1-32b,lidar,second,0,25,30
deepseek-r1-32b,lidar,third,12,0,27
deepseek-r1-32b,rigid_highway,first,27,0,37
deepseek-r1-32b,rigid_highway,second,19,77,69
deepseek-r1-32b,rigid_highway,third,87,83,82
deepseek-r1-32b,pendulum,first,91,15,20
deepseek-r1-32b,pendulum,second,42,40,35
deepseek-r1-32b,pendulum,third,64,19,58
deepseek-r1-32b,hmmwv,first,20,20,10
deepseek-r1-32b,hmmwv,second,52,0,35
deepseek-r1-32b,hmmwv,third,47,10,10
deepseek-r1-32b,turtlebot,first,17,10,25
deepseek-r1-32b,turtlebot,second,84,61,77
deepseek-r1-32b,turtlebot,third,35,20,30
deepseek-r1-32b,mass_spring_damper,first,67,27,25
deepseek-r1-32b,mass_spring_damper,second,39,50,35
deepseek-r1-32b,mass_spring_damper,third,86,34,20
deepseek-r1-32b,tablecloth,first,4,7,27
deepseek-r1-32b,tablecloth,second,12,61,50
deepseek-r1-32b,tablecloth,third,59,42,42
deepseek-r1-32b,kraz,first,0,0,27
deepseek-r1-32b,kraz,second,15,52,57
deepseek-r1-32b,kraz,third,54,20,12
deepseek-r1-32b,camera,first,0,0,15
deepseek-r1-32b,camera,second,49,77,60
deepseek-r1-32b,camera,third,30,12,25
deepseek-r1-32b,buckling,first,12,20,30
deepseek-r1-32b,buckling,second,59,77,74
deepseek-r1-32b,buckling,third,39,10,37
deepseek-r1-32b,gator,first,22,15,10
deepseek-r1-32b,gator,second,27,37,30
deepseek-r1-32b,gator,third,14,77,73
deepseek-r1-32b,slider_crank,first,54,25,32
deepseek-r1-32b,slider_crank,second,74,52,75
deepseek-r1-32b,slider_crank,third,64,62,67
deepseek-r1-32b,feda,first,5,0,20
deepseek-r1-32b,feda,second,52,27,44
deepseek-r1-32b,feda,third,17,25,40
llama3.1-8b-f2,scm,first,15,0,4
llama3.1-8b-f2,scm,second,37,39,47
llama3.1-8b-f2,scm,third,27,12,20
llama3.1-8b-f2,citybus,first,27,30,39
llama3.1-8b-f2,citybus,second,47,64,62
llama3.1-8b-f2,citybus,third,19,75,73
llama3.1-8b-f2,gps_imu,first,12,0,10
llama3.1-8b-f2,gps_imu,second,17,64,42
llama3.1-8b-f2,gps_imu,third,72,72,86
llama3.1-8b-f2,rotor,first,12,10,32
llama3.1-8b-f2,rotor,second,80,59,42
llama3.1-8b-f2,rotor,third,65,29,42
llama3.1-8b-f2,rigid_multipatches,first,47,70,25
llama3.1-8b-f2,rigid_multipatches,second,29,37,64
llama3.1-8b-f2,rigid_multipatches,third,26,77,62
llama3.1-8b-f2,cable,first,27,12,15
llama3.1-8b-f2,cable,second,69,53,83
llama3.1-8b-f2,cable,third,47,12,20
llama3.1-8b-f2,sensros,first,2,25,27
llama3.1-8b-f2,sensros,second,12,58,54
llama3.1-8b-f2,sensros,third,2,60,68
llama3.1-8b-f2,scm_hill,first,37,35,25
llama3.1-8b-f2,scm_hill,second,14,30,32
llama3.1-8b-f2,scm_hill,third,77,39,49
llama3.1-8b-f2,veh_app,first,19,0,50
llama3.1-8b-f2,veh_app,second,78,0,30
llama3.1-8b-f2,veh_app,third,68,57,52
llama3.1-8b-f2,gear,first,0,7,22
llama3.1-8b-f2,gear,second,62,0,80
llama3.1-8b-f2,gear,third,39,47,52
llama3.1-8b-f2,art,first,12,14,32
llama3.1-8b-f2,art,second,47,90,90
llama3.1-8b-f2,art,third,42,38,90
llama3.1-8b-f2,man,first,42,10,25
llama3.1-8b-f2,man,second,12,57,57
llama3.1-8b-f2,man,third,45,25,22
llama3.1-8b-f2,curiosity,first,39,27,0
llama3.1-8b-f2,curiosity,second,65,59,47
llama3.1-8b-f2,curiosity,third,49,29,37
llama3.1-8b-f2,vehros,first,39,0,12
llama3.1-8b-f2,vehros,second,49,42,15
llama3.1-8b-f2,vehros,third,60,42,30
llama3.1-8b-f2,uazbus,first,88,37,29
llama3.1-8b-f2,uazbus,second,52,47,42
llama3.1-8b-f2,uazbus,third,44,39,62
llama3.1-8b-f2,handler,first,52,22,32
llama3.1-8b-f2,handler,second,60,85,86
llama3.1-8b-f2,handler,third,92,35,40
llama3.1-8b-f2,beam,first,12,0,59
llama3.1-8b-f2,beam,second,70,53,57
llama3.1-8b-f2,beam,third,12,73,73
llama3.1-8b-f2,particles,first,20,25,25
llama3.1-8b-f2,particles,second,32,47,60
llama3.1-8b-f2,particles,third,44,42,37
llama3.1-8b-f2,m113,first,9,12,29
llama3.1-8b-f2,m113,second,32,37,57
llama3.1-8b-f2,m113,third,12,47,52
llama3.1-8b-f2,sedan,first,44,0,32
llama3.1-8b-f2,sedan,second,7,22,29
llama3.1-8b-f2,sedan,third,22,0,27
llama3.1-8b-f2,viper,first,27,14,17
llama3.1-8b-f2,viper,second,32,67,74
llama3.1-8b-f2,viper,third,84,37,29
llama3.1-8b-f2,lidar,first,12,0,27
llama3.1-8b-f2,lidar,second,12,12,17
llama3.1-8b-f2,lidar,third,47,10,12
llama3.1-8b-f2,rigid_highway,first,74,25,35
llama3.1-8b-f2,rigid_highway,second,12,62,52
llama3.1-8b-f2,rigid_highway,third,12,75,67
llama3.1-8b-f2,pendulum,first,7,9,22
llama3.1-8b-f2,pendulum,second,37,58,72
llama3.1-8b-f2,pendulum,third,30,20,20
llama3.1-8b-f2,hmmwv,first,17,0,17
llama3.1-8b-f2,hmmwv,second,20,27,22
llama3.1-8b-f2,hmmwv,third,37,32,44
llama3.1-8b-f2,turtlebot,first,42,37,27
llama3.1-8b-f2,turtlebot,second,47,37,67
llama3.1-8b-f2,turtlebot,third,32,14,12
llama3.1-8b-f2,mass_spring_damper,first,22,12,37
llama3.1-8b-f2,mass_spring_damper,second,22,57,24
llama3.1-8b-f2,mass_spring_damper,third,15,28,45
llama3.1-8b-f2,tablecloth,first,12,37,32
llama3.1-8b-f2,tablecloth,second,59,31,36
llama3.1-8b-f2,tablecloth,third,80,57,39
llama3.1-8b-f2,kraz,first,29,0,35
llama3.1-8b-f2,kraz,second,0,59,59
llama3.1-8b-f2,kraz,third,42,20,25
llama3.1-8b-f2,camera,first,25,0,35
llama3.1-8b-f2,camera,second,54,67,47
llama3.1-8b-f2,camera,third,12,10,27
llama3.1-8b-f2,buckling,first,12,7,9
llama3.1-8b-f2,buckling,second,87,64,69
llama3.1-8b-f2,buckling,third,52,32,22
llama3.1-8b-f2,gator,first,37,27,15
llama3.1-8b-f2,gator,second,12,0,54
llama3.1-8b-f2,gator,third,54,75,85
llama3.1-8b-f2,slider_crank,first,17,22,14
llama3.1-8b-f2,slider_crank,second,62,62,42
llama3.1-8b-f2,slider_crank,third,54,67,59
llama3.1-8b-f2,feda,first,29,12,37
llama3.1-8b-f2,feda,second,12,17,32
llama3.1-8b-f2,feda,third,12,27,37
phi-3-mini-128k-instruct,scm,first,7,0,10
phi-3-mini-128k-instruct,scm,second,2,26,12
phi-3-mini-128k-instruct,scm,third,12,7,37
phi-3-mini-128k-instruct,citybus,first,29,0,25
phi-3-mini-128k-instruct,citybus,second,57,39,54
phi-3-mini-128k-instruct,citybus,third,27,65,65
phi-3-mini-128k-instruct,gps_imu,first,0,10,0
phi-3-mini-128k-instruct,gps_imu,second,22,25,32
phi-3-mini-128k-instruct,gps_imu,third,22,17,54
phi-3-mini-128k-instruct,rotor,first,15,12,17
phi-3-mini-128k-instruct,rotor,second,30,35,50
phi-3-mini-128k-instruct,rotor,third,25,7,12
phi-3-mini-128k-instruct,rigid_multipatches,first,14,0,5
phi-3-mini-128k-instruct,rigid_multipatches,second,16,34,32
phi-3-mini-128k-instruct,rigid_multipatches,third,0,82,54
phi-3-mini-128k-instruct,cable,first,15,15,22
phi-3-mini-128k-instruct,cable,second,72,62,72
phi-3-mini-128k-instruct,cable,third,52,2,20
phi-3-mini-128k-instruct,sensros,first,15,0,10
phi-3-mini-128k-instruct,sensros,second,7,22,30
phi-3-mini-128k-instruct,sensros,third,2,14,10
phi-3-mini-128k-instruct,scm_hill,first,0,0,2
phi-3-mini-128k-instruct,scm_hill,second,12,7,22
phi-3-mini-128k-instruct,scm_hill,third,12,36,27
phi-3-mini-128k-instruct,veh_app,first,0,0,7
phi-3-mini-128k-instruct,veh_app,second,0,20,12
phi-3-mini-128k-instruct,veh_app,third,25,39,0
phi-3-mini-128k-instruct,gear,first,10,7,20
phi-3-mini-128k-instruct,gear,second,12,17,5
phi-3-mini-128k-instruct,gear,third,17,22,0
phi-3-mini-128k-instruct,art,first,14,0,7
phi-3-mini-128k-instruct,art,second,37,90,88
phi-3-mini-128k-instruct,art,third,37,90,90
phi-3-mini-128k-instruct,man,first,10,25,15
phi-3-mini-128k-instruct,man,second,14,42,52
phi-3-mini-128k-instruct,man,third,47,25,30
phi-3-mini-128k-instruct,curiosity,first,0,10,10
phi-3-mini-128k-instruct,curiosity,second,19,52,53
phi-3-mini-128k-instruct,curiosity,third,47,27,22
phi-3-mini-128k-instruct,vehros,first,25,5,10
phi-3-mini-128k-instruct,vehros,second,69,20,20
phi-3-mini-128k-instruct,vehros,third,2,2,22
