Model,System,Round,Avg Score Document,Avg Score Reference,Avg Score Ref+Doc,Num Judges
mistral-medium-3-instruct,gator,first,39.67,12.0,34.67,3
mistral-medium-3-instruct,gator,second,43.67,54.67,62.0,3
mistral-medium-3-instruct,gator,third,58.0,79.67,57.33,3
mistral-medium-3-instruct,gear,first,12.33,27.0,23.67,3
mistral-medium-3-instruct,gear,second,60.67,88.67,76.33,3
mistral-medium-3-instruct,gear,third,42.67,47.0,46.33,3
mistral-medium-3-instruct,feda,first,29.33,31.0,9.0,3
mistral-medium-3-instruct,feda,second,36.0,70.67,67.0,3
mistral-medium-3-instruct,feda,third,44.0,49.33,44.67,3
mistral-medium-3-instruct,man,first,29.0,33.33,28.67,3
mistral-medium-3-instruct,man,second,40.67,53.0,37.33,3
mistral-medium-3-instruct,man,third,50.33,29.33,42.33,3
mistral-medium-3-instruct,art,first,13.67,14.0,10.33,3
mistral-medium-3-instruct,art,second,33.67,89.0,74.67,3
mistral-medium-3-instruct,art,third,57.0,70.67,80.67,3
mistral-medium-3-instruct,vehros,first,20.33,29.67,9.67,3
mistral-medium-3-instruct,vehros,second,75.67,45.0,57.0,3
mistral-medium-3-instruct,vehros,third,50.0,35.67,36.33,3
mistral-medium-3-instruct,pendulum,first,52.67,29.0,41.0,3
mistral-medium-3-instruct,pendulum,second,63.33,38.67,37.67,3
mistral-medium-3-instruct,pendulum,third,47.67,37.67,46.0,3
mistral-medium-3-instruct,rigid_highway,first,39.5,27.67,20.67,2
mistral-medium-3-instruct,rigid_highway,second,26.0,77.33,63.33,2
mistral-medium-3-instruct,rigid_highway,third,38.67,87.0,72.0,3
mistral-medium-3-instruct,curiosity,first,33.33,23.33,36.0,3
mistral-medium-3-instruct,curiosity,second,59.0,73.33,52.67,3
mistral-medium-3-instruct,curiosity,third,46.0,49.0,36.33,3
mistral-medium-3-instruct,gps_imu,first,13.0,16.0,28.33,3
mistral-medium-3-instruct,gps_imu,second,43.0,45.0,64.67,3
mistral-medium-3-instruct,gps_imu,third,66.0,77.0,80.67,3
mistral-medium-3-instruct,mass_spring_damper,first,43.67,44.67,32.33,3
mistral-medium-3-instruct,mass_spring_damper,second,29.33,59.67,49.67,3
mistral-medium-3-instruct,mass_spring_damper,third,63.0,42.33,46.33,3
mistral-medium-3-instruct,uazbus,first,41.33,17.67,26.33,3
mistral-medium-3-instruct,uazbus,second,69.5,54.67,62.33,2
mistral-medium-3-instruct,uazbus,third,42.0,68.33,63.33,3
mistral-medium-3-instruct,scm,first,32.33,8.67,19.0,3
mistral-medium-3-instruct,scm,second,75.0,80.33,67.33,3
mistral-medium-3-instruct,scm,third,38.0,48.67,35.0,3
mistral-medium-3-instruct,veh_app,first,40.0,11.0,16.67,3
mistral-medium-3-instruct,veh_app,second,20.33,36.0,47.67,3
mistral-medium-3-instruct,veh_app,third,59.33,65.0,65.67,3
mistral-medium-3-instruct,sedan,first,22.67,25.33,25.33,3
mistral-medium-3-instruct,sedan,second,45.0,55.0,56.67,3
mistral-medium-3-instruct,sedan,third,54.67,34.67,31.33,3
mistral-medium-3-instruct,citybus,first,34.0,13.33,11.0,3
mistral-medium-3-instruct,citybus,second,54.33,70.0,63.67,3
mistral-medium-3-instruct,citybus,third,39.67,69.67,78.33,3
mistral-medium-3-instruct,beam,first,38.67,11.0,23.33,3
mistral-medium-3-instruct,beam,second,43.67,31.33,33.67,3
mistral-medium-3-instruct,beam,third,49.33,81.0,51.33,3
mistral-medium-3-instruct,sensros,first,40.67,27.33,23.0,3
mistral-medium-3-instruct,sensros,second,32.0,63.0,54.0,3
mistral-medium-3-instruct,sensros,third,39.0,55.0,77.33,3
mistral-medium-3-instruct,camera,first,59.0,37.67,23.33,3
mistral-medium-3-instruct,camera,second,30.0,52.0,69.0,3
mistral-medium-3-instruct,camera,third,54.0,53.67,59.33,3
mistral-medium-3-instruct,particles,first,50.67,30.67,17.0,3
mistral-medium-3-instruct,particles,second,51.33,72.0,79.33,3
mistral-medium-3-instruct,particles,third,64.0,84.33,68.67,3
mistral-medium-3-instruct,kraz,first,43.5,54.0,19.0,2
mistral-medium-3-instruct,kraz,second,60.33,75.33,62.33,3
mistral-medium-3-instruct,kraz,third,78.33,34.33,21.33,3
mistral-medium-3-instruct,m113,first,33.67,19.33,25.67,3
mistral-medium-3-instruct,m113,second,59.0,40.33,60.67,3
mistral-medium-3-instruct,m113,third,45.33,40.33,53.67,3
mistral-medium-3-instruct,tablecloth,first,48.33,23.67,28.67,3
mistral-medium-3-instruct,tablecloth,second,49.33,64.33,77.0,3
mistral-medium-3-instruct,tablecloth,third,48.67,31.0,58.67,3
mistral-medium-3-instruct,rotor,first,38.67,25.0,8.0,3
mistral-medium-3-instruct,rotor,second,38.33,83.67,70.0,3
mistral-medium-3-instruct,rotor,third,32.0,68.67,61.33,3
mistral-medium-3-instruct,scm_hill,first,33.33,23.0,25.33,3
mistral-medium-3-instruct,scm_hill,second,23.67,46.0,26.0,3
mistral-medium-3-instruct,scm_hill,third,71.33,61.0,66.67,3
mistral-medium-3-instruct,viper,first,17.67,35.0,29.33,3
mistral-medium-3-instruct,viper,second,64.0,92.0,77.67,3
mistral-medium-3-instruct,viper,third,65.33,53.67,42.33,3
mistral-medium-3-instruct,buckling,first,23.67,22.33,25.0,3
mistral-medium-3-instruct,buckling,second,68.67,85.0,80.67,3
mistral-medium-3-instruct,buckling,third,53.33,37.0,36.67,3
mistral-medium-3-instruct,slider_crank,first,34.67,34.0,35.33,3
