rank,model,consensus_score,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum
1,qwen3-235b-a22b,100.0,49.2,44.77,42.81,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
2,deepseek-r1,98.65,49.33,43.96,40.92,0.6,0.49,0.51,0.85,0.53,0.77,0.65,0.68,0.77
3,llama4_maverick,97.26,45.99,43.89,41.55,0.6,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
4,llama-3.1-405b-instruct,94.7,40.09,45.45,41.93,0.62,0.53,0.55,0.84,0.55,0.73,0.63,0.66,0.73
5,codestral-22b-instruct-v0.1,94.38,42.21,44.37,41.62,0.61,0.52,0.54,0.84,0.53,0.7,0.61,0.65,0.7
6,llama4_scout,93.21,40.69,42.88,41.85,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
7,gemma-3-27b-it,93.08,40.96,42.53,40.84,0.61,0.5,0.52,0.85,0.53,0.74,0.62,0.66,0.74
8,llama-3.3-70b-instruct,92.83,40.6,41.97,41.48,0.6,0.52,0.54,0.84,0.5,0.74,0.62,0.66,0.73
9,mixtral-8x22b-instruct-v0.1,91.39,38.48,42.06,41.73,0.61,0.52,0.54,0.84,0.52,0.7,0.61,0.64,0.7
10,gemma-2-27b-it,91.21,41.67,41.33,39.54,0.59,0.5,0.52,0.83,0.5,0.71,0.61,0.64,0.71
11,llama-3.1-70b-instruct,90.04,39.63,41.67,40.32,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
12,deepseek-r1-32b,86.97,37.19,41.58,37.72,0.58,0.47,0.51,0.82,0.52,0.68,0.56,0.6,0.68
13,llama-3.1-8b-instruct,84.39,35.64,39.17,37.14,0.58,0.51,0.52,0.76,0.46,0.66,0.58,0.61,0.66
14,mistral-nemo-12b-instruct,83.74,36.08,38.66,37.6,0.55,0.44,0.47,0.79,0.45,0.65,0.55,0.58,0.65
15,mixtral-8x7b-instruct-v0.1,79.95,33.04,38.2,35.09,0.52,0.43,0.47,0.74,0.42,0.64,0.55,0.58,0.64
16,deepseek-r1-8b,79.35,30.7,37.77,35.23,0.56,0.46,0.49,0.79,0.49,0.65,0.55,0.58,0.64
17,gemma-3-1b-it,75.31,32.29,34.55,29.37,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.6,0.64
18,gemma-2-2b-it,74.84,29.82,33.72,31.88,0.54,0.46,0.48,0.78,0.43,0.64,0.56,0.6,0.64
19,mamba-codestral-7b-v0.1,72.84,31.38,34.02,32.09,0.47,0.39,0.42,0.72,0.36,0.57,0.49,0.52,0.57
20,phi-3-mini-128k-instruct,69.9,28.91,32.32,29.1,0.5,0.39,0.45,0.76,0.4,0.58,0.5,0.53,0.58
21,gemma-2-9b-it,61.49,27.56,26.45,27.9,0.47,0.32,0.33,0.53,0.31,0.45,0.38,0.41,0.45
22,phi-3-medium-128k-instruct,50.59,22.42,22.72,21.1,0.38,0.25,0.27,0.55,0.26,0.4,0.32,0.35,0.4
23,mistral-medium-3-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,mistral-small-3.1-24b-instruct-2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,phi-4-mini-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,qwen3-7b-instuct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,qwq-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
