rank, model                              , consensus_score, score_document, score_reference, score_ref_doc, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
   1, deepseek-r1                        ,          100.0 ,          50.85,           46.19,         44.73,     0.62,              0.52,                       0.54,               0.86,                 0.54,   0.78,   0.67,   0.69,      0.78
   2, qwen3-235b-a22b                    ,           98.56,          50.0 ,           45.6 ,         45.27,     0.61,              0.51,                       0.53,               0.84,                 0.54,   0.75,   0.64,   0.68,      0.75
   3, mistral-medium-3-instruct          ,           96.05,          43.49,           47.35,         45.27,     0.62,              0.52,                       0.54,               0.86,                 0.56,   0.76,   0.64,   0.67,      0.76
   4, llama-3.1-405b-instruct            ,           89.89,          39.95,           45.22,         42.42,     0.62,              0.53,                       0.55,               0.84,                 0.55,   0.72,   0.62,   0.66,      0.72
   5, llama4_maverick                    ,           89.73,          44.43,           42.0 ,         40.8 ,     0.59,              0.5 ,                       0.54,               0.85,                 0.46,   0.76,   0.65,   0.67,      0.76
   6, llama-3.3-70b-instruct             ,           88.69,          41.32,           42.81,         42.33,     0.6 ,              0.51,                       0.53,               0.84,                 0.51,   0.73,   0.62,   0.65,      0.73
   7, mistral-small-3.1-24b-instruct-2503,           87.97,          40.86,           43.36,         40.71,     0.61,              0.51,                       0.53,               0.84,                 0.53,   0.73,   0.62,   0.65,      0.73
   8, llama-3.1-70b-instruct             ,           87.56,          39.02,           43.11,         41.98,     0.6 ,              0.52,                       0.54,               0.84,                 0.51,   0.73,   0.62,   0.66,      0.73
   9, codestral-22b-instruct-v0.1        ,           87.14,          41.11,           42.88,         42.14,     0.59,              0.48,                       0.54,               0.83,                 0.5 ,   0.69,   0.59,   0.62,      0.69
  10, mixtral-8x22b-instruct-v0.1        ,           86.3 ,          38.61,           42.14,         41.59,     0.62,              0.53,                       0.55,               0.84,                 0.54,   0.71,   0.62,   0.65,      0.71
  11, gemma-3-27b-it                     ,           85.33,          38.46,           41.92,         40.18,     0.6 ,              0.5 ,                       0.53,               0.85,                 0.52,   0.74,   0.62,   0.66,      0.74
  12, qwq-32b                            ,           84.56,          47.71,           39.59,         37.26,     0.55,              0.41,                       0.45,               0.84,                 0.5 ,   0.69,   0.56,   0.61,      0.69
  13, gemma-2-27b-it                     ,           84.32,          38.98,           41.32,         39.96,     0.6 ,              0.5 ,                       0.52,               0.84,                 0.51,   0.72,   0.61,   0.64,      0.72
  14, llama4_scout                       ,           83.75,          37.08,           42.08,         40.48,     0.59,              0.5 ,                       0.52,               0.84,                 0.51,   0.71,   0.61,   0.64,      0.71
  15, deepseek-r1-32b                    ,           83.59,          36.79,           42.79,         40.05,     0.6 ,              0.5 ,                       0.52,               0.83,                 0.52,   0.7 ,   0.59,   0.63,      0.7
  16, llama-3.1-8b-instruct              ,           80.48,          35.6 ,           40.68,         38.85,     0.6 ,              0.51,                       0.53,               0.82,                 0.52,   0.69,   0.59,   0.62,      0.69
  17, mixtral-8x7b-instruct-v0.1         ,           79.29,          36.34,           40.65,         38.44,     0.56,              0.49,                       0.51,               0.77,                 0.46,   0.67,   0.57,   0.61,      0.67
  18, mistral-nemo-12b-instruct          ,           79.0 ,          35.67,           40.74,         37.96,     0.56,              0.47,                       0.49,               0.81,                 0.47,   0.68,   0.57,   0.61,      0.68
  19, gemma-2-9b-it                      ,           74.72,          34.54,           36.78,         36.07,     0.57,              0.49,                       0.51,               0.81,                 0.46,   0.68,   0.58,   0.62,      0.68
  20, qwen3-7b-instuct                   ,           74.61,          34.48,           36.49,         36.91,     0.56,              0.46,                       0.48,               0.82,                 0.48,   0.67,   0.57,   0.61,      0.67
  21, deepseek-r1-8b                     ,           70.72,          30.05,           35.12,         35.72,     0.58,              0.48,                       0.5 ,               0.82,                 0.48,   0.67,   0.57,   0.61,      0.67
  22, mamba-codestral-7b-v0.1            ,           70.35,          35.56,           36.18,         33.33,     0.52,              0.44,                       0.46,               0.79,                 0.38,   0.63,   0.55,   0.57,      0.63
  23, gemma-2-2b-it                      ,           69.28,          30.84,           34.84,         34.24,     0.55,              0.47,                       0.49,               0.79,                 0.43,   0.66,   0.57,   0.61,      0.66
  24, gemma-3-1b-it                      ,           66.41,          33.6 ,           33.26,         30.15,     0.54,              0.46,                       0.49,               0.78,                 0.42,   0.64,   0.56,   0.6 ,      0.64
  25, phi-3-medium-128k-instruct         ,           62.17,          26.4 ,           32.71,         30.63,     0.55,              0.48,                       0.5 ,               0.77,                 0.44,   0.65,   0.56,   0.58,      0.65
  26, phi-3-mini-128k-instruct           ,           53.5 ,          24.7 ,           29.28,         27.77,     0.48,              0.37,                       0.43,               0.73,                 0.38,   0.58,   0.49,   0.52,      0.58
  27, phi-4-mini-instruct                ,            0.0 ,          13.48,            9.34,         10.81,     0.14,              0.04,                       0.05,               0.21,                 0.22,   0.08,   0.05,   0.07,      0.08
