model,score_document,score_reference,score_ref_doc,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,consensus_score,rank,z_score_document,z_score_reference,z_score_ref_doc,z_codebleu,z_rouge1,z_rougeL
deepseek-r1,52.595,44.732,43.373,0.618,0.518,0.538,0.859,0.528,0.788,0.675,0.695,0.787,100.0,1,1.801,0.825,0.883,0.614,0.88,0.775
qwen3-235b-a22b,49.596,44.744,44.232,0.615,0.516,0.536,0.847,0.551,0.754,0.645,0.674,0.753,98.01,2,1.448,0.826,0.997,0.578,0.627,0.602
mistral-medium-3-instruct,45.658,46.343,44.59,0.627,0.524,0.549,0.86,0.564,0.762,0.646,0.675,0.761,97.45,3,0.985,1.041,1.045,0.703,0.684,0.608
llama-3.1-405b-instruct,41.982,44.637,42.29,0.621,0.531,0.55,0.841,0.552,0.727,0.624,0.658,0.726,92.09,4,0.552,0.812,0.739,0.641,0.415,0.466
llama4_maverick,45.979,42.619,39.856,0.593,0.501,0.538,0.857,0.468,0.763,0.652,0.668,0.762,91.66,5,1.023,0.541,0.415,0.344,0.692,0.552
codestral-22b-instruct-v0.1,43.175,44.493,41.777,0.599,0.496,0.541,0.839,0.508,0.703,0.605,0.636,0.703,91.15,6,0.693,0.793,0.67,0.402,0.24,0.277
mistral-small-3.1-24b-instruct-2503,42.42,44.414,40.755,0.607,0.514,0.534,0.839,0.532,0.738,0.625,0.655,0.737,91.09,7,0.604,0.782,0.534,0.495,0.502,0.44
llama-3.1-70b-instruct,41.242,43.575,42.536,0.6,0.511,0.527,0.836,0.515,0.726,0.611,0.652,0.725,90.63,8,0.465,0.67,0.771,0.415,0.41,0.412
gemma-3-27b-it,42.284,41.399,41.149,0.606,0.508,0.527,0.851,0.52,0.741,0.623,0.657,0.74,89.46,9,0.588,0.377,0.587,0.486,0.524,0.459
llama-3.3-70b-instruct,41.974,42.817,39.623,0.593,0.501,0.525,0.831,0.504,0.729,0.615,0.65,0.729,88.65,10,0.551,0.568,0.384,0.337,0.437,0.394
mixtral-8x22b-instruct-v0.1,39.267,42.136,41.111,0.621,0.535,0.551,0.846,0.542,0.721,0.622,0.654,0.721,88.23,11,0.233,0.476,0.582,0.643,0.377,0.429
deepseek-r1-32b,37.07,43.036,41.716,0.597,0.499,0.513,0.835,0.51,0.716,0.601,0.637,0.715,87.09,12,-0.026,0.597,0.662,0.381,0.337,0.285
llama4_scout,38.708,42.294,40.676,0.589,0.492,0.516,0.832,0.508,0.706,0.605,0.633,0.705,86.51,13,0.167,0.498,0.524,0.302,0.262,0.247
qwq-32b,44.896,39.605,36.807,0.539,0.391,0.447,0.827,0.482,0.673,0.549,0.589,0.672,83.55,14,0.895,0.137,0.009,-0.24,0.014,-0.124
gemma-2-27b-it,38.455,39.726,38.62,0.585,0.496,0.517,0.831,0.487,0.708,0.605,0.637,0.707,83.54,15,0.137,0.153,0.25,0.254,0.276,0.283
llama-3.1-8b-instruct,35.445,38.842,36.879,0.594,0.5,0.525,0.822,0.518,0.679,0.582,0.614,0.678,79.68,16,-0.217,0.034,0.019,0.349,0.054,0.085
mixtral-8x7b-instruct-v0.1,34.601,39.391,36.451,0.561,0.477,0.497,0.785,0.476,0.663,0.562,0.602,0.661,78.19,17,-0.317,0.108,-0.038,-0.0,-0.067,-0.011
mistral-nemo-12b-instruct,34.041,38.487,36.379,0.559,0.466,0.489,0.805,0.465,0.677,0.57,0.608,0.676,77.55,18,-0.382,-0.014,-0.048,-0.026,0.041,0.042
gemma-2-9b-it,34.714,36.813,35.889,0.571,0.486,0.508,0.81,0.469,0.687,0.59,0.626,0.687,77.28,19,-0.303,-0.238,-0.113,0.103,0.119,0.191
deepseek-r1-8b,30.42,36.758,35.265,0.576,0.483,0.501,0.814,0.478,0.669,0.575,0.606,0.668,74.05,20,-0.809,-0.246,-0.196,0.16,-0.022,0.02
qwen2-7b-instruct,32.804,36.459,33.732,0.554,0.447,0.474,0.809,0.478,0.642,0.546,0.582,0.642,72.97,21,-0.528,-0.286,-0.4,-0.075,-0.219,-0.184
mamba-codestral-7b-v0.1,36.042,34.732,33.346,0.517,0.436,0.462,0.786,0.376,0.629,0.545,0.57,0.628,72.23,22,-0.147,-0.518,-0.452,-0.474,-0.324,-0.283
gemma-2-2b-it,30.624,34.837,33.021,0.55,0.47,0.491,0.791,0.437,0.655,0.566,0.606,0.654,70.86,23,-0.785,-0.504,-0.495,-0.123,-0.128,0.024
gemma-3-1b-it,31.219,31.781,30.216,0.538,0.451,0.485,0.774,0.394,0.637,0.553,0.595,0.636,66.88,24,-0.715,-0.914,-0.868,-0.25,-0.264,-0.076
phi-3-medium-128k-instruct,26.159,29.898,28.827,0.529,0.453,0.478,0.746,0.408,0.619,0.531,0.556,0.618,61.04,25,-1.31,-1.167,-1.053,-0.353,-0.397,-0.403
phi-3-mini-128k-instruct,26.111,28.242,26.134,0.471,0.368,0.407,0.727,0.363,0.574,0.484,0.521,0.573,55.87,26,-1.316,-1.389,-1.411,-0.975,-0.738,-0.704
phi-4-mini-instruct,9.358,9.059,6.716,0.127,0.011,0.021,0.173,0.185,0.045,0.019,0.038,0.044,0.0,27,-3.288,-3.964,-3.995,-4.693,-4.733,-4.806
