 model                      , ConsensusScore, Score Document, Score Reference, Score Reference Document, codebleu, ngram_match_score, weighted_ngram_match_score, syntax_match_score, dataflow_match_score, rouge1, rouge2, rougeL, rougeLsum
 qwen3-235b-a22b            ,57.69,60.64,42.72,38.89,0.61,0.51,0.53,0.85,0.55,0.75,0.64,0.67,0.75
 llama4_maverick            ,55.6,52.17,39.54,37.44,0.6,0.51,0.56,0.85,0.47,0.77,0.66,0.68,0.76
 gemma-3-27b-it             ,54.65,48.44,37.58,35.11,0.62,0.53,0.55,0.86,0.54,0.77,0.66,0.68,0.77
 llama-3.1-405b-instruct    ,54.33,45.42,41.05,39.9,0.62,0.53,0.55,0.83,0.56,0.72,0.62,0.66,0.72
 codestral-22b-instruct-v0.1,54.09,47.74,41.78,39.68,0.61,0.52,0.54,0.84,0.53,0.7,0.61,0.65,0.7
 mixtral-8x22b-instruct-v0.1,52.89,45.37,43.25,40.62,0.59,0.52,0.54,0.8,0.49,0.67,0.6,0.62,0.67
 llama-3.3-70b-instruct     ,52.48,41.78,37.78,35.57,0.6,0.52,0.54,0.84,0.5,0.74,0.62,0.66,0.73
 llama4_scout               ,52.36,42.96,37.64,36.18,0.61,0.51,0.53,0.84,0.53,0.72,0.61,0.64,0.72
 llama-3.1-70b-instruct     ,51.6,42.72,39.5,37.87,0.54,0.51,0.53,0.67,0.33,0.71,0.61,0.64,0.71
 nemotron-4-340b-instruct   ,51,39.2,35.46,35.11,0.6,0.49,0.53,0.84,0.52,0.72,0.61,0.64,0.72
 gemma-2-27b-it             ,50.74,41.74,36.51,32.29,0.59,0.5,0.52,0.83,0.5,0.71,0.61,0.64,0.71
 deepseek-r1-32b            ,49.86,36.9,37.76,33.99,0.59,0.49,0.51,0.83,0.51,0.7,0.58,0.62,0.7
 gemma-2-9b-it              ,48.2,37.17,33.25,29.63,0.58,0.49,0.51,0.82,0.47,0.69,0.59,0.63,0.69
 llama-3.1-8b-instruct      ,47.83,35.37,35.74,33.18,0.57,0.49,0.52,0.76,0.46,0.66,0.57,0.6,0.66
 mistral-nemo-12b-instruct  ,46.83,36.14,34.72,31.64,0.55,0.44,0.47,0.79,0.46,0.65,0.55,0.58,0.65
 mixtral-8x7b-instruct-v0.1 ,45.27,33.38,34.83,32.82,0.51,0.42,0.46,0.73,0.42,0.63,0.54,0.57,0.62
 deepseek-r1-8b             ,44.87,32.06,29.83,26.59,0.57,0.47,0.49,0.79,0.49,0.65,0.56,0.59,0.65
 gemma-3-1b-it              ,44.74,32.65,30.71,26.52,0.54,0.46,0.49,0.78,0.39,0.64,0.56,0.6,0.64
 gemma-2-2b-it              ,43.61,28.66,29.35,25.75,0.54,0.46,0.48,0.79,0.43,0.64,0.56,0.6,0.64
 mamba-codestral-7b-v0.1    ,40.44,29.48,30.35,26.64,0.47,0.39,0.41,0.72,0.36,0.57,0.49,0.52,0.57
 phi-3-mini-128k-instruct   ,39.27,24.96,25.2,21.69,0.51,0.39,0.45,0.77,0.41,0.59,0.51,0.54,0.59
 phi-3-medium-128k-instruct ,26.4,17.78,15.06,14.35,0.37,0.24,0.26,0.55,0.26,0.39,0.31,0.35,0.39
