System,Category,Turn,Total_Lines,Code_Lines,Characters,Est_Tokens,Input_Words,Input_Chars
art,MBS,1,148,87,3278,819,78,538
art,MBS,2,148,87,3283,820,61,516
art,MBS,3,148,87,3278,819,32,226
beam,FEA,1,123,78,2991,747,40,266
beam,FEA,2,153,87,3434,858,150,997
beam,FEA,3,159,91,3649,912,48,277
buckling,FEA,1,203,131,5336,1334,53,390
buckling,FEA,2,196,130,5303,1325,238,1542
buckling,FEA,3,196,130,5303,1325,45,264
cable,FEA,1,99,63,2480,620,46,279
cable,FEA,2,98,65,2526,631,137,1071
cable,FEA,3,148,106,4422,1105,251,1612
camera,Sensor,1,191,87,4270,1067,68,402
camera,Sensor,2,188,84,3906,976,124,795
camera,Sensor,3,180,81,3924,981,91,640
citybus,Vehicle,1,136,85,3240,810,95,621
citybus,Vehicle,2,136,84,3320,830,108,744
citybus,Vehicle,3,136,85,3238,809,54,337
curiosity,Robot,1,74,47,1770,442,58,410
curiosity,Robot,2,77,49,1924,481,50,265
curiosity,Robot,3,132,89,3236,809,78,528
feda,Vehicle,1,141,84,3176,794,94,604
feda,Vehicle,2,141,84,3271,817,120,787
feda,Vehicle,3,182,109,4261,1065,129,762
gator,Vehicle,1,149,84,3186,796,84,558
gator,Vehicle,2,171,101,4284,1071,48,278
gator,Vehicle,3,149,84,3198,799,67,437
gear,MBS,1,123,87,5793,1448,44,290
gear,MBS,2,123,87,5793,1448,119,1005
gear,MBS,3,160,112,5506,1376,209,1217
gps_imu,Sensor,1,177,107,4224,1056,66,444
gps_imu,Sensor,2,195,125,4851,1212,99,662
gps_imu,Sensor,3,195,125,4830,1207,68,443
handler,Robot,1,94,56,2304,576,77,505
handler,Robot,2,95,57,2378,594,45,285
handler,Robot,3,122,81,3430,857,75,523
hmmwv,Vehicle,1,139,82,3175,793,87,590
hmmwv,Vehicle,2,158,97,3970,992,133,825
hmmwv,Vehicle,3,156,95,3545,886,96,654
kraz,Vehicle,1,137,82,3134,783,65,469
kraz,Vehicle,2,156,99,3673,918,65,394
kraz,Vehicle,3,187,116,4764,1191,71,450
lidar,Sensor,1,201,97,3831,957,68,406
lidar,Sensor,2,222,120,4645,1161,100,661
lidar,Sensor,3,269,159,6338,1584,140,957
m113,Vehicle,1,137,86,3361,840,65,469
m113,Vehicle,2,144,90,3527,881,44,277
m113,Vehicle,3,147,92,3656,914,33,188
man,Vehicle,1,141,84,3181,795,64,442
man,Vehicle,2,140,83,3241,810,43,266
man,Vehicle,3,205,132,4888,1222,33,240
mass_spring_damper,MBS,1,61,44,1490,372,52,373
mass_spring_damper,MBS,2,107,74,2620,655,147,1033
mass_spring_damper,MBS,3,112,78,2846,711,39,280
particles,MBS,1,103,74,3305,826,39,323
particles,MBS,2,119,86,3945,986,161,1188
particles,MBS,3,140,97,4549,1137,76,492
pendulum,MBS,1,70,46,1717,429,50,321
pendulum,MBS,2,71,47,1819,454,131,802
pendulum,MBS,3,97,63,2531,632,61,396
rigid_highway,MBS,1,150,88,3426,856,89,632
rigid_highway,MBS,2,157,92,3723,930,52,309
rigid_highway,MBS,3,152,90,3512,878,69,427
rigid_multipatches,MBS,1,112,81,3931,982,101,704
rigid_multipatches,MBS,2,94,68,3027,756,179,1278
rigid_multipatches,MBS,3,146,101,4101,1025,147,922
rotor,MBS,1,133,93,3776,944,67,406
rotor,MBS,2,116,87,3686,921,138,998
rotor,MBS,3,160,111,4318,1079,106,729
scm,Vehicle,1,155,87,3295,823,102,706
scm,Vehicle,2,209,128,4668,1167,50,358
scm,Vehicle,3,201,119,4734,1183,89,575
scm_hill,Vehicle,1,157,88,3428,857,72,507
scm_hill,Vehicle,2,219,135,5114,1278,57,397
scm_hill,Vehicle,3,145,82,3210,802,67,427
sedan,Vehicle,1,149,85,3190,797,70,468
sedan,Vehicle,2,172,103,4022,1005,52,375
sedan,Vehicle,3,173,103,3944,986,49,344
sensros,Sensor,1,135,90,4669,1167,72,486
sensros,Sensor,2,146,98,5365,1341,40,251
sensros,Sensor,3,146,98,5365,1341,47,318
slider_crank,MBS,1,77,52,2217,554,63,434
slider_crank,MBS,2,118,80,2982,745,114,812
slider_crank,MBS,3,112,71,2926,731,66,434
tablecloth,FEA,1,109,76,3146,786,49,332
tablecloth,FEA,2,174,104,4383,1095,212,1519
tablecloth,FEA,3,175,107,4512,1128,42,397
turtlebot,Robot,1,71,48,1932,483,68,440
turtlebot,Robot,2,83,63,2360,590,98,637
turtlebot,Robot,3,139,104,3802,950,96,696
uazbus,Vehicle,1,140,84,3177,794,65,471
uazbus,Vehicle,2,159,101,3722,930,50,395
uazbus,Vehicle,3,150,90,3469,867,55,372
veh_app,Vehicle,1,157,89,3380,845,73,497
veh_app,Vehicle,2,200,126,4775,1193,185,1128
veh_app,Vehicle,3,224,146,5674,1418,71,417
vehros,Robot,1,66,46,2020,505,74,516
vehros,Robot,2,97,75,3383,845,72,696
vehros,Robot,3,120,92,4395,1098,64,454
viper,Robot,1,76,50,1910,477,64,407
viper,Robot,2,100,72,2678,669,217,1804
viper,Robot,3,80,56,2024,506,66,431
