,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
codebleu,1.0,0.977887101814127,0.976703387868746,0.8402134211970216,0.8085088843529689,0.9381362597097118,0.9621359379272988,0.9614955298310089,0.9385072201696639,0.15057039604959097,0.6820019585389143,0.7110275905220389
ngram_match_score,0.977887101814127,1.0,0.990067515984678,0.787583985527729,0.7192259480205582,0.9383749856114002,0.9729790733516434,0.966978184780274,0.9389156977856434,0.11055541735843492,0.6692735738959841,0.6944551306539126
weighted_ngram_match_score,0.976703387868746,0.990067515984678,1.0,0.7969794660426881,0.7109797814686993,0.93738254299619,0.9754526111443336,0.9678729380915,0.9379498522762805,0.11281716522512322,0.6672966762872237,0.692292185744231
syntax_match_score,0.8402134211970216,0.787583985527729,0.7969794660426881,1.0,0.7040590380186739,0.8545300947679673,0.8244030586729587,0.8348419504313832,0.854430919232622,0.20794789100406144,0.49738640968913417,0.5675016142284957
dataflow_match_score,0.8085088843529689,0.7192259480205582,0.7109797814686993,0.7040590380186739,1.0,0.7040771089092669,0.7030985914889787,0.716390307939931,0.7039141875049311,0.1807712608377773,0.5715786656107127,0.6019780560313203
rouge1,0.9381362597097118,0.9383749856114002,0.93738254299619,0.8545300947679673,0.7040771089092669,1.0,0.9822440134027823,0.9823450157328382,0.9999723831186379,0.21458897395728718,0.6130823547900545,0.6740115325517411
rouge2,0.9621359379272988,0.9729790733516434,0.9754526111443336,0.8244030586729587,0.7030985914889787,0.9822440134027823,1.0,0.9913040056143755,0.9826107828553586,0.16649090860519322,0.6468828334053109,0.6884470683186652
rougeL,0.9614955298310089,0.966978184780274,0.9678729380915,0.8348419504313832,0.716390307939931,0.9823450157328382,0.9913040056143755,1.0,0.982626935843683,0.16812431473564174,0.6478848458879558,0.6903990186983223
rougeLsum,0.9385072201696639,0.9389156977856434,0.9379498522762805,0.854430919232622,0.7039141875049311,0.9999723831186379,0.9826107828553586,0.982626935843683,1.0,0.2142385115240836,0.6134438026650001,0.6741171646874237
score_document,0.15057039604959097,0.11055541735843492,0.11281716522512322,0.20794789100406144,0.1807712608377773,0.21458897395728718,0.16649090860519322,0.16812431473564174,0.2142385115240836,1.0,0.18716066530736314,0.22859916621508727
score_reference,0.6820019585389143,0.6692735738959841,0.6672966762872237,0.49738640968913417,0.5715786656107127,0.6130823547900545,0.6468828334053109,0.6478848458879558,0.6134438026650001,0.18716066530736314,1.0,0.7693843212146197
score_reference_document,0.7110275905220389,0.6944551306539126,0.692292185744231,0.5675016142284957,0.6019780560313203,0.6740115325517411,0.6884470683186652,0.6903990186983223,0.6741171646874237,0.22859916621508727,0.7693843212146197,1.0
