,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
codebleu,1.0,0.9714308596205018,0.9665972945573659,0.9364583488585562,0.8359138642057702,0.9532260325691475,0.9602033265785891,0.9530343638247505,0.953330398917011,0.1630036296456414,0.6761510615904083,0.7202949700315733
ngram_match_score,0.9714308596205018,1.0,0.987373688625867,0.9049804435482012,0.7407197639657779,0.9667400440381988,0.977709713424943,0.9661944192220963,0.9670896194832267,0.14253014840855233,0.6633497821177073,0.7095590290304034
weighted_ngram_match_score,0.9665972945573659,0.987373688625867,1.0,0.9036801245692904,0.7308283961132956,0.948769481305669,0.9674956712265553,0.9547378412242725,0.9491295533949768,0.14068584361348768,0.6703823499634843,0.7132362720878762
syntax_match_score,0.9364583488585562,0.9049804435482012,0.9036801245692904,1.0,0.7877821917696854,0.9039344295405104,0.9088295584656897,0.9033170511010039,0.9040160260160399,0.16335470162833252,0.626320286366656,0.6819799348676358
dataflow_match_score,0.8359138642057702,0.7407197639657779,0.7308283961132956,0.7877821917696854,1.0,0.7544877535043862,0.7435565017751193,0.7473090539962949,0.7540288319426719,0.1961066491952988,0.536465899927073,0.5925034908815912
rouge1,0.9532260325691475,0.9667400440381988,0.948769481305669,0.9039344295405104,0.7544877535043862,1.0,0.9913124447019468,0.9787080913327395,0.9999382628160485,0.19001945748891585,0.6843168111072844,0.7403119452843534
rouge2,0.9602033265785891,0.977709713424943,0.9674956712265553,0.9088295584656897,0.7435565017751193,0.9913124447019468,1.0,0.9834361471888883,0.9914174962223884,0.16906762524547087,0.6863917796875385,0.7356422141043081
rougeL,0.9530343638247505,0.9661944192220963,0.9547378412242725,0.9033170511010039,0.7473090539962949,0.9787080913327395,0.9834361471888883,1.0,0.9788342799498474,0.16399421584145643,0.6779879082450682,0.7265341759668388
rougeLsum,0.953330398917011,0.9670896194832267,0.9491295533949768,0.9040160260160399,0.7540288319426719,0.9999382628160485,0.9914174962223884,0.9788342799498474,1.0,0.1897163280471528,0.6840265673507228,0.7399242605023898
score_document,0.1630036296456414,0.14253014840855233,0.14068584361348768,0.16335470162833252,0.1961066491952988,0.19001945748891585,0.16906762524547087,0.16399421584145643,0.1897163280471528,1.0,0.19534993559931996,0.24036649720343856
score_reference,0.6761510615904083,0.6633497821177073,0.6703823499634843,0.626320286366656,0.536465899927073,0.6843168111072844,0.6863917796875385,0.6779879082450682,0.6840265673507228,0.19534993559931996,1.0,0.7069241543954955
score_reference_document,0.7202949700315733,0.7095590290304034,0.7132362720878762,0.6819799348676358,0.5925034908815912,0.7403119452843534,0.7356422141043081,0.7265341759668388,0.7399242605023898,0.24036649720343856,0.7069241543954955,1.0
