model,score_reference_document
claude-4-sonnet-20250514,49.1764705882353
o3,46.3235294117647
claude-3-7-sonnet-20250219,43.34313725490196
qwen3-235b-a22b,42.11764705882353
o4-mini,42.049019607843135
gpt-4o-mini,41.6078431372549
gpt-4.1-mini,41.490196078431374
Gemini-2.5-pro,41.46078431372549
llama-3.3-70b-instruct,41.07843137254902
llama4_maverick,41.05882352941177
llama4_scout,40.8235294117647
gpt-4.1,39.8921568627451
llama-3.1-70b-instruct,39.68627450980392
gpt-4.1-nano,39.372549019607845
Gemini-1.5-pro,39.205882352941174
llama-3.1-405b-instruct,39.03921568627451
mixtral-8x22b-instruct-v0.1,38.88235294117647
deepseek-r1-32b,38.6078431372549
deepseek-r1,38.166666666666664
codestral-22b-instruct-v0.1,37.86274509803921
mixtral-8x7b-instruct-v0.1,37.71568627450981
llama-3.1-8b-instruct,37.627450980392155
mistral-large-latest,37.5
gemma-2-27b-it,37.38235294117647
mistral-nemo-12b-instruct,36.42156862745098
nemotron-4-340b-instruct,35.088235294117645
deepseek-r1-8b,34.029411764705884
gpt-4o,33.90196078431372
claude-3-5-sonnet,33.745098039215684
gemma-2-9b-it,33.46078431372549
mamba-codestral-7b-v0.1,31.833333333333332
gemma-2-2b-it,31.068627450980394
phi-3-mini-128k-instruct,27.764705882352942
gemma-3-1b-it,27.54901960784314
phi-3-medium-128k-instruct,22.00980392156863
