model,SEN,RBT,VEH,MBS,FEA,Average
claude-4-sonnet-20250514,46.0,41.22222222222222,50.19047619047619,53.53333333333333,54.06666666666667,49.002539682539684
o3,37.166666666666664,44.55555555555556,45.80952380952381,54.8,48.733333333333334,46.21301587301588
claude-3-7-sonnet-20250219,40.916666666666664,37.888888888888886,41.785714285714285,53.46666666666667,46.06666666666667,44.02492063492063
qwen3-235b-a22b,41.666666666666664,39.5,42.30952380952381,42.8,44.4,42.135238095238094
o4-mini,34.25,40.05555555555556,41.476190476190474,48.06666666666667,46.266666666666666,42.023015873015865
llama4_maverick,28.916666666666668,41.44444444444444,39.42857142857143,45.93333333333333,50.0,41.144603174603176
Gemini-2.5-pro,31.5,43.22222222222222,41.142857142857146,45.06666666666667,44.6,41.10634920634921
llama4_scout,36.25,41.72222222222222,39.54761904761905,43.4,44.4,41.063968253968255
gpt-4.1-mini,32.75,39.0,42.023809523809526,44.6,46.86666666666667,41.048095238095236
gpt-4o-mini,32.75,39.5,42.61904761904762,42.266666666666666,47.733333333333334,40.97380952380953
llama-3.3-70b-instruct,33.5,38.22222222222222,41.476190476190474,45.46666666666667,45.06666666666667,40.74634920634921
gpt-4.1-nano,32.333333333333336,38.22222222222222,36.57142857142857,42.06666666666667,51.53333333333333,40.14539682539682
llama-3.1-70b-instruct,34.833333333333336,39.5,39.73809523809524,38.6,44.733333333333334,39.48095238095239
llama-3.1-405b-instruct,33.083333333333336,36.77777777777778,37.57142857142857,45.13333333333333,44.53333333333333,39.41984126984127
deepseek-r1-32b,35.333333333333336,36.05555555555556,36.666666666666664,45.6,42.733333333333334,39.27777777777777
mixtral-8x22b-instruct-v0.1,32.416666666666664,41.22222222222222,36.95238095238095,44.06666666666667,41.46666666666667,39.224920634920636
gpt-4.1,32.833333333333336,33.05555555555556,42.023809523809526,46.53333333333333,41.13333333333333,39.115873015873014
codestral-22b-instruct-v0.1,36.916666666666664,38.888888888888886,34.73809523809524,43.46666666666667,40.53333333333333,38.90873015873016
Gemini-1.5-pro,36.916666666666664,32.72222222222222,40.61904761904762,42.733333333333334,41.333333333333336,38.86492063492064
mistral-nemo-12b-instruct,36.916666666666664,33.77777777777778,31.023809523809526,41.733333333333334,49.0,38.49031746031746
deepseek-r1,34.75,39.22222222222222,36.95238095238095,37.86666666666667,43.333333333333336,38.42492063492064
llama-3.1-8b-instruct,31.583333333333332,37.27777777777778,36.88095238095238,39.93333333333333,42.666666666666664,37.668412698412695
mistral-large-latest,25.5,39.94444444444444,36.80952380952381,42.6,41.0,37.17079365079365
mixtral-8x7b-instruct-v0.1,27.25,29.555555555555557,41.976190476190474,41.06666666666667,40.6,36.089682539682535
gemma-2-27b-it,26.166666666666668,34.27777777777778,41.404761904761905,37.13333333333333,39.06666666666667,35.60984126984127
deepseek-r1-8b,33.5,32.27777777777778,33.095238095238095,40.0,33.2,34.41460317460318
gpt-4o,30.833333333333332,32.666666666666664,32.42857142857143,38.13333333333333,37.733333333333334,34.35904761904762
claude-3-5-sonnet,32.333333333333336,29.0,33.30952380952381,33.0,42.53333333333333,34.03523809523809
nemotron-4-340b-instruct,27.666666666666668,31.72222222222222,39.0,33.2,36.0,33.51777777777778
gemma-2-9b-it,23.166666666666668,32.22222222222222,35.666666666666664,35.6,34.86666666666667,32.30444444444444
gemma-2-2b-it,22.416666666666668,29.444444444444443,32.54761904761905,33.13333333333333,33.733333333333334,30.25507936507937
mamba-codestral-7b-v0.1,17.833333333333332,29.0,35.54761904761905,37.733333333333334,30.133333333333333,30.049523809523812
gemma-3-1b-it,21.333333333333332,27.944444444444443,33.095238095238095,18.066666666666666,26.0,25.287936507936507
phi-3-mini-128k-instruct,17.25,27.61111111111111,34.714285714285715,25.466666666666665,19.2,24.8484126984127
phi-3-medium-128k-instruct,15.833333333333334,23.11111111111111,23.428571428571427,24.666666666666668,19.0,21.20793650793651
