,PC1,PC2,PC3,PC4
codebleu,0.32435463889021066,-0.0743328494884067,-0.02250755682653836,0.0874015520376944
ngram_match_score,0.3201465532513481,-0.12520624742570366,-0.019039378965174797,-0.1276628049908338
weighted_ngram_match_score,0.32011783548625267,-0.12468508394826039,-0.02750905464533079,-0.13933917025755227
syntax_match_score,0.2842762797019308,-0.013172680260913498,-0.2831725448218349,0.2559006031435409
dataflow_match_score,0.2607388225754486,0.05544645989328346,0.06282891259653522,0.8799721293691497
rouge1,0.32031432298909274,-0.037007554886421906,-0.1801702269087156,-0.14522160985040786
rouge2,0.3233639768680831,-0.08226884505965867,-0.10767936863498741,-0.18100527865322324
rougeL,0.3236654482013658,-0.07781145416635987,-0.10850130482476343,-0.144973424295093
rougeLsum,0.32039090076011556,-0.03745566701256067,-0.17974824669996148,-0.14613087261759794
score_document,0.07029516237463929,0.9248031420580402,-0.32024110531052286,-0.08083231263056313
score_reference,0.2395513901807956,0.1983893543006297,0.658877110280657,-0.09617295579087713
score_reference_document,0.2532303895429529,0.2231353057590044,0.5379855639617614,-0.06931704449158026
