Rank,model,RankMetric,score_document,score_reference,score_reference_document,codebleu,rouge1,rouge2,rougeL,rougeLsum
1,gpt-4o-mini-f3,0.9238,38.5196,67.0392,68.1176,0.9238,0.9650,0.9492,0.9534,0.9649
2,gpt-4o-mini-f1,0.7610,37.3431,49.5392,52.7941,0.7610,0.8562,0.7935,0.8089,0.8554
3,llama3.3-70b-sft1,0.6850,38.3235,36.9216,42.8922,0.6850,0.8162,0.7427,0.7526,0.8156
4,claude-4-sonnet-20250514,0.6550,55.2059,38.6765,49.1765,0.6550,0.7821,0.6832,0.6885,0.7811
5,llama3.3-70b-lora1,0.6389,32.1765,31.3333,40.1765,0.6389,0.7712,0.6842,0.6887,0.7705
6,llama3.1-8b-lora1,0.6358,34.9216,32.7745,39.0686,0.6358,0.7594,0.6770,0.6834,0.7586
7,llama3.1-8b-f1,0.6284,35.0392,33.1275,38.7941,0.6284,0.7390,0.6559,0.6569,0.7382
8,claude-3-7-sonnet-20250219,0.6273,54.6373,36.4314,43.3431,0.6273,0.7629,0.6423,0.6697,0.7616
9,pe_llama-3.1-70b-instruct,0.6226,43.3824,34.7451,39.9706,0.6226,0.7595,0.6564,0.6782,0.7587
10,llama-3.1-405b-instruct,0.6182,38.0294,33.0882,39.0392,0.6182,0.7201,0.6247,0.6569,0.7196
11,llama4-109b-lora1,0.6169,34.4314,33.0294,39.3529,0.6169,0.7487,0.6472,0.6633,0.7476
12,qwen3-235b-a22b,0.6114,54.6275,31.5000,42.1176,0.6114,0.7542,0.6440,0.6729,0.7530
13,gpt-4o-mini,0.6097,43.6569,34.1373,41.6078,0.6097,0.7244,0.6225,0.6598,0.7232
14,pe_llama-3.1-405b-instruct,0.6095,41.8333,34.9706,40.8725,0.6095,0.7477,0.6515,0.6711,0.7468
15,Gemini-1.5-pro,0.6090,42.7059,32.9412,39.2059,0.6090,0.7277,0.6236,0.6512,0.7267
16,pe_gpt-4o-mini,0.6081,52.7353,34.6667,41.0686,0.6081,0.7588,0.6598,0.6733,0.7577
17,codestral-22b-instruct-v0.1,0.6080,39.6961,32.4314,37.8627,0.6080,0.6996,0.6093,0.6454,0.6990
18,llama4_scout,0.6074,37.8529,33.7745,40.8235,0.6074,0.7220,0.6101,0.6439,0.7206
19,deepseek-r1,0.6070,53.8824,32.2745,38.1667,0.6070,0.7715,0.6528,0.6813,0.7701
20,gpt-4o,0.6064,49.3627,28.2843,33.9020,0.6064,0.7588,0.6480,0.6815,0.7581
21,llama-3.3-70b-instruct,0.6034,41.8627,33.7255,41.0784,0.6034,0.7355,0.6242,0.6585,0.7347
22,mistral-large-latest,0.6025,43.9314,33.2843,37.5000,0.6025,0.7410,0.6314,0.6670,0.7397
23,gpt-4.1,0.6022,55.3824,33.7941,39.8922,0.6022,0.7722,0.6450,0.6733,0.7709
24,pe_deepseek-r1-32b,0.6010,45.6373,35.3039,40.5686,0.6010,0.7528,0.6397,0.6597,0.7521
25,pe_llama-3.1-8b-instruct,0.6003,37.2255,33.1863,39.0588,0.6003,0.7183,0.6260,0.6483,0.7177
26,llama4_maverick,0.6001,44.0098,32.8824,41.0588,0.6001,0.7654,0.6575,0.6787,0.7644
27,pe_llama4_maverick,0.5986,43.5392,31.7353,38.6373,0.5986,0.7898,0.6859,0.7010,0.7891
28,nemotron-4-340b-instruct,0.5979,39.8725,30.4020,35.0882,0.5979,0.7194,0.6129,0.6448,0.7187
29,pe_llama-3.3-70b-instruct,0.5968,48.1961,35.1471,39.8529,0.5968,0.7454,0.6414,0.6700,0.7445
30,claude-3-5-sonnet,0.5906,52.7843,25.8529,33.7451,0.5906,0.7579,0.6394,0.6738,0.7568
31,gemma-2-27b-it,0.5902,36.5490,29.2647,37.3824,0.5902,0.7106,0.6080,0.6379,0.7097
32,mixtral-8x22b-instruct-v0.1,0.5887,36.8627,33.7843,38.8824,0.5887,0.6677,0.6008,0.6245,0.6673
33,deepseek-r1-32b,0.5861,33.5686,33.0098,38.6078,0.5861,0.6964,0.5840,0.6224,0.6956
34,gpt-4.1-mini,0.5840,53.8824,31.6078,41.4902,0.5840,0.7368,0.6087,0.6471,0.7356
35,gpt-4.1-nano,0.5828,38.7451,30.6961,39.3725,0.5828,0.7095,0.5933,0.6295,0.7084
36,pe_deepseek-r1-8b,0.5816,34.6569,30.6176,36.9118,0.5816,0.7125,0.6010,0.6246,0.7112
37,gemma-2-9b-it,0.5755,30.4412,29.3922,33.4608,0.5755,0.6889,0.5911,0.6267,0.6884
38,llama-3.1-8b-instruct,0.5710,34.5098,31.1176,37.6275,0.5710,0.6567,0.5720,0.5988,0.6559
39,deepseek-r1-8b,0.5674,26.6765,26.2745,34.0294,0.5674,0.6514,0.5595,0.5880,0.6503
40,mistral-nemo-12b-instruct,0.5515,31.8137,29.7451,36.4216,0.5515,0.6489,0.5525,0.5842,0.6483
41,gemma-2-2b-it,0.5421,24.3725,27.4510,31.0686,0.5421,0.6416,0.5563,0.5955,0.6407
42,llama-3.1-70b-instruct,0.5400,39.4412,33.3333,39.6863,0.5400,0.7101,0.6084,0.6446,0.7096
43,gemma-3-1b-it,0.5399,28.2549,25.6176,27.5490,0.5399,0.6439,0.5638,0.6029,0.6432
44,Gemini-2.5-pro,0.5281,61.9902,30.8431,41.4608,0.5281,0.6697,0.5373,0.5677,0.6681
45,mixtral-8x7b-instruct-v0.1,0.5075,30.7353,34.4314,37.7157,0.5075,0.6254,0.5361,0.5720,0.6245
46,phi-3-mini-128k-instruct,0.5017,23.8137,24.6373,27.7647,0.5017,0.5829,0.5006,0.5342,0.5822
47,o4-mini,0.4854,54.2647,34.6078,42.0490,0.4854,0.7136,0.5515,0.6047,0.7114
48,o3,0.4837,66.6078,36.8431,46.3235,0.4837,0.7100,0.5455,0.5873,0.7085
49,mamba-codestral-7b-v0.1,0.4735,27.9412,29.4216,31.8333,0.4735,0.5680,0.4921,0.5196,0.5674
50,phi-3-medium-128k-instruct,0.3757,19.7059,19.9902,22.0098,0.3757,0.3973,0.3123,0.3505,0.3965
51,pe_llama4_scout,0.2500,48.2549,34.0686,39.0098,0.2500,0.0001,0.0000,0.0001,0.0001
