Rank,system,Category,Turn1_Avg,Turn2_Avg,Turn3_Avg,Overall_Avg,Overall_Std,Δ12,Δ23,Overall_Min,Overall_Max
1,lidar,SEN,19.54,31.34,19.29,23.39,13.89,11.80,-12.06,0,70
2,vehros,RBT,14.74,33.86,34.69,27.76,15.47,19.11,0.83,0,64
3,sedan,VEH,21.91,38.14,25.89,28.65,14.49,16.23,-12.26,0,67
4,camera,SEN,18.34,45.77,26.03,30.05,18.83,27.43,-19.74,0,77
5,scm_hill,VEH,19.91,28.63,43.09,30.54,15.26,8.71,14.46,0,64
6,veh_app,SEN,19.86,36.49,35.37,30.57,18.14,16.63,-1.11,0,87
7,m113,VEH,17.83,35.97,39.03,30.94,15.64,18.14,3.06,0,69
8,kraz,VEH,18.83,54.80,21.66,31.76,21.03,35.97,-33.14,0,80
9,scm,VEH,22.46,43.66,32.69,32.93,17.94,21.20,-10.97,0,77
10,feda,VEH,16.46,43.43,39.49,33.12,18.78,26.97,-3.94,0,90
11,sensros,RBT,17.51,32.20,50.23,33.31,23.66,14.69,18.03,0,85
12,pendulum,MBS,19.74,39.71,41.03,33.50,17.22,19.97,1.31,0,77
13,buckling,FEA,20.97,53.20,28.40,34.19,22.97,32.23,-24.80,0,90
14,hmmwv,VEH,21.91,31.54,50.89,34.78,17.66,9.63,19.34,0,74
15,uazbus,VEH,15.31,57.57,33.46,35.45,22.49,42.26,-24.11,0,78
16,handler,RBT,20.06,59.54,27.63,35.74,21.09,39.49,-31.91,0,91
17,man,VEH,20.14,53.06,34.57,35.92,19.43,32.91,-18.49,0,89
18,turtlebot,RBT,20.80,61.57,29.17,37.18,21.43,40.77,-32.40,2,85
19,gear,MBS,21.43,57.34,39.00,39.26,24.27,35.91,-18.34,0,88
20,viper,RBT,22.60,66.37,30.17,39.71,22.34,43.77,-36.20,0,87
21,rigid_multipatches,VEH,20.69,35.94,63.71,40.11,22.29,15.26,27.77,0,80
22,tablecloth,FEA,22.26,51.69,47.60,40.51,20.99,29.43,-4.09,0,76
23,curiosity,RBT,26.34,55.03,41.29,40.89,17.51,28.69,-13.74,0,90
24,gps_imu,SEN,18.57,44.26,60.46,41.10,24.25,25.69,16.20,0,92
25,gator,VEH,21.03,36.83,68.06,41.97,24.42,15.80,31.23,0,90
26,cable,FEA,21.14,71.71,33.91,42.26,24.78,50.57,-37.80,2,86
27,mass_spring_damper,MBS,23.94,56.17,47.09,42.40,19.42,32.23,-9.09,2,83
28,slider_crank,MBS,27.17,52.37,50.23,43.26,20.19,25.20,-2.14,0,79
29,rotor,FEA,19.77,62.80,48.34,43.64,24.76,43.03,-14.46,0,95
30,beam,FEA,17.80,53.60,61.49,44.30,25.44,35.80,7.89,0,88
31,particles,MBS,19.63,61.37,55.31,45.44,23.37,41.74,-6.06,0,88
32,citybus,VEH,19.63,50.43,67.43,45.83,24.82,30.80,17.00,0,100
33,rigid_highway,VEH,21.17,63.57,70.00,51.58,26.29,42.40,6.43,5,87
34,art,VEH,17.89,82.17,75.83,58.63,32.09,64.29,-6.34,0,90
