model,system,round,codebleu,rougeLsum,score_document,score_reference,score_reference_document
Gemini-1.5-pro,art,round_1,0.295,0.4846,12,0,32
Gemini-1.5-pro,art,round_2,1.0,1.0,12,90,90
Gemini-1.5-pro,art,round_3,0.961,0.9974,39,78,83
Gemini-1.5-pro,beam,round_1,0.2527,0.3083,12,25,17
Gemini-1.5-pro,beam,round_2,0.6944,0.9314,52,14,24
Gemini-1.5-pro,beam,round_3,0.776,0.9446,12,70,57
Gemini-1.5-pro,buckling,round_1,0.2455,0.2696,34,12,20
Gemini-1.5-pro,buckling,round_2,0.8612,0.9908,87,69,52
Gemini-1.5-pro,buckling,round_3,0.6223,0.8459,54,24,34
Gemini-1.5-pro,cable,round_1,0.3771,0.415,74,0,25
Gemini-1.5-pro,cable,round_2,0.9524,1.0,82,73,73
Gemini-1.5-pro,cable,round_3,0.5246,0.6997,79,17,57
Gemini-1.5-pro,camera,round_1,0.2257,0.4137,67,10,32
Gemini-1.5-pro,camera,round_2,0.9705,0.9954,17,78,57
Gemini-1.5-pro,camera,round_3,0.837,0.9377,17,34,30
Gemini-1.5-pro,citybus,round_1,0.2647,0.3404,12,0,25
Gemini-1.5-pro,citybus,round_2,0.8987,0.9677,12,47,52
Gemini-1.5-pro,citybus,round_3,0.9939,0.9974,72,73,72
Gemini-1.5-pro,curiosity,round_1,0.1266,0.0215,15,40,0
Gemini-1.5-pro,curiosity,round_2,0.819,0.9017,69,65,47
Gemini-1.5-pro,curiosity,round_3,0.6841,0.8336,60,22,27
Gemini-1.5-pro,feda,round_1,0.2551,0.4021,37,0,12
Gemini-1.5-pro,feda,round_2,0.7864,0.8362,57,12,27
Gemini-1.5-pro,feda,round_3,0.638,0.8362,12,29,35
Gemini-1.5-pro,gator,round_1,0.2718,0.4463,90,2,24
Gemini-1.5-pro,gator,round_2,0.7092,0.8384,14,0,44
Gemini-1.5-pro,gator,round_3,0.8886,0.9934,19,77,69
Gemini-1.5-pro,gear,round_1,0.2704,0.4349,85,0,24
Gemini-1.5-pro,gear,round_2,1.0,1.0,62,88,80
Gemini-1.5-pro,gear,round_3,0.7346,0.8902,69,44,52
Gemini-1.5-pro,gps_imu,round_1,0.2837,0.4046,38,15,12
Gemini-1.5-pro,gps_imu,round_2,0.8285,0.9181,67,34,54
Gemini-1.5-pro,gps_imu,round_3,0.7722,0.9626,49,49,57
Gemini-1.5-pro,handler,round_1,0.2527,0.4547,12,10,27
Gemini-1.5-pro,handler,round_2,0.9797,0.9946,62,65,55
Gemini-1.5-pro,handler,round_3,0.6761,0.8549,82,50,12
Gemini-1.5-pro,hmmwv,round_1,0.2445,0.3942,75,27,5
Gemini-1.5-pro,hmmwv,round_2,0.5484,0.6232,12,12,32
Gemini-1.5-pro,hmmwv,round_3,0.6556,0.9485,87,70,64
Gemini-1.5-pro,kraz,round_1,0.2203,0.3419,32,7,12
Gemini-1.5-pro,kraz,round_2,0.7572,0.9464,12,75,55
Gemini-1.5-pro,kraz,round_3,0.4458,0.6628,12,10,15
Gemini-1.5-pro,lidar,round_1,0.2596,0.466,52,17,12
Gemini-1.5-pro,lidar,round_2,0.7887,0.9162,7,67,69
Gemini-1.5-pro,lidar,round_3,0.6019,0.7296,37,22,27
Gemini-1.5-pro,m113,round_1,0.2383,0.3529,2,27,17
