,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
codebleu,1.0000,0.9809,0.9793,0.8003,0.8238,0.9255,0.9605,0.9570,0.9260,0.1128,0.6861,0.7195
ngram_match_score,0.9809,1.0000,0.9912,0.7729,0.7459,0.9318,0.9729,0.9656,0.9324,0.0819,0.6695,0.7010
weighted_ngram_match_score,0.9793,0.9912,1.0000,0.7849,0.7388,0.9322,0.9751,0.9665,0.9328,0.0808,0.6620,0.6942
syntax_match_score,0.8003,0.7729,0.7849,1.0000,0.7041,0.8722,0.8222,0.8398,0.8719,0.1163,0.4336,0.4901
dataflow_match_score,0.8238,0.7459,0.7388,0.7041,1.0000,0.7253,0.7266,0.7408,0.7252,0.1315,0.5845,0.6121
rouge1,0.9255,0.9318,0.9322,0.8722,0.7253,1.0000,0.9797,0.9811,1.0000,0.1542,0.5773,0.6358
rouge2,0.9605,0.9729,0.9751,0.8222,0.7266,0.9797,1.0000,0.9905,0.9801,0.1237,0.6298,0.6749
rougeL,0.9570,0.9656,0.9665,0.8398,0.7408,0.9811,0.9905,1.0000,0.9814,0.1234,0.6254,0.6706
rougeLsum,0.9260,0.9324,0.9328,0.8719,0.7252,1.0000,0.9801,0.9814,1.0000,0.1541,0.5778,0.6362
score_document,0.1128,0.0819,0.0808,0.1163,0.1315,0.1542,0.1237,0.1234,0.1541,1.0000,0.1740,0.1959
score_reference,0.6861,0.6695,0.6620,0.4336,0.5845,0.5773,0.6298,0.6254,0.5778,0.1740,1.0000,0.7899
score_reference_document,0.7195,0.7010,0.6942,0.4901,0.6121,0.6358,0.6749,0.6706,0.6362,0.1959,0.7899,1.0000
