,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.8325,0.8370,0.7927,0.9325,0.7706,0.8838,0.8499,0.7706,0.4551,0.3728,0.4227
ngram_match_score,0.8325,1.0000,0.9681,0.4709,0.6345,0.5538,0.7409,0.6947,0.5538,0.2210,0.4109,0.3482
weighted_ngram_match_score,0.8370,0.9681,1.0000,0.5244,0.6289,0.5852,0.7639,0.7048,0.5852,0.2721,0.4336,0.4081
syntax_match_score,0.7927,0.4709,0.5244,1.0000,0.8510,0.9305,0.8807,0.8843,0.9305,0.7398,0.3294,0.4916
dataflow_match_score,0.9325,0.6345,0.6289,0.8510,1.0000,0.7922,0.8311,0.8182,0.7922,0.5484,0.3207,0.4123
rouge1,0.7706,0.5538,0.5852,0.9305,0.7922,1.0000,0.9275,0.9440,1.0000,0.7988,0.4521,0.5840
rouge2,0.8838,0.7409,0.7639,0.8807,0.8311,0.9275,1.0000,0.9854,0.9275,0.5950,0.3221,0.3961
rougeL,0.8499,0.6947,0.7048,0.8843,0.8182,0.9440,0.9854,1.0000,0.9440,0.6346,0.3322,0.4112
rougeLsum,0.7706,0.5538,0.5852,0.9305,0.7922,1.0000,0.9275,0.9440,1.0000,0.7988,0.4521,0.5840
score_document_norm,0.4551,0.2210,0.2721,0.7398,0.5484,0.7988,0.5950,0.6346,0.7988,1.0000,0.5660,0.7720
score_reference_norm,0.3728,0.4109,0.4336,0.3294,0.3207,0.4521,0.3221,0.3322,0.4521,0.5660,1.0000,0.8140
score_reference_document_norm,0.4227,0.3482,0.4081,0.4916,0.4123,0.5840,0.3961,0.4112,0.5840,0.7720,0.8140,1.0000
