,Mean,Std,Min,25%,Median,75%,Max
codebleu,0.5861,0.2703,0.0064,0.2992,0.6364,0.8247,1.0000
ngram_match_score,0.4868,0.3584,0.0000,0.0635,0.5753,0.8133,1.0000
weighted_ngram_match_score,0.5141,0.3584,0.0000,0.0863,0.6188,0.8379,1.0000
syntax_match_score,0.8109,0.2082,0.0000,0.6929,0.8869,0.9607,1.0000
dataflow_match_score,0.4947,0.2790,0.0000,0.2836,0.4376,0.7163,1.0000
rouge1,0.7056,0.2894,0.0000,0.4472,0.8347,0.9448,1.0000
rouge2,0.6070,0.3478,0.0000,0.2228,0.7532,0.9093,1.0000
rougeL,0.6337,0.3164,0.0000,0.3019,0.7502,0.9084,1.0000
rougeLsum,0.7047,0.2898,0.0000,0.4449,0.8337,0.9446,1.0000
score_document_norm,0.4106,0.2686,0.0000,0.1500,0.3700,0.6400,1.0000
score_reference_norm,0.3301,0.2596,0.0000,0.1200,0.2700,0.5400,1.0000
score_reference_document_norm,0.3913,0.2286,0.0000,0.2200,0.3400,0.5800,1.0000
