,Mean,Std,CV,Range,PC1_Loading,Avg_Corr
codebleu,0.5695,0.0555,0.0975,0.2794,0.3106,0.7934
ngram_match_score,0.4664,0.0672,0.1441,0.2963,0.2688,0.6819
weighted_ngram_match_score,0.4952,0.0653,0.1318,0.3235,0.2728,0.6937
syntax_match_score,0.8107,0.0639,0.0788,0.3388,0.2997,0.7711
dataflow_match_score,0.4837,0.0732,0.1513,0.3354,0.2959,0.7601
rouge1,0.6955,0.0739,0.1063,0.3848,0.3226,0.8323
rouge2,0.5899,0.0661,0.1121,0.3708,0.3259,0.8363
rougeL,0.6224,0.0637,0.1023,0.3380,0.3238,0.8306
rougeLsum,0.6946,0.0738,0.1062,0.3846,0.3228,0.8327
score_document_norm,0.4136,0.1169,0.2826,0.4690,0.2065,0.5493
score_reference_norm,0.3130,0.0378,0.1207,0.1869,0.2336,0.6206
score_reference_document_norm,0.3767,0.0533,0.1416,0.2717,0.2509,0.6657
