family,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document
Claude-4,0.6550,0.5370,0.5875,0.8911,0.5948,0.7821,0.6831,0.6885,0.7811,55.2059,38.6765,49.1765
GPT-4o,0.7018,0.6329,0.6484,0.8865,0.6296,0.8126,0.7346,0.7554,0.8119,44.3235,42.7333,47.4980
Qwen,0.6114,0.5064,0.5328,0.8483,0.5481,0.7542,0.6440,0.6729,0.7530,54.6275,31.5000,42.1176
Gemini,0.5686,0.4426,0.4899,0.8309,0.5011,0.6987,0.5805,0.6094,0.6974,52.3480,31.8922,40.3333
GPT-4,0.5897,0.4717,0.5081,0.8497,0.5195,0.7395,0.6157,0.6500,0.7383,49.3366,32.0327,40.2516
Llama,0.5896,0.4966,0.5228,0.7858,0.4764,0.7003,0.6097,0.6291,0.6995,39.5900,33.4683,39.8235
Claude-3,0.6089,0.4877,0.5132,0.8615,0.5587,0.7604,0.6409,0.6718,0.7592,53.7108,31.1422,38.5441
DeepSeek,0.5886,0.4865,0.5099,0.8325,0.5080,0.7169,0.6074,0.6352,0.7159,38.8843,31.4961,37.6569
Mistral,0.5770,0.4727,0.4963,0.8166,0.4930,0.6950,0.5919,0.6256,0.6940,37.8725,31.5147,36.9608
Other,0.5284,0.4248,0.4535,0.7766,0.4333,0.6438,0.5446,0.5805,0.6429,35.3167,29.8673,34.5377
