model,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
Gemini-1.5-pro,6,9,7,14,7,12,12,13,12,15,15,15
Gemini-2.5-pro,29,32,31,21,24,25,31,32,25,2,22,8
claude-3-5-sonnet,16,22,24,8,10,7,8,5,7,10,32,29
claude-3-7-sonnet-20250219,2,14,12,2,2,5,7,8,5,5,3,3
claude-4-sonnet-20250514,1,1,1,1,1,1,1,1,1,4,1,1
codestral-22b-instruct-v0.1,7,6,6,16,13,22,16,15,22,18,17,20
deepseek-r1,9,15,18,5,6,3,3,3,3,8,18,19
deepseek-r1-32b,19,21,21,19,16,23,23,23,23,26,14,18
deepseek-r1-8b,24,24,26,26,20,28,26,28,28,32,31,27
gemma-2-27b-it,17,13,17,18,19,18,19,19,18,24,28,24
gemma-2-2b-it,26,26,27,28,28,31,27,27,31,33,30,32
gemma-2-9b-it,22,19,20,23,22,24,22,21,24,29,27,30
gemma-3-1b-it,28,25,25,29,32,30,25,25,30,30,33,34
gpt-4.1,13,20,16,3,12,2,5,6,2,3,7,12
gpt-4.1-mini,20,27,23,7,15,10,17,14,10,8,19,7
gpt-4.1-nano,21,23,22,17,17,21,21,20,21,20,23,14
gpt-4o,10,16,19,4,4,6,4,2,6,11,29,28
gpt-4o-mini,5,5,8,15,8,13,13,10,13,14,6,6
llama-3.1-405b-instruct,3,2,3,20,3,15,10,12,15,21,13,16
llama-3.1-70b-instruct,27,7,11,34,34,19,18,17,19,19,11,13
llama-3.1-8b-instruct,23,18,14,30,25,27,24,26,27,25,21,22
llama-3.3-70b-instruct,11,3,5,13,18,11,11,11,11,16,10,9
llama4_maverick,14,10,2,6,23,4,2,4,4,12,16,10
llama4_scout,8,8,9,12,9,14,15,18,14,22,9,11
mamba-codestral-7b-v0.1,34,30,32,33,33,34,34,34,34,31,26,31
mistral-large-latest,12,12,15,10,11,9,9,9,9,13,12,23
mistral-nemo-12b-instruct,25,28,28,27,26,29,28,30,29,27,25,25
mixtral-8x22b-instruct-v0.1,18,4,4,25,21,26,20,22,26,23,8,17
mixtral-8x7b-instruct-v0.1,30,29,29,32,30,32,32,31,32,28,5,21
nemotron-4-340b-instruct,15,17,13,11,14,16,14,16,16,17,24,26
o3,33,33,33,22,29,20,30,29,20,1,2,2
o4-mini,32,34,34,24,27,17,29,24,17,7,4,5
phi-3-medium-128k-instruct,35,35,35,35,35,35,35,35,35,35,35,35
phi-3-mini-128k-instruct,31,31,30,31,31,33,33,33,33,34,34,33
qwen3-235b-a22b,4,11,10,9,5,8,6,7,8,6,20,4
