system,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document,score_reference,score_reference_document,category
art,0.7103,0.6425,0.6552,0.8650,0.6524,0.7830,0.7161,0.7356,0.7823,38.6863,59.5163,60.1242,Vehicle
beam,0.6259,0.5020,0.5308,0.8512,0.5869,0.7192,0.6426,0.6621,0.7178,51.7647,43.5294,45.7255,FEA
buckling,0.5406,0.4126,0.4372,0.8270,0.4594,0.6424,0.5408,0.5959,0.6417,47.0719,29.5163,34.8105,FEA
cable,0.5636,0.4164,0.4397,0.8154,0.5567,0.6490,0.5418,0.5847,0.6487,51.9673,37.2026,42.8170,FEA
camera,0.6225,0.5696,0.5835,0.7762,0.5216,0.7159,0.6373,0.6649,0.7152,32.0458,29.3660,31.4444,Sensor
citybus,0.6784,0.6065,0.6180,0.8592,0.6037,0.7776,0.7021,0.7285,0.7768,35.4641,42.9673,47.5948,Vehicle
curiosity,0.5770,0.4610,0.4980,0.8060,0.5167,0.6975,0.5900,0.6261,0.6959,49.8039,35.3072,41.0915,Robot
feda,0.5880,0.5002,0.5322,0.8330,0.4670,0.7149,0.6191,0.6375,0.7140,29.6601,25.8039,33.9673,Vehicle
gator,0.6173,0.5141,0.5452,0.8399,0.5438,0.7189,0.6239,0.6502,0.7178,35.6275,35.3725,43.9346,Vehicle
gear,0.5946,0.4788,0.5027,0.7959,0.5751,0.6764,0.5908,0.6312,0.6762,46.8235,38.1961,42.4314,MBS
gps_imu,0.5936,0.5386,0.5608,0.8200,0.4156,0.7309,0.6450,0.6617,0.7303,40.9346,35.2484,43.5752,Sensor
handler,0.6184,0.5105,0.5256,0.7814,0.2901,0.7295,0.6193,0.6562,0.7288,51.8889,36.1373,38.3987,Robot
hmmwv,0.5106,0.4268,0.4647,0.7920,0.3328,0.6881,0.5764,0.5885,0.6872,40.0327,26.3791,35.3922,Vehicle
kraz,0.5106,0.3900,0.4119,0.7933,0.4146,0.6792,0.5542,0.5787,0.6785,33.4902,24.9804,33.5752,Vehicle
lidar,0.4976,0.3821,0.4246,0.7381,0.4064,0.6249,0.4947,0.5292,0.6239,27.8105,15.0523,23.8235,Sensor
m113,0.6023,0.5352,0.5651,0.8241,0.4586,0.7289,0.6431,0.6583,0.7283,30.6405,25.9216,31.1242,Vehicle
man,0.5737,0.4978,0.5233,0.8145,0.4330,0.7018,0.6204,0.6268,0.7011,35.7582,28.9281,37.3464,Vehicle
mass_spring_damper,0.6242,0.4905,0.5237,0.8583,0.6046,0.7449,0.6390,0.6370,0.7440,48.6732,37.6078,42.9608,MBS
particles,0.6366,0.5268,0.5381,0.8286,0.6204,0.6952,0.6113,0.6236,0.6946,48.8693,39.7255,46.0458,MBS
pendulum,0.5834,0.4359,0.4688,0.8236,0.5856,0.7100,0.5930,0.6508,0.7093,52.9020,29.3072,35.3791,MBS
rigid_highway,0.6455,0.5875,0.6167,0.8456,0.5061,0.7556,0.6759,0.6984,0.7550,37.5294,46.9869,53.2614,Vehicle
rigid_multipatches,0.6376,0.5228,0.5467,0.8615,0.5869,0.7400,0.6601,0.6893,0.7391,37.7451,37.8431,41.3464,Vehicle
rotor,0.5823,0.4858,0.5029,0.7728,0.5413,0.7035,0.6008,0.6398,0.7025,45.9739,38.8301,45.7516,FEA
scm,0.4853,0.3943,0.4207,0.7908,0.3156,0.6580,0.5361,0.5578,0.6572,34.1895,24.4967,31.9346,Vehicle
scm_hill,0.5541,0.4773,0.5050,0.8106,0.4038,0.6994,0.6034,0.6170,0.6983,33.2745,23.7974,31.7059,Vehicle
sedan,0.4777,0.3547,0.3999,0.7900,0.3400,0.6219,0.4997,0.5453,0.6212,34.0131,18.3203,29.4641,Vehicle
sensros,0.6232,0.5354,0.5591,0.8103,0.5490,0.7075,0.6329,0.6679,0.7065,33.8366,31.9412,36.9477,Robot
slider_crank,0.6172,0.4854,0.5310,0.7974,0.6222,0.7111,0.5994,0.6501,0.7097,53.9739,44.0196,45.2876,MBS
tablecloth,0.5766,0.5154,0.5384,0.7774,0.4425,0.7025,0.6135,0.6431,0.7019,40.9020,35.4052,42.0980,FEA
turtlebot,0.4962,0.3729,0.4120,0.7323,0.4478,0.6792,0.5419,0.5678,0.6760,52.6928,31.9216,37.2353,Robot
uazbus,0.6060,0.5185,0.5537,0.8181,0.5140,0.7270,0.6366,0.6461,0.7265,36.9085,33.2549,39.2810,Vehicle
veh_app,0.5992,0.5123,0.5385,0.7989,0.5146,0.7208,0.6206,0.6428,0.7200,29.1895,20.5556,32.6209,Sensor
vehros,0.5344,0.4101,0.4439,0.8057,0.4387,0.6745,0.5703,0.5728,0.6728,42.6013,22.5686,29.4052,Robot
viper,0.6218,0.5399,0.5604,0.8167,0.5508,0.7608,0.6452,0.6800,0.7596,53.1830,36.4967,42.4248,Robot
