,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.7459,0.7365,0.6596,0.7522,0.6486,0.7459,0.6878,0.6502,0.1726,0.3663,0.4008
ngram_match_score,0.7459,1.0000,0.9027,0.4902,0.5106,0.5263,0.6769,0.6063,0.5278,0.0314,0.3694,0.3506
weighted_ngram_match_score,0.7365,0.9027,1.0000,0.5278,0.4918,0.5671,0.7082,0.6376,0.5686,0.0534,0.3663,0.3694
syntax_match_score,0.6596,0.4902,0.5278,1.0000,0.6596,0.8071,0.7349,0.7522,0.8086,0.3405,0.2800,0.3835
dataflow_match_score,0.7522,0.5106,0.4918,0.6596,1.0000,0.6016,0.6016,0.6031,0.6000,0.2448,0.2753,0.3192
rouge1,0.6486,0.5263,0.5671,0.8071,0.6016,1.0000,0.8243,0.8604,0.9984,0.3954,0.3600,0.4322
rouge2,0.7459,0.6769,0.7082,0.7349,0.6016,0.8243,1.0000,0.8918,0.8259,0.2793,0.3224,0.3663
rougeL,0.6878,0.6063,0.6376,0.7522,0.6031,0.8604,0.8918,1.0000,0.8620,0.3342,0.3082,0.3647
rougeLsum,0.6502,0.5278,0.5686,0.8086,0.6000,0.9984,0.8259,0.8620,1.0000,0.3939,0.3584,0.4337
score_document_norm,0.1726,0.0314,0.0534,0.3405,0.2448,0.3954,0.2793,0.3342,0.3939,1.0000,0.3421,0.4692
score_reference_norm,0.3663,0.3694,0.3663,0.2800,0.2753,0.3600,0.3224,0.3082,0.3584,0.3421,1.0000,0.6298
score_reference_document_norm,0.4008,0.3506,0.3694,0.3835,0.3192,0.4322,0.3663,0.3647,0.4337,0.4692,0.6298,1.0000
