,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.9788,0.9763,0.8067,0.9576,0.8832,0.9508,0.9314,0.8841,0.0642,0.6699,0.6645
ngram_match_score,0.9788,1.0000,0.9939,0.7965,0.9089,0.8737,0.9497,0.9349,0.8748,-0.0659,0.6228,0.5854
weighted_ngram_match_score,0.9763,0.9939,1.0000,0.8249,0.9127,0.8887,0.9584,0.9432,0.8897,-0.0599,0.5963,0.5721
syntax_match_score,0.8067,0.7965,0.8249,1.0000,0.8791,0.9592,0.9172,0.9356,0.9589,0.1211,0.2721,0.3357
dataflow_match_score,0.9576,0.9089,0.9127,0.8791,1.0000,0.9063,0.9331,0.9286,0.9066,0.1549,0.5896,0.6141
rouge1,0.8832,0.8737,0.8887,0.9592,0.9063,1.0000,0.9780,0.9865,1.0000,0.2162,0.4410,0.5019
rouge2,0.9508,0.9497,0.9584,0.9172,0.9331,0.9780,1.0000,0.9953,0.9785,0.1188,0.5413,0.5624
rougeL,0.9314,0.9349,0.9432,0.9356,0.9286,0.9865,0.9953,1.0000,0.9868,0.1215,0.5063,0.5285
rougeLsum,0.8841,0.8748,0.8897,0.9589,0.9066,1.0000,0.9785,0.9868,1.0000,0.2150,0.4419,0.5023
score_document_norm,0.0642,-0.0659,-0.0599,0.1211,0.1549,0.2162,0.1188,0.1215,0.2150,1.0000,0.2474,0.4495
score_reference_norm,0.6699,0.6228,0.5963,0.2721,0.5896,0.4410,0.5413,0.5063,0.4419,0.2474,1.0000,0.9416
score_reference_document_norm,0.6645,0.5854,0.5721,0.3357,0.6141,0.5019,0.5624,0.5285,0.5023,0.4495,0.9416,1.0000
