model,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm,avg_rank
gpt-4o-mini-f3,0.9238,0.9169,0.9256,0.9768,0.8662,0.9650,0.9492,0.9534,0.9649,0.3852,0.6704,0.6812,3.2500
claude-4-sonnet-20250514,0.6550,0.5370,0.5875,0.8911,0.5948,0.7821,0.6831,0.6885,0.7811,0.5521,0.3868,0.4918,4.5000
gpt-4o-mini-f1,0.7610,0.7128,0.7261,0.9182,0.6771,0.8562,0.7935,0.8089,0.8554,0.3734,0.4954,0.5279,4.5000
llama3.3-70b-sft1,0.6850,0.6079,0.6380,0.8982,0.5861,0.8162,0.7427,0.7526,0.8156,0.3832,0.3692,0.4289,5.5833
claude-3-7-sonnet-20250219,0.6273,0.4994,0.5317,0.8737,0.5847,0.7629,0.6423,0.6697,0.7616,0.5464,0.3643,0.4334,12.0833
pe_llama-3.1-70b-instruct,0.6226,0.5364,0.5539,0.8481,0.5423,0.7595,0.6564,0.6782,0.7587,0.4338,0.3475,0.3997,12.2500
llama3.3-70b-lora1,0.6389,0.5468,0.5999,0.8807,0.5186,0.7712,0.6842,0.6887,0.7705,0.3218,0.3133,0.4018,13.5000
llama3.1-8b-lora1,0.6358,0.5437,0.5808,0.8665,0.5425,0.7594,0.6770,0.6834,0.7586,0.3492,0.3277,0.3907,13.6667
pe_gpt-4o-mini,0.6081,0.5237,0.5417,0.8445,0.5127,0.7588,0.6598,0.6733,0.7577,0.5274,0.3467,0.4107,14.5000
gpt-4.1,0.6022,0.4863,0.5224,0.8616,0.5287,0.7722,0.6450,0.6733,0.7709,0.5538,0.3379,0.3989,16.2500
qwen3-235b-a22b,0.6114,0.5064,0.5328,0.8483,0.5481,0.7542,0.6440,0.6729,0.7530,0.5463,0.3150,0.4212,16.4167
pe_llama4_maverick,0.5986,0.5215,0.5478,0.8569,0.4584,0.7898,0.6858,0.7010,0.7891,0.4354,0.3174,0.3864,16.7500
llama4_maverick,0.6001,0.5084,0.5582,0.8547,0.4692,0.7654,0.6575,0.6787,0.7644,0.4401,0.3288,0.4106,16.8333
pe_llama-3.1-405b-instruct,0.6095,0.5206,0.5418,0.8336,0.5223,0.7477,0.6515,0.6711,0.7468,0.4183,0.3497,0.4087,17.4167
deepseek-r1,0.6070,0.4950,0.5144,0.8548,0.5443,0.7715,0.6528,0.6813,0.7700,0.5388,0.3227,0.3817,17.5417
llama3.1-8b-f1,0.6284,0.5307,0.5667,0.8640,0.5423,0.7390,0.6559,0.6569,0.7382,0.3504,0.3313,0.3879,17.5833
llama4-109b-lora1,0.6169,0.5281,0.5534,0.8452,0.5313,0.7487,0.6472,0.6633,0.7476,0.3443,0.3303,0.3935,18.9167
pe_deepseek-r1-32b,0.6010,0.5074,0.5344,0.8506,0.5017,0.7528,0.6397,0.6597,0.7521,0.4564,0.3530,0.4057,19.0000
gpt-4o-mini,0.6097,0.5189,0.5350,0.8376,0.5374,0.7244,0.6225,0.6598,0.7232,0.4366,0.3414,0.4161,19.1667
pe_llama-3.3-70b-instruct,0.5968,0.5121,0.5350,0.8382,0.4920,0.7454,0.6414,0.6700,0.7446,0.4820,0.3515,0.3985,20.5833
gpt-4o,0.6064,0.4923,0.5134,0.8554,0.5547,0.7588,0.6480,0.6815,0.7581,0.4936,0.2828,0.3390,20.8333
llama-3.3-70b-instruct,0.6034,0.5219,0.5405,0.8406,0.5009,0.7355,0.6242,0.6585,0.7347,0.4186,0.3373,0.4108,21.0000
llama-3.1-405b-instruct,0.6182,0.5310,0.5485,0.8275,0.5561,0.7201,0.6247,0.6569,0.7196,0.3803,0.3309,0.3904,21.4167
Gemini-1.5-pro,0.6090,0.5114,0.5364,0.8382,0.5402,0.7277,0.6236,0.6512,0.7267,0.4271,0.3294,0.3921,22.4167
mistral-large-latest,0.6025,0.5016,0.5232,0.8445,0.5308,0.7410,0.6314,0.6670,0.7397,0.4393,0.3328,0.3750,22.8333
llama4_scout,0.6074,0.5132,0.5331,0.8410,0.5328,0.7220,0.6101,0.6439,0.7206,0.3785,0.3377,0.4082,23.2500
claude-3-5-sonnet,0.5906,0.4760,0.4948,0.8493,0.5327,0.7579,0.6394,0.6738,0.7568,0.5278,0.2585,0.3375,25.3333
gpt-4.1-mini,0.5840,0.4566,0.4963,0.8513,0.5218,0.7368,0.6087,0.6471,0.7356,0.5388,0.3161,0.4149,25.6250
