,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
codebleu,0.3220,0.0109,-0.1589,0.4054,-0.1955,0.0853,-0.1257,0.5683,-0.4095,0.0144,0.3929,0.0000
ngram_match_score,0.3163,-0.0765,-0.2360,0.0894,-0.3999,-0.0124,0.0984,-0.5211,-0.4905,0.1053,-0.3708,-0.0042
weighted_ngram_match_score,0.3180,-0.0960,-0.2036,0.0648,-0.3377,0.2124,0.5031,-0.0095,0.5382,-0.3546,0.1275,0.0014
syntax_match_score,0.2947,-0.2460,0.2722,-0.0623,0.5365,0.1129,0.6070,0.0746,-0.2645,0.1727,-0.0135,-0.0008
dataflow_match_score,0.3180,-0.0110,0.0108,0.6796,0.4182,-0.1590,-0.2625,-0.2353,0.2879,-0.0723,-0.1554,0.0016
rouge1,0.3171,-0.1106,0.2228,-0.2872,0.0275,-0.0090,-0.2701,0.0018,-0.0866,-0.4218,-0.0184,-0.7040
rouge2,0.3268,-0.0872,0.0427,-0.1670,-0.1669,-0.0600,-0.1345,0.4568,0.3081,0.4533,-0.5451,-0.0057
rougeL,0.3245,-0.1130,0.0817,-0.2151,-0.0820,-0.1927,-0.1564,-0.3344,0.1907,0.4933,0.6075,0.0010
rougeLsum,0.3172,-0.1107,0.2209,-0.2867,0.0236,-0.0096,-0.2675,0.0034,-0.0886,-0.4135,-0.0257,0.7102
score_document_norm,0.0528,0.5223,0.7282,0.2063,-0.3234,-0.1085,0.1835,-0.0340,-0.0076,0.0134,-0.0139,-0.0004
score_reference_norm,0.2097,0.5246,-0.3770,-0.2279,0.1943,-0.6183,0.2016,0.1014,-0.0444,-0.1177,0.0030,0.0000
score_reference_document_norm,0.2172,0.5756,-0.1551,-0.1559,0.2164,0.6888,-0.1508,-0.1113,0.0225,0.1271,-0.0060,0.0004
