metric1,metric2,correlation
codebleu,ngram_match_score,0.9788
codebleu,weighted_ngram_match_score,0.9763
codebleu,dataflow_match_score,0.9576
codebleu,rouge2,0.9508
codebleu,rougeL,0.9314
ngram_match_score,weighted_ngram_match_score,0.9939
ngram_match_score,dataflow_match_score,0.9089
ngram_match_score,rouge2,0.9497
ngram_match_score,rougeL,0.9349
weighted_ngram_match_score,dataflow_match_score,0.9127
weighted_ngram_match_score,rouge2,0.9584
weighted_ngram_match_score,rougeL,0.9432
syntax_match_score,rouge1,0.9592
syntax_match_score,rouge2,0.9172
syntax_match_score,rougeL,0.9356
syntax_match_score,rougeLsum,0.9589
dataflow_match_score,rouge1,0.9063
dataflow_match_score,rouge2,0.9331
dataflow_match_score,rougeL,0.9286
dataflow_match_score,rougeLsum,0.9066
rouge1,rouge2,0.9780
rouge1,rougeL,0.9865
rouge1,rougeLsum,1.0000
rouge2,rougeL,0.9953
rouge2,rougeLsum,0.9785
rougeL,rougeLsum,0.9868
score_reference_norm,score_reference_document_norm,0.9416
