,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.6773,0.6605,0.5866,0.7849,0.5933,0.7210,0.6706,0.5933,0.3768,0.2975,0.3277
ngram_match_score,0.6773,1.0000,0.8756,0.3109,0.4689,0.3782,0.5529,0.4958,0.3782,0.1749,0.3311,0.2739
weighted_ngram_match_score,0.6605,0.8756,1.0000,0.3546,0.4521,0.4218,0.5899,0.5193,0.4218,0.2119,0.3345,0.3109
syntax_match_score,0.5866,0.3109,0.3546,1.0000,0.6874,0.8118,0.6975,0.7277,0.8118,0.5955,0.2403,0.3445
dataflow_match_score,0.7849,0.4689,0.4521,0.6874,1.0000,0.6269,0.6807,0.6504,0.6269,0.4239,0.2370,0.3008
rouge1,0.5933,0.3782,0.4218,0.8118,0.6269,1.0000,0.8050,0.8151,1.0000,0.6627,0.3210,0.4387
rouge2,0.7210,0.5529,0.5899,0.6975,0.6807,0.8050,1.0000,0.9092,0.8050,0.5349,0.2403,0.2975
rougeL,0.6706,0.4958,0.5193,0.7277,0.6504,0.8151,0.9092,1.0000,0.8151,0.5652,0.2437,0.3076
rougeLsum,0.5933,0.3782,0.4218,0.8118,0.6269,1.0000,0.8050,0.8151,1.0000,0.6627,0.3210,0.4387
score_document_norm,0.3768,0.1749,0.2119,0.5955,0.4239,0.6627,0.5349,0.5652,0.6627,1.0000,0.4003,0.6156
score_reference_norm,0.2975,0.3311,0.3345,0.2403,0.2370,0.3210,0.2403,0.2437,0.3210,0.4003,1.0000,0.6471
score_reference_document_norm,0.3277,0.2739,0.3109,0.3445,0.3008,0.4387,0.2975,0.3076,0.4387,0.6156,0.6471,1.0000
