,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,rouge1,rouge2,rougeL,rougeLsum,score_document_norm,score_reference_norm,score_reference_document_norm
codebleu,1.0000,0.9272,0.9308,0.8269,0.9046,0.8426,0.9305,0.9101,0.8441,0.3624,0.5003,0.5417
ngram_match_score,0.9272,1.0000,0.9817,0.6050,0.6994,0.6979,0.8543,0.8323,0.7005,0.0982,0.4055,0.3807
weighted_ngram_match_score,0.9308,0.9817,1.0000,0.6340,0.7051,0.7034,0.8586,0.8271,0.7059,0.1363,0.4251,0.4164
syntax_match_score,0.8269,0.6050,0.6340,1.0000,0.9058,0.8856,0.8526,0.8548,0.8853,0.6197,0.5469,0.6366
dataflow_match_score,0.9046,0.6994,0.7051,0.9058,1.0000,0.8180,0.8309,0.8199,0.8182,0.5215,0.5100,0.5877
rouge1,0.8426,0.6979,0.7034,0.8856,0.8180,1.0000,0.9608,0.9700,1.0000,0.7085,0.6640,0.7374
rouge2,0.9305,0.8543,0.8586,0.8526,0.8309,0.9608,1.0000,0.9940,0.9618,0.5384,0.6084,0.6447
rougeL,0.9101,0.8323,0.8271,0.8548,0.8199,0.9700,0.9940,1.0000,0.9708,0.5469,0.6043,0.6367
rougeLsum,0.8441,0.7005,0.7059,0.8853,0.8182,1.0000,0.9618,0.9708,1.0000,0.7064,0.6634,0.7364
score_document_norm,0.3624,0.0982,0.1363,0.6197,0.5215,0.7085,0.5384,0.5469,0.7064,1.0000,0.6010,0.7520
score_reference_norm,0.5003,0.4055,0.4251,0.5469,0.5100,0.6640,0.6084,0.6043,0.6634,0.6010,1.0000,0.9185
score_reference_document_norm,0.5417,0.3807,0.4164,0.6366,0.5877,0.7374,0.6447,0.6367,0.7364,0.7520,0.9185,1.0000
